date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2020-12-23,MIN,False,False,L,21,7.0,1.0,3.0,0.0,0.0,4.0,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.6,-3.0
2020-12-26,CLE,True,False,L,20,3.0,3.0,2.0,0.0,0.0,2.0,1.0,7.0,0.143,0.0,3.0,0.0,1.0,2.0,0.5,-2.4,-5.0
2020-12-28,ATL,False,False,L,29,10.0,2.0,8.0,2.0,0.0,2.0,4.0,12.0,0.333,2.0,6.0,0.333,0.0,0.0,0.0,8.2,-3.0
2020-12-29,GSW,True,True,L,17,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-4.1,-9.0
2021-01-01,BOS,True,False,W,23,0.0,1.0,6.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.5,-2.0
2021-01-03,BOS,True,False,L,24,5.0,1.0,4.0,0.0,0.0,2.0,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,1.8,-3.0
2021-01-04,MIL,False,True,L,13,7.0,0.0,1.0,0.0,0.0,3.0,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,0.0,0.6,-13.0
2021-04-03,NYK,True,False,L,20,0.0,5.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.3,-26.0
2021-04-05,OKC,False,False,W,25,9.0,3.0,7.0,4.0,2.0,3.0,4.0,9.0,0.444,1.0,4.0,0.25,0.0,0.0,0.0,12.1,3.0
2021-04-08,SAC,False,False,W,21,11.0,3.0,2.0,0.0,1.0,2.0,5.0,7.0,0.714,1.0,2.0,0.5,0.0,0.0,0.0,8.7,12.0
2021-04-10,POR,False,False,L,17,2.0,3.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,-0.8,-15.0
2021-04-14,LAC,True,False,L,25,8.0,3.0,6.0,1.0,0.0,1.0,4.0,10.0,0.4,0.0,3.0,0.0,0.0,0.0,0.0,7.3,-11.0
2021-04-16,OKC,True,False,W,27,9.0,4.0,7.0,5.0,1.0,2.0,3.0,10.0,0.3,1.0,2.0,0.5,2.0,2.0,1.0,12.2,11.0
2021-04-19,CLE,True,False,W,33,12.0,3.0,9.0,1.0,0.0,5.0,5.0,8.0,0.625,0.0,1.0,0.0,2.0,2.0,1.0,10.8,3.0
2021-04-22,SAS,False,False,L,31,12.0,0.0,5.0,1.0,1.0,4.0,5.0,15.0,0.333,1.0,4.0,0.25,1.0,1.0,1.0,3.9,-10.0
2021-04-24,IND,False,False,L,18,0.0,2.0,5.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0
2021-04-26,ATL,True,False,W,23,2.0,4.0,5.0,3.0,0.0,3.0,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.4,11.0
2021-04-29,DAL,True,False,L,30,2.0,1.0,11.0,2.0,0.0,3.0,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,4.4,-7.0
2021-05-01,CHA,False,False,L,32,10.0,6.0,6.0,2.0,1.0,4.0,4.0,11.0,0.364,2.0,5.0,0.4,0.0,0.0,0.0,8.2,-9.0
2021-05-03,ORL,True,False,L,28,7.0,2.0,7.0,2.0,0.0,5.0,3.0,7.0,0.429,0.0,0.0,0.0,1.0,2.0,0.5,4.2,-1.0
2021-05-04,CHA,True,True,L,29,4.0,5.0,7.0,1.0,1.0,7.0,1.0,6.0,0.167,1.0,5.0,0.2,1.0,2.0,0.5,-0.7,-8.0
2021-05-08,PHI,False,False,L,21,10.0,1.0,6.0,0.0,0.0,2.0,4.0,8.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,8.1,-2.0
2021-05-09,CHI,True,True,L,38,21.0,7.0,8.0,0.0,0.0,7.0,9.0,17.0,0.529,3.0,6.0,0.5,0.0,0.0,0.0,12.6,-8.0
2021-05-11,MIN,True,False,L,36,13.0,6.0,7.0,0.0,0.0,3.0,5.0,13.0,0.385,1.0,3.0,0.333,2.0,2.0,1.0,8.4,-15.0
2021-05-14,DEN,True,False,L,38,2.0,3.0,7.0,1.0,2.0,2.0,1.0,8.0,0.125,0.0,6.0,0.0,0.0,0.0,0.0,2.6,-12.0
2021-05-16,MIA,True,False,L,31,10.0,0.0,4.0,1.0,0.0,3.0,3.0,7.0,0.429,2.0,5.0,0.4,2.0,2.0,1.0,5.1,-9.0
2021-10-20,CHI,True,False,L,20,0.0,5.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3,-11.0
2021-10-23,CHI,False,False,L,19,2.0,1.0,3.0,1.0,0.0,1.0,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.1,-11.0
2021-10-25,ATL,False,False,L,27,12.0,1.0,3.0,1.0,1.0,0.0,4.0,11.0,0.364,2.0,3.0,0.667,2.0,2.0,1.0,9.2,-6.0
2021-10-28,PHI,False,False,L,32,9.0,5.0,4.0,2.0,1.0,1.0,4.0,11.0,0.364,1.0,4.0,0.25,0.0,0.0,0.0,8.9,-16.0
2021-10-30,ORL,True,False,W,22,3.0,1.0,3.0,0.0,0.0,3.0,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,-1.1,-8.0
2021-10-31,BKN,False,True,L,22,6.0,2.0,2.0,5.0,0.0,4.0,1.0,5.0,0.2,0.0,1.0,0.0,4.0,4.0,1.0,5.1,-21.0
2021-11-02,MIL,True,False,L,26,8.0,3.0,4.0,1.0,0.0,3.0,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,4.0,-14.0
2021-11-04,PHI,True,False,L,29,10.0,4.0,2.0,1.0,0.0,0.0,4.0,8.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,10.0,6.0
2021-11-10,HOU,False,False,W,31,4.0,1.0,3.0,0.0,0.0,1.0,1.0,4.0,0.25,1.0,3.0,0.333,1.0,2.0,0.5,1.8,1.0
2021-11-12,CLE,False,False,L,28,5.0,6.0,5.0,6.0,0.0,1.0,2.0,9.0,0.222,1.0,2.0,0.5,0.0,0.0,0.0,9.8,-3.0
2021-11-13,TOR,False,True,W,32,13.0,7.0,10.0,0.0,1.0,3.0,4.0,7.0,0.571,3.0,4.0,0.75,2.0,2.0,1.0,15.7,7.0
2021-11-15,SAC,True,False,L,23,0.0,5.0,3.0,1.0,1.0,2.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-0.6,-18.0
2021-11-17,IND,True,False,W,20,4.0,4.0,4.0,3.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,-2.0
2021-11-19,GSW,True,False,L,18,3.0,4.0,1.0,1.0,0.0,1.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.5,-11.0
2021-11-28,LAL,False,False,L,29,6.0,3.0,8.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,7.9,-3.0
2021-11-30,POR,False,False,L,31,11.0,6.0,2.0,0.0,0.0,1.0,3.0,8.0,0.375,1.0,5.0,0.2,4.0,4.0,1.0,8.0,-5.0
2021-12-02,PHX,False,False,L,33,10.0,6.0,3.0,0.0,2.0,1.0,4.0,9.0,0.444,2.0,4.0,0.5,0.0,0.0,0.0,8.4,8.0
2021-12-06,OKC,True,False,L,27,9.0,2.0,5.0,1.0,1.0,3.0,3.0,9.0,0.333,2.0,7.0,0.286,1.0,1.0,1.0,5.1,-7.0
2021-12-08,WAS,True,False,L,21,4.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,2.2,-15.0
2021-12-10,NOP,False,False,L,28,7.0,4.0,6.0,0.0,0.0,0.0,3.0,9.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,6.1,-19.0
2021-12-12,BKN,True,False,L,20,6.0,1.0,3.0,1.0,1.0,0.0,2.0,6.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,5.9,-16.0
2021-12-16,IND,False,False,L,29,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.2,2.0
