date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2016-10-26,MEM,False,False,L,15,8.0,4.0,1.0,1.0,0.0,1.0,4.0,6.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,6.5,-6.0
2016-10-29,SAC,False,False,L,20,4.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,4.0,0.25,3.1,7.0
2016-11-01,MEM,True,False,W,29,10.0,4.0,6.0,5.0,0.0,3.0,3.0,7.0,0.429,2.0,3.0,0.667,2.0,2.0,1.0,12.9,26.0
2016-11-03,DEN,True,False,L,30,3.0,5.0,9.0,3.0,0.0,4.0,1.0,6.0,0.167,0.0,1.0,0.0,1.0,2.0,0.5,4.8,-3.0
2016-11-05,OKC,False,False,L,28,7.0,4.0,3.0,1.0,0.0,1.0,2.0,8.0,0.25,0.0,0.0,0.0,3.0,6.0,0.5,3.5,-23.0
2016-11-08,BKN,False,False,L,16,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,-10.0
2016-11-09,ORL,False,True,W,17,2.0,2.0,3.0,0.0,2.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0
2016-11-12,LAC,True,False,L,19,3.0,4.0,4.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,4.0,0.75,4.4,-3.0
2016-11-13,LAL,True,True,W,14,5.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,3.0,5.0,0.6,5.8,0.0
2016-11-15,CHA,True,False,L,13,4.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,6.1,12.0
2016-11-17,PHI,True,False,W,23,2.0,3.0,2.0,1.0,0.0,2.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.8,3.0
2016-11-19,MEM,False,False,L,18,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-4.2,-15.0
2016-11-21,BOS,True,False,L,10,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,2.0
2016-11-23,NOP,False,False,L,26,6.0,4.0,2.0,4.0,1.0,2.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,8.1,10.0
2016-11-25,PHX,False,False,W,11,3.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,-0.5,-5.0
2016-11-26,GSW,False,True,L,10,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.2,-2.0
2016-11-28,UTA,True,False,L,9,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-3.0
2016-11-30,NYK,True,False,L,10,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.8,-11.0
2016-12-02,NYK,False,False,L,18,6.0,1.0,5.0,1.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,7.3,2.0
2016-12-03,CHA,False,True,W,16,8.0,2.0,6.0,1.0,1.0,1.0,3.0,5.0,0.6,1.0,1.0,1.0,1.0,2.0,0.5,10.4,8.0
2016-12-06,SAS,True,False,L,17,15.0,1.0,2.0,0.0,0.0,2.0,6.0,7.0,0.857,1.0,1.0,1.0,2.0,2.0,1.0,11.4,-9.0
2016-12-08,TOR,False,False,L,19,4.0,1.0,5.0,0.0,0.0,2.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-3.0
2016-12-09,DET,True,True,L,20,8.0,5.0,0.0,1.0,0.0,0.0,4.0,10.0,0.4,0.0,4.0,0.0,0.0,0.0,0.0,4.7,-21.0
2016-12-11,GSW,True,False,L,16,5.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,3.5,-11.0
2016-12-13,CHI,False,False,W,13,2.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,-6.0
2016-12-17,HOU,True,False,L,13,2.0,2.0,2.0,1.0,0.0,0.0,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,0.8,3.0
2016-12-19,PHX,True,False,W,11,8.0,3.0,1.0,1.0,2.0,3.0,3.0,6.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,5.6,0.0
2016-12-21,ATL,False,False,W,15,6.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,1.0,3.0,0.333,1.0,1.0,1.0,2.8,7.0
2016-12-23,SAC,True,False,L,14,3.0,3.0,1.0,0.0,1.0,2.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,-0.3,-6.0
2016-12-25,OKC,False,False,L,18,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,5.2,2.0
2016-12-26,ATL,True,True,W,24,3.0,6.0,1.0,2.0,0.0,1.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,2.0,0.5,3.3,-3.0
2016-12-28,DEN,False,False,L,14,2.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
2016-12-30,MIL,True,False,W,13,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-10.0
2017-01-01,POR,True,False,L,21,11.0,3.0,4.0,1.0,3.0,2.0,5.0,7.0,0.714,1.0,1.0,1.0,0.0,0.0,0.0,11.7,12.0
2017-01-03,PHI,False,False,L,18,0.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7,0.0
2017-01-06,WAS,False,False,L,13,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-4.0
2017-01-07,UTA,True,True,L,14,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.9,-2.0
2017-01-09,DAL,True,False,W,18,3.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,1.2,0.0
2017-01-11,HOU,True,False,W,13,6.0,3.0,0.0,2.0,1.0,2.0,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,3.9,2.0
2017-01-13,OKC,True,False,W,12,4.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.2,-1.0
2017-01-15,DAL,False,False,L,13,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-3.3,-17.0
2017-01-17,SAS,False,False,L,9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9,-6.0
2017-01-19,LAC,False,False,W,25,5.0,4.0,4.0,1.0,1.0,3.0,2.0,4.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,3.7,7.0
2017-01-22,DEN,True,False,W,34,10.0,8.0,9.0,3.0,1.0,1.0,3.0,8.0,0.375,2.0,2.0,1.0,2.0,4.0,0.5,15.0,14.0
2017-01-24,PHX,False,False,W,14,2.0,3.0,2.0,0.0,0.0,5.0,1.0,7.0,0.143,0.0,3.0,0.0,0.0,0.0,0.0,-6.0,4.0
2017-01-26,IND,True,False,L,15,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,3.2,-1.0
2017-01-28,BKN,True,False,W,26,2.0,5.0,7.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,8.1,12.0
2017-01-30,ORL,True,False,W,17,4.0,1.0,4.0,0.0,2.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,4.4,11.0
2017-02-01,CLE,False,False,L,10,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4,-13.0
2017-02-10,NOP,True,False,L,9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.3,-2.0
