date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-10-25,LAC,False,False,L,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,12.0
2023-10-29,PHI,False,False,L,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-8.0
2023-11-08,SAC,False,False,L,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-5.0
2023-11-12,LAL,False,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,4.0
2023-11-14,UTA,False,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2023-11-15,CLE,True,True,L,17,5.0,2.0,3.0,1.0,0.0,0.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,5.6,7.0
2023-11-17,LAL,True,False,L,5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.1,-5.0
2023-11-19,OKC,True,False,L,21,8.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,0.5,1.0,2.0,0.5,3.0,4.0,0.75,5.4,-10.0
2023-11-21,PHX,False,False,L,2,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0
2023-11-22,UTA,True,True,W,17,2.0,2.0,0.0,1.0,0.0,0.0,1.0,5.0,0.2,0.0,3.0,0.0,0.0,1.0,0.0,0.9,-9.0
2023-12-06,GSW,False,False,L,21,6.0,5.0,1.0,2.0,0.0,0.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,7.4,-1.0
2023-12-08,DAL,True,False,L,18,5.0,5.0,0.0,1.0,0.0,0.0,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,4.5,7.0
2023-12-14,UTA,True,False,L,17,6.0,5.0,3.0,2.0,1.0,0.0,2.0,7.0,0.286,2.0,5.0,0.4,0.0,0.0,0.0,9.4,24.0
2023-12-23,GSW,False,False,L,5,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,-1.0
2023-12-26,SAC,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2024-01-01,PHX,False,False,L,19,6.0,2.0,1.0,1.0,1.0,0.0,3.0,5.0,0.6,0.0,2.0,0.0,0.0,0.0,0.0,6.3,-11.0
2024-01-03,DAL,False,False,L,15,2.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-01-05,DAL,False,False,L,20,10.0,4.0,1.0,2.0,0.0,1.0,4.0,8.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,9.7,-17.0
2024-01-07,BKN,False,False,W,7,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,2.0
2024-01-09,NYK,False,False,L,16,9.0,3.0,1.0,1.0,0.0,1.0,3.0,10.0,0.3,0.0,3.0,0.0,3.0,3.0,1.0,5.6,6.0
2024-01-11,OKC,False,False,L,23,9.0,5.0,0.0,1.0,0.0,0.0,4.0,10.0,0.4,1.0,5.0,0.2,0.0,0.0,0.0,7.3,-22.0
2024-01-12,MIN,False,True,L,9,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,13.0
2024-01-14,PHX,True,False,L,37,13.0,1.0,3.0,3.0,0.0,3.0,5.0,9.0,0.556,3.0,6.0,0.5,0.0,1.0,0.0,9.9,-9.0
2024-01-17,BKN,True,False,W,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
2024-01-19,IND,True,False,W,14,5.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.9,8.0
2024-01-21,LAL,False,False,L,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-01-26,SAS,False,False,L,17,2.0,2.0,0.0,1.0,0.0,0.0,1.0,9.0,0.111,0.0,6.0,0.0,0.0,1.0,0.0,-3.9,-22.0
2024-01-29,PHI,True,False,W,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0
2024-02-02,DEN,False,False,L,14,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,8.0
2024-02-04,DEN,False,False,L,20,8.0,2.0,2.0,1.0,1.0,2.0,4.0,7.0,0.571,0.0,2.0,0.0,0.0,0.0,0.0,5.6,-15.0
2024-02-08,DET,True,False,L,28,12.0,3.0,3.0,1.0,1.0,1.0,5.0,6.0,0.833,2.0,2.0,1.0,0.0,0.0,0.0,13.9,-5.0
2024-02-10,NOP,True,False,L,22,3.0,4.0,2.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,5.6,8.0
2024-02-13,MIN,True,False,L,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,7.0
2024-02-15,MIN,True,False,L,12,6.0,4.0,0.0,0.0,0.0,2.0,2.0,5.0,0.4,1.0,3.0,0.333,1.0,4.0,0.25,1.3,-14.0
2024-02-23,DEN,True,False,L,35,9.0,8.0,2.0,1.0,0.0,0.0,4.0,10.0,0.4,0.0,4.0,0.0,1.0,2.0,0.5,7.6,-7.0
2024-02-25,CHA,True,False,L,33,6.0,9.0,4.0,2.0,0.0,2.0,2.0,9.0,0.222,0.0,4.0,0.0,2.0,4.0,0.5,6.0,-7.0
2024-02-27,MIA,True,False,L,30,0.0,3.0,2.0,2.0,0.0,3.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-3.7,1.0
2024-03-01,MEM,False,False,W,24,14.0,2.0,2.0,3.0,0.0,0.0,5.0,8.0,0.625,2.0,3.0,0.667,2.0,2.0,1.0,15.4,8.0
2024-03-02,MEM,False,True,W,39,2.0,5.0,2.0,0.0,0.0,1.0,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,-0.7,10.0
2024-03-04,MIN,False,False,L,35,14.0,5.0,2.0,1.0,1.0,0.0,6.0,11.0,0.545,1.0,5.0,0.2,1.0,1.0,1.0,14.5,6.0
2024-03-06,OKC,True,False,L,23,12.0,3.0,1.0,1.0,0.0,1.0,4.0,5.0,0.8,1.0,1.0,1.0,3.0,4.0,0.75,8.9,-9.0
2024-03-08,HOU,True,False,L,33,12.0,11.0,7.0,0.0,1.0,2.0,5.0,12.0,0.417,1.0,6.0,0.167,1.0,2.0,0.5,13.7,-3.0
2024-03-09,TOR,True,True,W,25,5.0,4.0,3.0,0.0,0.0,1.0,2.0,7.0,0.286,1.0,5.0,0.2,0.0,0.0,0.0,2.8,8.0
2024-03-11,BOS,True,False,L,19,2.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,-8.0
2024-03-13,ATL,True,False,W,35,9.0,6.0,2.0,1.0,1.0,6.0,3.0,8.0,0.375,1.0,3.0,0.333,2.0,3.0,0.667,2.3,17.0
2024-03-14,NYK,True,True,L,31,10.0,4.0,1.0,0.0,1.0,0.0,3.0,8.0,0.375,2.0,6.0,0.333,2.0,2.0,1.0,8.2,-7.0
2024-03-16,NOP,False,False,L,26,0.0,5.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.4,2.0
2024-03-18,CHI,False,False,L,27,10.0,1.0,1.0,2.0,1.0,0.0,5.0,9.0,0.556,0.0,2.0,0.0,0.0,2.0,0.0,7.8,-3.0
2024-03-20,LAC,True,False,L,33,17.0,5.0,2.0,1.0,0.0,2.0,7.0,11.0,0.636,3.0,6.0,0.5,0.0,0.0,0.0,14.0,-13.0
