date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2006-11-01,NYK,True,False,L,28,6.0,10.0,3.0,2.0,1.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,4.0,4.0,1.0,10.4,7.0
2006-11-03,CHA,True,False,W,17,0.0,4.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,16.0
2006-11-04,DET,False,True,L,8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,-2.0
2006-11-11,PHX,False,False,L,12,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.6,2.0
2006-11-12,LAL,False,True,L,10,6.0,0.0,2.0,3.0,0.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,4.0,4.0,1.0,7.3,7.0
2006-11-15,SAC,False,False,L,19,7.0,3.0,8.0,2.0,0.0,2.0,1.0,4.0,0.25,1.0,3.0,0.333,4.0,4.0,1.0,10.3,7.0
2006-11-17,DAL,True,False,L,18,7.0,3.0,2.0,1.0,0.0,2.0,2.0,5.0,0.4,0.0,0.0,0.0,3.0,4.0,0.75,4.8,-1.0
2006-11-18,DAL,False,True,L,20,8.0,1.0,4.0,0.0,0.0,0.0,2.0,5.0,0.4,1.0,2.0,0.5,3.0,3.0,1.0,8.0,-1.0
2006-11-20,ORL,True,False,W,30,16.0,5.0,6.0,5.0,0.0,0.0,6.0,10.0,0.6,1.0,2.0,0.5,3.0,5.0,0.6,20.1,21.0
2006-11-21,CLE,False,True,L,12,4.0,3.0,2.0,1.0,0.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,4.7,4.0
2007-10-31,SAS,True,False,L,21,8.0,5.0,4.0,0.0,1.0,1.0,2.0,6.0,0.333,0.0,1.0,0.0,4.0,4.0,1.0,8.2,-11.0
2007-11-03,IND,True,False,L,25,19.0,3.0,6.0,2.0,0.0,6.0,4.0,5.0,0.8,0.0,0.0,0.0,11.0,13.0,0.846,15.8,2.0
2007-11-07,SEA,False,False,W,21,8.0,5.0,2.0,1.0,0.0,1.0,2.0,7.0,0.286,1.0,1.0,1.0,3.0,5.0,0.6,6.8,1.0
2007-11-09,POR,False,False,L,30,14.0,7.0,3.0,0.0,0.0,2.0,3.0,8.0,0.375,1.0,2.0,0.5,7.0,9.0,0.778,11.4,-5.0
2007-11-10,UTA,False,True,L,13,5.0,2.0,2.0,1.0,0.0,5.0,2.0,6.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,-1.6,-6.0
2007-11-13,HOU,True,False,W,32,9.0,8.0,3.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,7.0,8.0,0.875,10.3,14.0
2007-11-14,MIL,False,True,L,22,6.0,3.0,3.0,2.0,0.0,4.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.7,-7.0
2007-11-16,NOH,True,False,L,31,9.0,3.0,8.0,0.0,1.0,1.0,4.0,10.0,0.4,0.0,0.0,0.0,1.0,2.0,0.5,7.4,0.0
2007-11-17,DAL,False,True,L,28,7.0,3.0,7.0,1.0,1.0,2.0,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,9.0,3.0
2007-11-19,SEA,True,False,W,26,12.0,2.0,2.0,1.0,1.0,1.0,4.0,7.0,0.571,0.0,1.0,0.0,4.0,6.0,0.667,10.2,-2.0
2007-11-21,TOR,True,False,L,26,11.0,6.0,5.0,2.0,0.0,2.0,3.0,8.0,0.375,0.0,3.0,0.0,5.0,6.0,0.833,11.1,-9.0
2007-11-23,SAS,False,False,L,22,8.0,5.0,2.0,1.0,1.0,3.0,3.0,8.0,0.375,0.0,2.0,0.0,2.0,3.0,0.667,4.0,-14.0
2007-11-24,WAS,True,True,W,31,17.0,5.0,5.0,0.0,0.0,6.0,2.0,5.0,0.4,0.0,1.0,0.0,13.0,14.0,0.929,10.9,0.0
2007-11-27,NJN,False,False,W,24,10.0,6.0,2.0,0.0,0.0,0.0,3.0,9.0,0.333,0.0,1.0,0.0,4.0,7.0,0.571,6.9,8.0
2007-11-28,TOR,False,True,L,31,12.0,4.0,3.0,4.0,0.0,0.0,3.0,9.0,0.333,0.0,0.0,0.0,6.0,10.0,0.6,12.2,-5.0
2007-12-01,MIN,True,False,W,23,2.0,6.0,6.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,8.0,15.0
2007-12-03,POR,True,False,L,21,3.0,2.0,3.0,2.0,1.0,1.0,1.0,8.0,0.125,0.0,1.0,0.0,1.0,2.0,0.5,1.8,-13.0
2007-12-05,HOU,False,False,L,19,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,-0.8,-14.0
2007-12-07,NOH,False,False,L,50,14.0,9.0,9.0,1.0,1.0,4.0,4.0,12.0,0.333,0.0,4.0,0.0,6.0,9.0,0.667,10.7,-2.0
2007-12-08,ATL,False,True,L,32,15.0,4.0,4.0,2.0,1.0,2.0,6.0,10.0,0.6,0.0,1.0,0.0,3.0,4.0,0.75,14.7,18.0
2007-12-11,DET,True,False,L,33,18.0,3.0,2.0,0.0,1.0,5.0,6.0,12.0,0.5,2.0,4.0,0.5,4.0,4.0,1.0,8.8,-3.0
