date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-10-24,BOS,True,False,L,20,4.0,3.0,2.0,1.0,0.0,0.0,2.0,6.0,0.333,0.0,4.0,0.0,0.0,0.0,0.0,2.7,-5.0
2024-10-26,CLE,True,False,L,27,2.0,4.0,4.0,0.0,4.0,2.0,0.0,7.0,0.0,0.0,4.0,0.0,2.0,4.0,0.5,-0.1,-2.0
2024-10-28,ATL,False,False,W,22,3.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.3,-6.0
2024-10-30,ATL,True,False,W,32,11.0,2.0,4.0,3.0,0.0,0.0,5.0,10.0,0.5,1.0,5.0,0.2,0.0,0.0,0.0,10.8,22.0
2024-11-02,MIA,True,False,L,27,6.0,8.0,1.0,1.0,3.0,2.0,2.0,9.0,0.222,0.0,6.0,0.0,2.0,2.0,1.0,3.9,-18.0
2024-11-04,GSW,True,False,L,38,20.0,6.0,4.0,1.0,0.0,1.0,7.0,19.0,0.368,6.0,17.0,0.353,0.0,0.0,0.0,12.5,-4.0
2024-11-08,MEM,False,False,L,34,17.0,6.0,3.0,1.0,2.0,1.0,6.0,12.0,0.5,3.0,8.0,0.375,2.0,2.0,1.0,15.1,-15.0
2024-11-10,ORL,False,False,L,34,15.0,7.0,1.0,1.0,0.0,2.0,5.0,9.0,0.556,4.0,8.0,0.5,1.0,2.0,0.5,9.7,-22.0
2024-11-11,HOU,False,True,L,25,8.0,2.0,3.0,0.0,0.0,0.0,3.0,9.0,0.333,2.0,4.0,0.5,0.0,0.0,0.0,4.8,-4.0
2024-11-13,SAS,False,False,L,32,12.0,3.0,5.0,2.0,0.0,0.0,4.0,10.0,0.4,2.0,6.0,0.333,2.0,2.0,1.0,12.6,7.0
2024-11-15,ATL,False,False,L,20,13.0,5.0,4.0,0.0,0.0,1.0,4.0,12.0,0.333,1.0,6.0,0.167,4.0,4.0,1.0,9.5,-9.0
2024-11-17,DET,True,False,L,26,0.0,3.0,6.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.5,-5.0
2024-11-18,NYK,False,True,L,26,1.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,0.25,-0.0,-11.0
2024-11-22,BOS,True,False,L,19,3.0,3.0,0.0,1.0,0.0,2.0,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,-1.1,-5.0
2024-11-24,IND,False,False,L,29,15.0,5.0,5.0,0.0,0.0,2.0,4.0,8.0,0.5,2.0,4.0,0.5,5.0,6.0,0.833,12.4,-2.0
2024-11-26,CHI,True,False,L,31,7.0,4.0,1.0,0.0,0.0,0.0,3.0,11.0,0.273,1.0,7.0,0.143,0.0,0.0,0.0,2.0,-11.0
2024-11-27,LAC,True,True,L,26,2.0,4.0,1.0,0.0,0.0,1.0,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,-1.3,-18.0
2024-11-30,MIL,False,False,L,19,4.0,2.0,2.0,1.0,0.0,3.0,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,-0.2,-2.0
2024-12-03,CLE,False,False,L,11,0.0,6.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.5,-5.0
2024-12-19,CHA,True,False,W,17,3.0,3.0,1.0,0.0,1.0,2.0,1.0,4.0,0.25,0.0,3.0,0.0,1.0,2.0,0.5,0.1,9.0
2024-12-21,MIL,False,False,L,23,7.0,4.0,1.0,1.0,1.0,1.0,3.0,7.0,0.429,1.0,4.0,0.25,0.0,0.0,0.0,5.1,0.0
2024-12-23,OKC,False,False,L,28,11.0,3.0,1.0,2.0,1.0,3.0,3.0,6.0,0.5,3.0,6.0,0.5,2.0,2.0,1.0,9.3,-21.0
2024-12-26,CHA,True,False,W,24,0.0,4.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.3,3.0
2024-12-28,NYK,True,False,L,34,13.0,3.0,3.0,0.0,1.0,0.0,5.0,11.0,0.455,3.0,7.0,0.429,0.0,0.0,0.0,10.2,-3.0
2024-12-30,NYK,True,False,L,25,4.0,5.0,0.0,0.0,1.0,2.0,1.0,6.0,0.167,1.0,5.0,0.2,1.0,2.0,0.5,-0.8,-16.0
2025-01-01,CHI,True,False,W,20,9.0,4.0,0.0,1.0,0.0,0.0,4.0,10.0,0.4,1.0,6.0,0.167,0.0,0.0,0.0,5.4,8.0
2025-01-03,NOP,False,False,L,17,5.0,5.0,1.0,1.0,0.0,3.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,2.7,-2.0
2025-01-05,NOP,True,False,L,27,1.0,3.0,1.0,1.0,0.0,2.0,0.0,7.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,-4.9,-12.0
2025-01-07,HOU,True,False,L,27,9.0,4.0,3.0,2.0,1.0,2.0,4.0,10.0,0.4,1.0,7.0,0.143,0.0,0.0,0.0,7.6,-19.0
2025-01-08,PHI,False,True,L,28,3.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,2.5,17.0
