date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2026-01-19,MIA,True,False,W,3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.3,4.0
2026-01-20,TOR,True,True,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-3.0
2026-01-25,MIN,False,False,W,3,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.3,5.0
2026-03-05,HOU,False,False,W,20,12.0,3.0,1.0,0.0,0.0,1.0,4.0,9.0,0.444,4.0,8.0,0.5,0.0,0.0,0.0,5.9,6.0
2026-03-07,OKC,False,False,L,17,6.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,3.8,-1.0
2026-03-09,UTA,False,False,L,17,11.0,5.0,2.0,1.0,0.0,1.0,4.0,9.0,0.444,3.0,8.0,0.375,0.0,0.0,0.0,9.6,8.0
2026-03-10,CHI,True,True,L,21,17.0,1.0,2.0,0.0,0.0,0.0,4.0,7.0,0.571,3.0,5.0,0.6,6.0,7.0,0.857,14.2,18.0
2026-03-13,MIN,True,False,L,19,8.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,0.333,0.0,4.0,0.0,4.0,4.0,1.0,5.2,-3.0
2026-03-15,NYK,False,False,L,14,3.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.6,-3.0
2026-03-20,DET,False,False,L,16,10.0,0.0,1.0,1.0,0.0,2.0,3.0,6.0,0.5,3.0,5.0,0.6,1.0,1.0,1.0,6.3,2.0
2026-03-21,ATL,False,True,L,19,12.0,2.0,0.0,0.0,0.0,2.0,4.0,11.0,0.364,4.0,9.0,0.444,0.0,0.0,0.0,3.3,6.0
2026-03-23,DAL,False,False,W,19,14.0,4.0,1.0,0.0,0.0,0.0,5.0,7.0,0.714,4.0,6.0,0.667,0.0,0.0,0.0,12.2,7.0
2026-03-25,BKN,True,False,W,15,0.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-3.6,-8.0
2026-03-27,WAS,True,False,W,27,12.0,2.0,2.0,0.0,0.0,0.0,4.0,13.0,0.308,4.0,10.0,0.4,0.0,0.0,0.0,6.1,11.0
2026-03-29,DEN,False,False,L,16,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,-4.2,-15.0
2026-04-01,SAS,True,False,L,23,17.0,1.0,3.0,0.0,0.0,2.0,6.0,12.0,0.5,2.0,7.0,0.286,3.0,3.0,1.0,10.2,-16.0
2026-04-02,CLE,True,True,L,25,12.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,0.333,3.0,7.0,0.429,3.0,4.0,0.75,6.4,-1.0
2026-04-09,LAL,True,False,L,15,8.0,1.0,2.0,1.0,0.0,2.0,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,5.3,-1.0
