date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2018-10-16,BOS,False,False,L,13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,-1.9,-8.0
2018-10-18,CHI,True,False,W,29,12.0,4.0,1.0,2.0,1.0,0.0,4.0,7.0,0.571,4.0,7.0,0.571,0.0,0.0,0.0,12.9,1.0
2018-10-20,ORL,True,False,W,21,0.0,4.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.4,12.0
2018-10-23,DET,False,False,L,24,5.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,2.9,-5.0
2018-10-24,MIL,False,True,L,8,3.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.2,-4.0
2018-10-27,CHA,True,False,W,9,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,1.0,1.0,1.0,2.3,-1.0
2018-10-29,ATL,True,False,W,25,13.0,1.0,2.0,1.0,0.0,1.0,4.0,8.0,0.5,2.0,5.0,0.4,3.0,3.0,1.0,9.9,8.0
2018-10-30,TOR,False,True,L,16,8.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.375,2.0,6.0,0.333,0.0,0.0,0.0,2.8,-8.0
2018-11-01,LAC,True,False,W,23,13.0,1.0,0.0,1.0,0.0,0.0,5.0,8.0,0.625,3.0,6.0,0.5,0.0,1.0,0.0,9.1,0.0
2018-11-03,DET,True,False,W,19,11.0,1.0,1.0,0.0,0.0,1.0,4.0,7.0,0.571,2.0,5.0,0.4,1.0,1.0,1.0,7.7,13.0
2018-11-04,BKN,False,True,L,28,12.0,1.0,1.0,0.0,0.0,1.0,3.0,6.0,0.5,2.0,5.0,0.4,4.0,5.0,0.8,8.6,-28.0
2018-11-07,IND,False,False,W,23,12.0,1.0,1.0,1.0,1.0,1.0,4.0,8.0,0.5,3.0,6.0,0.5,1.0,1.0,1.0,8.5,-11.0
2018-11-09,CHA,True,False,W,19,3.0,0.0,1.0,1.0,1.0,0.0,1.0,6.0,0.167,1.0,5.0,0.2,0.0,0.0,0.0,0.4,1.0
2018-11-10,MEM,False,True,L,43,5.0,2.0,5.0,2.0,0.0,2.0,2.0,13.0,0.154,1.0,11.0,0.091,0.0,0.0,0.0,0.0,-13.0
2018-11-12,MIA,False,False,W,24,10.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,0.6,2.0,4.0,0.5,2.0,2.0,1.0,6.8,10.0
2018-11-14,ORL,False,False,L,15,7.0,1.0,1.0,0.0,0.0,0.0,3.0,7.0,0.429,1.0,4.0,0.25,0.0,0.0,0.0,4.3,-15.0
2018-11-16,UTA,True,False,W,14,6.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,2.8,-4.0
2018-11-17,CHA,False,True,W,23,5.0,2.0,0.0,1.0,0.0,0.0,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,2.0,-3.0
2018-11-19,PHX,True,False,W,21,9.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,7.3,-6.0
2018-11-21,NOP,True,False,W,20,15.0,3.0,1.0,1.0,0.0,0.0,4.0,6.0,0.667,4.0,6.0,0.667,3.0,3.0,1.0,13.0,14.0
2018-11-23,CLE,True,False,L,29,10.0,2.0,1.0,0.0,0.0,0.0,4.0,9.0,0.444,2.0,7.0,0.286,0.0,0.0,0.0,6.2,2.0
2018-11-25,BKN,False,False,W,19,16.0,2.0,1.0,0.0,0.0,0.0,5.0,7.0,0.714,4.0,4.0,1.0,2.0,2.0,1.0,13.6,-3.0
2018-11-28,NYK,True,False,W,22,5.0,3.0,2.0,0.0,0.0,2.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.9,0.0
2018-11-30,WAS,True,False,W,27,12.0,4.0,2.0,1.0,0.0,0.0,5.0,9.0,0.556,2.0,4.0,0.5,0.0,0.0,0.0,10.1,4.0
2018-12-02,MEM,True,False,W,18,4.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.25,1.0,4.0,0.25,1.0,1.0,1.0,-1.8,-1.0
2018-12-05,TOR,False,False,L,17,6.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.333,0.0,4.0,0.0,2.0,3.0,0.667,2.2,4.0
2018-12-07,DET,False,False,W,16,3.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,1.0,1.0,-0.6,-1.0
2018-12-10,DET,True,False,W,22,10.0,3.0,1.0,0.0,0.0,0.0,3.0,9.0,0.333,3.0,7.0,0.429,1.0,2.0,0.5,6.1,3.0
2018-12-12,BKN,True,False,L,20,10.0,1.0,1.0,2.0,0.0,1.0,3.0,7.0,0.429,3.0,5.0,0.6,1.0,3.0,0.333,7.1,-7.0
2018-12-14,IND,True,False,L,24,7.0,5.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,2.0,2.0,1.0,1.0,1.0,1.0,7.5,0.0
2018-12-16,CLE,False,False,W,15,16.0,2.0,0.0,0.0,1.0,0.0,6.0,7.0,0.857,4.0,5.0,0.8,0.0,0.0,0.0,13.6,-6.0
2018-12-17,SAS,False,True,L,17,3.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.167,1.0,3.0,0.333,0.0,0.0,0.0,-0.5,-20.0
