date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2017-10-19,TOR,False,False,L,33,17.0,8.0,0.0,0.0,1.0,3.0,5.0,12.0,0.417,2.0,6.0,0.333,5.0,6.0,0.833,10.3,-2.0
2017-10-21,SAS,True,False,L,37,13.0,12.0,0.0,1.0,0.0,3.0,5.0,14.0,0.357,3.0,8.0,0.375,0.0,1.0,0.0,5.2,-5.0
2017-10-24,CLE,False,False,L,32,19.0,8.0,0.0,0.0,1.0,2.0,7.0,12.0,0.583,5.0,8.0,0.625,0.0,0.0,0.0,14.9,0.0
2017-10-26,ATL,True,False,W,31,14.0,12.0,1.0,0.0,0.0,2.0,5.0,13.0,0.385,2.0,8.0,0.25,2.0,3.0,0.667,8.4,4.0
2017-10-28,OKC,True,False,L,28,15.0,8.0,1.0,0.0,1.0,0.0,3.0,7.0,0.429,3.0,6.0,0.5,6.0,6.0,1.0,15.9,-17.0
2017-11-01,MIA,False,False,L,34,25.0,8.0,1.0,2.0,0.0,0.0,9.0,18.0,0.5,2.0,7.0,0.286,5.0,7.0,0.714,20.7,7.0
2017-11-03,ORL,False,False,W,29,13.0,9.0,3.0,0.0,0.0,2.0,5.0,10.0,0.5,3.0,4.0,0.75,0.0,0.0,0.0,11.2,12.0
2017-11-04,NOP,True,True,L,40,14.0,7.0,4.0,0.0,1.0,1.0,5.0,16.0,0.313,2.0,11.0,0.182,2.0,2.0,1.0,9.0,-3.0
2017-11-07,TOR,False,False,L,29,12.0,2.0,1.0,0.0,1.0,1.0,3.0,6.0,0.5,2.0,5.0,0.4,4.0,4.0,1.0,9.2,-7.0
2017-11-10,IND,True,False,L,28,12.0,10.0,3.0,2.0,1.0,0.0,5.0,14.0,0.357,2.0,9.0,0.222,0.0,0.0,0.0,12.0,-15.0
2017-11-11,SAS,False,True,L,15,6.0,2.0,2.0,0.0,1.0,2.0,3.0,5.0,0.6,0.0,2.0,0.0,0.0,0.0,0.0,4.0,-8.0
2017-11-15,OKC,False,False,L,32,16.0,6.0,2.0,2.0,1.0,0.0,6.0,13.0,0.462,3.0,6.0,0.5,1.0,1.0,1.0,13.6,-8.0
2017-11-17,CHA,True,False,W,31,16.0,7.0,3.0,2.0,0.0,1.0,5.0,11.0,0.455,3.0,8.0,0.375,3.0,4.0,0.75,14.7,8.0
2017-11-19,PHX,False,False,L,34,26.0,13.0,2.0,0.0,0.0,3.0,10.0,19.0,0.526,4.0,10.0,0.4,2.0,3.0,0.667,18.2,-2.0
2017-11-21,LAL,False,False,L,31,13.0,14.0,1.0,0.0,1.0,4.0,4.0,17.0,0.235,2.0,9.0,0.222,3.0,4.0,0.75,5.1,-10.0
2017-11-22,UTA,False,True,L,24,3.0,7.0,0.0,0.0,0.0,1.0,1.0,9.0,0.111,0.0,4.0,0.0,1.0,2.0,0.5,-2.2,-14.0
2017-11-24,GSW,False,False,L,27,14.0,6.0,0.0,1.0,1.0,1.0,4.0,16.0,0.25,3.0,8.0,0.375,3.0,3.0,1.0,6.9,-37.0
2017-11-26,MIA,True,False,L,32,11.0,10.0,1.0,0.0,1.0,0.0,4.0,10.0,0.4,3.0,7.0,0.429,0.0,0.0,0.0,9.6,2.0
2017-11-28,PHX,True,False,L,34,12.0,6.0,4.0,0.0,0.0,0.0,4.0,15.0,0.267,3.0,11.0,0.273,1.0,2.0,0.5,6.5,1.0
2017-11-30,DEN,False,False,L,32,20.0,9.0,0.0,0.0,1.0,1.0,7.0,17.0,0.412,1.0,3.0,0.333,5.0,5.0,1.0,12.5,0.0
2017-12-01,SAC,True,True,L,28,14.0,5.0,0.0,1.0,0.0,1.0,5.0,13.0,0.385,2.0,6.0,0.333,2.0,2.0,1.0,6.8,-11.0
2017-12-04,CLE,True,False,L,32,13.0,7.0,1.0,2.0,1.0,2.0,5.0,13.0,0.385,1.0,5.0,0.2,2.0,2.0,1.0,9.0,-17.0
2017-12-06,IND,False,False,L,31,11.0,6.0,2.0,0.0,0.0,3.0,5.0,15.0,0.333,1.0,6.0,0.167,0.0,0.0,0.0,2.7,-15.0
2017-12-08,CHA,False,False,W,34,24.0,12.0,0.0,0.0,0.0,1.0,8.0,15.0,0.533,3.0,5.0,0.6,5.0,5.0,1.0,19.7,3.0
2017-12-09,NYK,True,True,W,30,15.0,8.0,0.0,0.0,2.0,1.0,7.0,14.0,0.5,1.0,5.0,0.2,0.0,0.0,0.0,10.4,3.0
2017-12-18,PHI,True,False,W,26,10.0,6.0,4.0,1.0,0.0,1.0,4.0,11.0,0.364,2.0,6.0,0.333,0.0,0.0,0.0,8.5,4.0
2017-12-20,ORL,True,False,W,20,9.0,5.0,0.0,0.0,1.0,0.0,3.0,10.0,0.3,0.0,4.0,0.0,3.0,3.0,1.0,5.0,17.0
2017-12-21,CLE,False,True,L,30,25.0,2.0,2.0,1.0,0.0,1.0,11.0,17.0,0.647,1.0,4.0,0.25,2.0,2.0,1.0,19.1,-4.0
2017-12-23,BOS,False,False,L,26,12.0,5.0,1.0,0.0,0.0,1.0,4.0,10.0,0.4,2.0,3.0,0.667,2.0,2.0,1.0,8.2,-31.0
2017-12-26,MIL,False,False,W,20,3.0,7.0,1.0,0.0,0.0,0.0,1.0,7.0,0.143,1.0,3.0,0.333,0.0,2.0,0.0,1.3,-2.0
2017-12-27,NYK,True,True,W,28,12.0,2.0,1.0,1.0,1.0,1.0,5.0,15.0,0.333,2.0,8.0,0.25,0.0,1.0,0.0,4.7,15.0
2017-12-29,IND,True,False,W,28,32.0,7.0,1.0,0.0,0.0,1.0,11.0,17.0,0.647,5.0,9.0,0.556,5.0,5.0,1.0,26.3,-1.0
2017-12-31,WAS,False,False,L,29,11.0,9.0,0.0,0.0,0.0,2.0,4.0,12.0,0.333,2.0,7.0,0.286,1.0,1.0,1.0,4.9,-5.0
2018-01-01,POR,True,True,L,34,19.0,8.0,1.0,0.0,1.0,0.0,7.0,12.0,0.583,4.0,6.0,0.667,1.0,2.0,0.5,16.0,-14.0
2018-01-03,TOR,True,False,L,32,22.0,12.0,1.0,1.0,0.0,2.0,9.0,17.0,0.529,2.0,8.0,0.25,2.0,2.0,1.0,16.6,-2.0
2018-01-05,DAL,False,False,W,32,16.0,9.0,1.0,1.0,1.0,1.0,6.0,9.0,0.667,3.0,5.0,0.6,1.0,1.0,1.0,16.6,3.0
2018-01-06,IND,False,True,L,25,13.0,5.0,2.0,0.0,0.0,2.0,4.0,9.0,0.444,3.0,6.0,0.5,2.0,2.0,1.0,9.6,-24.0
2018-01-08,HOU,True,False,L,34,16.0,8.0,2.0,0.0,1.0,2.0,6.0,10.0,0.6,3.0,5.0,0.6,1.0,1.0,1.0,12.7,-8.0
2018-01-10,NYK,False,False,W,46,33.0,10.0,1.0,2.0,1.0,1.0,10.0,22.0,0.455,8.0,15.0,0.533,5.0,5.0,1.0,27.0,0.0
2018-01-13,DET,True,False,W,27,19.0,4.0,1.0,3.0,1.0,1.0,7.0,15.0,0.467,4.0,7.0,0.571,1.0,1.0,1.0,16.3,8.0
2018-01-15,MIA,True,False,W,30,17.0,9.0,3.0,1.0,0.0,0.0,6.0,13.0,0.462,3.0,6.0,0.5,2.0,2.0,1.0,15.7,21.0
2018-01-17,GSW,True,False,L,29,11.0,8.0,2.0,0.0,1.0,0.0,4.0,12.0,0.333,2.0,7.0,0.286,1.0,1.0,1.0,7.9,-33.0
2018-01-20,ATL,False,False,W,30,19.0,4.0,1.0,0.0,0.0,0.0,8.0,16.0,0.5,0.0,4.0,0.0,3.0,4.0,0.75,12.5,5.0
2018-01-22,NOP,False,False,L,40,14.0,17.0,2.0,1.0,2.0,2.0,5.0,12.0,0.417,0.0,4.0,0.0,4.0,5.0,0.8,12.5,-4.0
2018-01-24,PHI,False,False,L,23,12.0,3.0,2.0,0.0,0.0,0.0,5.0,13.0,0.385,1.0,5.0,0.2,1.0,1.0,1.0,7.2,-34.0
2018-01-26,LAL,True,False,L,31,11.0,11.0,0.0,0.0,3.0,2.0,3.0,10.0,0.3,3.0,6.0,0.5,2.0,2.0,1.0,8.6,-15.0
2018-01-28,MIL,True,False,L,33,17.0,10.0,2.0,0.0,0.0,3.0,6.0,10.0,0.6,2.0,4.0,0.5,3.0,3.0,1.0,13.4,-6.0
2018-02-09,MIN,True,False,W,36,12.0,5.0,1.0,0.0,0.0,1.0,5.0,7.0,0.714,2.0,3.0,0.667,0.0,0.0,0.0,10.3,14.0
2018-02-10,WAS,True,True,L,33,12.0,10.0,0.0,2.0,0.0,2.0,5.0,19.0,0.263,1.0,8.0,0.125,1.0,1.0,1.0,3.7,-13.0
2018-02-12,ORL,True,False,W,31,21.0,8.0,0.0,0.0,1.0,2.0,9.0,19.0,0.474,0.0,6.0,0.0,3.0,3.0,1.0,13.2,-1.0
2018-02-14,TOR,True,False,L,25,14.0,6.0,1.0,0.0,2.0,0.0,5.0,10.0,0.5,1.0,3.0,0.333,3.0,3.0,1.0,12.9,-17.0
2018-02-22,PHI,True,False,L,33,3.0,8.0,0.0,0.0,1.0,1.0,1.0,8.0,0.125,0.0,5.0,0.0,1.0,2.0,0.5,0.7,-11.0
2018-02-24,MIN,False,False,L,32,3.0,7.0,0.0,1.0,2.0,2.0,1.0,8.0,0.125,0.0,2.0,0.0,1.0,2.0,0.5,-0.5,-11.0
2018-02-26,BKN,False,False,L,30,19.0,6.0,0.0,0.0,0.0,1.0,8.0,18.0,0.444,1.0,3.0,0.333,2.0,2.0,1.0,10.4,-23.0
2018-02-27,CHA,False,True,L,32,11.0,7.0,1.0,2.0,0.0,2.0,5.0,11.0,0.455,1.0,4.0,0.25,0.0,0.0,0.0,8.1,-19.0
2018-03-02,DAL,True,False,W,34,17.0,12.0,1.0,0.0,0.0,0.0,7.0,15.0,0.467,3.0,5.0,0.6,0.0,0.0,0.0,14.4,12.0
2018-03-05,BOS,True,False,L,30,12.0,4.0,1.0,1.0,1.0,0.0,5.0,10.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,10.2,-28.0
2018-03-07,MEM,True,False,W,35,22.0,6.0,0.0,1.0,0.0,1.0,8.0,14.0,0.571,2.0,6.0,0.333,4.0,4.0,1.0,17.2,18.0
2018-03-09,DET,False,False,L,27,6.0,8.0,2.0,0.0,0.0,0.0,3.0,12.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,3.4,-17.0
2018-03-11,ATL,False,False,W,29,19.0,8.0,0.0,1.0,1.0,1.0,6.0,13.0,0.462,1.0,5.0,0.2,6.0,6.0,1.0,15.4,-15.0
2018-03-23,MIL,True,False,L,22,9.0,6.0,0.0,0.0,0.0,0.0,3.0,7.0,0.429,1.0,2.0,0.5,2.0,2.0,1.0,6.3,-3.0
2018-03-27,HOU,False,False,L,28,22.0,4.0,2.0,0.0,1.0,5.0,8.0,15.0,0.533,2.0,6.0,0.333,4.0,5.0,0.8,11.8,-41.0
2018-03-30,ORL,False,False,W,24,13.0,8.0,1.0,2.0,1.0,2.0,4.0,10.0,0.4,1.0,5.0,0.2,4.0,5.0,0.8,10.6,6.0
2018-04-01,WAS,True,False,W,25,23.0,6.0,0.0,0.0,0.0,1.0,7.0,11.0,0.636,5.0,8.0,0.625,4.0,7.0,0.571,17.7,2.0
2018-04-03,CHA,True,False,W,24,24.0,7.0,1.0,0.0,1.0,0.0,8.0,14.0,0.571,5.0,6.0,0.833,3.0,3.0,1.0,20.5,4.0
2018-04-06,BOS,False,False,L,23,20.0,5.0,2.0,0.0,0.0,3.0,7.0,11.0,0.636,3.0,5.0,0.6,3.0,4.0,0.75,14.2,-1.0
2018-04-09,BKN,False,False,L,26,10.0,6.0,2.0,2.0,1.0,1.0,3.0,14.0,0.214,2.0,5.0,0.4,2.0,4.0,0.5,6.3,-5.0
2018-04-11,DET,True,False,L,22,20.0,8.0,1.0,2.0,0.0,0.0,7.0,13.0,0.538,3.0,7.0,0.429,3.0,3.0,1.0,19.2,0.0
2018-12-01,HOU,False,False,L,26,10.0,4.0,0.0,1.0,1.0,0.0,4.0,14.0,0.286,2.0,6.0,0.333,0.0,0.0,0.0,3.9,-9.0
2018-12-04,IND,False,False,L,32,21.0,10.0,1.0,2.0,1.0,3.0,8.0,24.0,0.333,5.0,13.0,0.385,0.0,0.0,0.0,10.8,-12.0
2018-12-07,OKC,True,False,W,28,24.0,7.0,2.0,3.0,1.0,2.0,8.0,12.0,0.667,4.0,8.0,0.5,4.0,5.0,0.8,22.0,8.0
2018-12-08,BOS,True,True,L,18,8.0,4.0,1.0,0.0,0.0,1.0,3.0,10.0,0.3,2.0,6.0,0.333,0.0,0.0,0.0,2.7,-10.0
2018-12-10,SAC,True,False,L,29,13.0,6.0,1.0,1.0,0.0,2.0,5.0,16.0,0.313,1.0,8.0,0.125,2.0,2.0,1.0,4.9,-12.0
2018-12-13,ORL,False,False,L,28,7.0,5.0,0.0,1.0,1.0,1.0,2.0,10.0,0.2,2.0,6.0,0.333,1.0,2.0,0.5,2.2,-9.0
2018-12-15,SAS,False,False,W,37,23.0,7.0,1.0,2.0,2.0,2.0,9.0,18.0,0.5,3.0,8.0,0.375,2.0,2.0,1.0,18.2,12.0
2018-12-17,OKC,False,False,L,28,16.0,15.0,0.0,2.0,2.0,3.0,6.0,17.0,0.353,1.0,3.0,0.333,3.0,4.0,0.75,13.0,-26.0
2018-12-19,BKN,True,False,L,33,8.0,6.0,2.0,0.0,0.0,0.0,3.0,6.0,0.5,2.0,3.0,0.667,0.0,1.0,0.0,6.6,-1.0
2018-12-21,ORL,True,False,W,37,32.0,6.0,3.0,0.0,1.0,2.0,12.0,20.0,0.6,4.0,6.0,0.667,4.0,4.0,1.0,23.4,2.0
2018-12-23,CLE,False,False,W,32,31.0,4.0,3.0,0.0,0.0,0.0,11.0,18.0,0.611,5.0,10.0,0.5,4.0,4.0,1.0,25.3,11.0
2018-12-26,MIN,True,False,L,32,16.0,7.0,0.0,0.0,0.0,2.0,6.0,14.0,0.429,1.0,5.0,0.2,3.0,3.0,1.0,8.3,-18.0
2018-12-28,WAS,False,False,W,29,14.0,14.0,0.0,0.0,1.0,3.0,5.0,15.0,0.333,1.0,5.0,0.2,3.0,5.0,0.6,5.4,9.0
2018-12-30,TOR,False,False,L,39,18.0,10.0,1.0,2.0,0.0,3.0,6.0,14.0,0.429,4.0,7.0,0.571,2.0,2.0,1.0,12.5,-10.0
2019-01-02,ORL,True,False,L,28,14.0,6.0,1.0,2.0,0.0,1.0,6.0,12.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,11.9,-15.0
2019-01-04,IND,True,False,L,42,27.0,9.0,2.0,1.0,0.0,6.0,11.0,20.0,0.55,4.0,9.0,0.444,1.0,2.0,0.5,14.9,-2.0
2019-01-06,BKN,True,False,L,33,14.0,6.0,0.0,1.0,1.0,2.0,5.0,11.0,0.455,1.0,3.0,0.333,3.0,4.0,0.75,8.6,-7.0
2019-01-09,POR,False,False,L,32,10.0,5.0,2.0,1.0,3.0,1.0,4.0,12.0,0.333,0.0,3.0,0.0,2.0,2.0,1.0,7.8,-8.0
2019-01-11,GSW,False,False,L,26,8.0,5.0,0.0,0.0,0.0,0.0,3.0,8.0,0.375,0.0,4.0,0.0,2.0,2.0,1.0,5.1,-39.0
2019-01-12,UTA,False,True,L,34,16.0,5.0,1.0,0.0,2.0,0.0,7.0,17.0,0.412,1.0,6.0,0.167,1.0,1.0,1.0,10.5,-11.0
2019-01-15,LAL,False,False,L,31,17.0,3.0,0.0,1.0,1.0,1.0,6.0,14.0,0.429,3.0,8.0,0.375,2.0,2.0,1.0,11.2,-12.0
2019-01-17,DEN,False,False,L,25,27.0,10.0,1.0,0.0,0.0,2.0,10.0,18.0,0.556,5.0,10.0,0.5,2.0,3.0,0.667,18.9,-21.0
2019-01-19,MIA,True,False,L,34,20.0,9.0,0.0,2.0,1.0,2.0,7.0,19.0,0.368,4.0,10.0,0.4,2.0,3.0,0.667,13.3,-13.0
2019-01-21,CLE,False,False,W,32,13.0,8.0,0.0,0.0,0.0,2.0,5.0,11.0,0.455,3.0,5.0,0.6,0.0,0.0,0.0,7.3,17.0
2019-01-23,ATL,True,False,L,34,22.0,6.0,1.0,0.0,1.0,2.0,8.0,16.0,0.5,3.0,8.0,0.375,3.0,3.0,1.0,14.8,-9.0
2019-01-25,LAC,True,False,L,31,13.0,8.0,0.0,1.0,3.0,0.0,4.0,13.0,0.308,3.0,7.0,0.429,2.0,2.0,1.0,11.8,-13.0
2019-01-27,CLE,True,False,L,39,21.0,15.0,1.0,1.0,0.0,0.0,6.0,15.0,0.4,4.0,7.0,0.571,5.0,5.0,1.0,17.9,10.0
2019-01-29,BKN,False,False,L,31,18.0,19.0,1.0,0.0,1.0,0.0,6.0,15.0,0.4,3.0,7.0,0.429,3.0,4.0,0.75,16.2,0.0
2019-01-30,MIA,False,True,W,34,14.0,13.0,4.0,0.0,0.0,2.0,4.0,15.0,0.267,0.0,5.0,0.0,6.0,7.0,0.857,8.6,21.0
2019-02-02,CHA,False,False,L,33,30.0,9.0,1.0,0.0,0.0,2.0,8.0,13.0,0.615,1.0,5.0,0.2,13.0,13.0,1.0,24.3,-9.0
2019-02-06,NOP,True,False,L,41,30.0,10.0,2.0,0.0,0.0,2.0,10.0,19.0,0.526,5.0,10.0,0.5,5.0,5.0,1.0,22.7,6.0
2019-02-08,BKN,False,False,W,38,31.0,18.0,0.0,0.0,2.0,3.0,11.0,18.0,0.611,4.0,7.0,0.571,5.0,6.0,0.833,25.8,17.0
2019-02-09,WAS,True,True,L,32,20.0,11.0,4.0,0.0,0.0,1.0,9.0,17.0,0.529,1.0,6.0,0.167,1.0,2.0,0.5,16.8,-9.0
2019-02-11,MIL,True,False,L,38,20.0,17.0,3.0,2.0,0.0,1.0,6.0,21.0,0.286,1.0,7.0,0.143,7.0,7.0,1.0,15.9,-5.0
2019-02-13,MEM,True,False,W,35,21.0,9.0,6.0,1.0,0.0,2.0,6.0,14.0,0.429,3.0,6.0,0.5,6.0,6.0,1.0,18.7,19.0
2019-02-22,ORL,False,False,W,38,25.0,11.0,2.0,1.0,0.0,1.0,8.0,21.0,0.381,4.0,10.0,0.4,5.0,6.0,0.833,16.2,2.0
2019-02-23,BOS,True,True,W,37,35.0,15.0,2.0,1.0,0.0,1.0,12.0,20.0,0.6,3.0,7.0,0.429,8.0,9.0,0.889,32.1,5.0
2019-02-25,MIL,True,False,L,36,26.0,12.0,3.0,1.0,0.0,0.0,11.0,22.0,0.5,2.0,6.0,0.333,2.0,2.0,1.0,21.7,-9.0
2019-02-27,MEM,False,False,W,35,22.0,10.0,1.0,0.0,0.0,4.0,7.0,16.0,0.438,0.0,5.0,0.0,8.0,9.0,0.889,12.9,1.0
2019-03-01,ATL,False,False,W,54,31.0,17.0,2.0,1.0,1.0,1.0,9.0,18.0,0.5,3.0,6.0,0.5,10.0,12.0,0.833,28.4,14.0
2019-03-03,ATL,True,False,L,29,19.0,9.0,3.0,2.0,0.0,1.0,6.0,21.0,0.286,3.0,9.0,0.333,4.0,5.0,0.8,12.1,1.0
2019-03-05,IND,False,False,L,34,14.0,13.0,2.0,0.0,0.0,0.0,4.0,14.0,0.286,1.0,7.0,0.143,5.0,6.0,0.833,10.7,-7.0
2019-03-06,PHI,True,True,W,30,11.0,8.0,1.0,0.0,0.0,4.0,4.0,9.0,0.444,0.0,3.0,0.0,3.0,3.0,1.0,4.2,-6.0
2019-03-08,DET,True,False,L,36,18.0,6.0,2.0,1.0,0.0,1.0,7.0,16.0,0.438,2.0,6.0,0.333,2.0,2.0,1.0,12.0,-4.0
2019-03-10,DET,False,False,L,26,17.0,6.0,2.0,1.0,1.0,2.0,6.0,13.0,0.462,3.0,7.0,0.429,2.0,2.0,1.0,12.0,-7.0
2019-03-12,LAL,True,False,L,35,11.0,5.0,0.0,0.0,0.0,2.0,4.0,17.0,0.235,0.0,8.0,0.0,3.0,3.0,1.0,-0.2,1.0
2019-03-15,LAC,False,False,L,28,10.0,8.0,1.0,0.0,0.0,2.0,3.0,8.0,0.375,2.0,3.0,0.667,2.0,5.0,0.4,4.3,-14.0
2019-03-17,SAC,False,False,L,23,11.0,3.0,2.0,0.0,1.0,3.0,4.0,8.0,0.5,1.0,4.0,0.25,2.0,2.0,1.0,6.6,-17.0
2019-03-18,PHX,False,True,W,31,17.0,9.0,2.0,0.0,2.0,2.0,7.0,15.0,0.467,1.0,4.0,0.25,2.0,2.0,1.0,12.0,8.0
2019-03-20,WAS,True,False,W,38,32.0,13.0,5.0,0.0,1.0,1.0,12.0,21.0,0.571,5.0,8.0,0.625,3.0,3.0,1.0,30.0,12.0
2019-03-23,UTA,True,False,L,26,18.0,10.0,0.0,1.0,0.0,1.0,6.0,20.0,0.3,1.0,6.0,0.167,5.0,5.0,1.0,10.2,-20.0
2019-03-26,TOR,False,False,L,16,10.0,9.0,0.0,1.0,2.0,3.0,2.0,10.0,0.2,1.0,3.0,0.333,5.0,6.0,0.833,6.3,-10.0
2019-10-23,CHA,False,False,L,34,35.0,17.0,2.0,1.0,0.0,1.0,13.0,25.0,0.52,1.0,7.0,0.143,8.0,10.0,0.8,30.0,-8.0
2019-10-25,MEM,False,False,W,32,9.0,11.0,3.0,0.0,1.0,5.0,4.0,15.0,0.267,1.0,10.0,0.1,0.0,0.0,0.0,1.6,7.0
2019-10-26,TOR,True,True,L,30,9.0,7.0,1.0,3.0,0.0,4.0,3.0,10.0,0.3,1.0,4.0,0.25,2.0,4.0,0.5,4.2,-21.0
2019-10-28,NYK,False,False,L,29,18.0,6.0,2.0,1.0,0.0,0.0,5.0,13.0,0.385,2.0,6.0,0.333,6.0,6.0,1.0,13.9,-3.0
2019-10-30,CLE,False,False,L,27,16.0,8.0,3.0,0.0,1.0,0.0,4.0,12.0,0.333,2.0,6.0,0.333,6.0,8.0,0.75,13.2,-9.0
2019-11-01,DET,True,False,W,25,14.0,5.0,4.0,2.0,0.0,1.0,4.0,9.0,0.444,3.0,7.0,0.429,3.0,3.0,1.0,14.2,13.0
2019-11-03,IND,False,False,L,29,11.0,6.0,0.0,0.0,0.0,2.0,3.0,9.0,0.333,1.0,4.0,0.25,4.0,5.0,0.8,4.5,-9.0
2019-11-05,LAL,True,False,L,30,7.0,3.0,1.0,1.0,0.0,2.0,2.0,8.0,0.25,2.0,5.0,0.4,1.0,2.0,0.5,2.4,-11.0
2019-11-06,ATL,False,True,W,34,17.0,5.0,4.0,0.0,3.0,2.0,6.0,11.0,0.545,4.0,7.0,0.571,1.0,2.0,0.5,15.3,19.0
2019-11-09,HOU,True,False,L,33,13.0,6.0,1.0,2.0,0.0,2.0,3.0,10.0,0.3,0.0,5.0,0.0,7.0,7.0,1.0,9.3,-18.0
2019-11-12,NYK,True,False,W,28,13.0,8.0,2.0,1.0,1.0,6.0,4.0,10.0,0.4,1.0,5.0,0.2,4.0,4.0,1.0,6.7,7.0
2019-11-14,MIL,False,False,L,32,11.0,8.0,0.0,1.0,0.0,3.0,2.0,9.0,0.222,2.0,6.0,0.333,5.0,6.0,0.833,3.9,4.0
2019-11-16,BKN,True,False,L,36,16.0,10.0,1.0,1.0,1.0,1.0,4.0,10.0,0.4,2.0,6.0,0.333,6.0,6.0,1.0,14.2,-10.0
2019-11-18,MIL,True,False,L,27,9.0,8.0,0.0,1.0,0.0,2.0,2.0,12.0,0.167,0.0,4.0,0.0,5.0,6.0,0.833,0.8,-17.0
2019-11-20,DET,True,False,W,29,24.0,6.0,0.0,1.0,2.0,1.0,7.0,14.0,0.5,3.0,4.0,0.75,7.0,11.0,0.636,17.8,15.0
2019-11-22,MIA,True,False,L,24,9.0,7.0,1.0,0.0,0.0,1.0,3.0,12.0,0.25,0.0,4.0,0.0,3.0,4.0,0.75,3.2,-11.0
2019-11-23,CHA,False,True,W,24,3.0,6.0,2.0,1.0,0.0,2.0,1.0,9.0,0.111,1.0,4.0,0.25,0.0,0.0,0.0,-0.3,0.0
2019-11-25,POR,True,False,L,27,10.0,1.0,3.0,0.0,1.0,0.0,3.0,7.0,0.429,2.0,5.0,0.4,2.0,2.0,1.0,9.4,-18.0
2019-11-27,GSW,False,False,L,25,8.0,4.0,3.0,1.0,0.0,2.0,3.0,10.0,0.3,1.0,4.0,0.25,1.0,1.0,1.0,4.1,4.0
