date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-11-08,WAS,True,False,L,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,4.0
2023-11-12,NYK,False,False,L,6,5.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.3,13.0
2023-11-14,MIA,True,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,-4.0
2023-11-28,NYK,False,False,L,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2023-12-16,PHI,True,False,L,7,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,-6.0
2023-12-18,TOR,False,False,L,11,4.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,-12.0
2023-12-20,IND,False,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2024-01-10,SAC,True,False,L,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-12,SAS,False,False,L,7,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.6,-9.0
2024-01-14,MIA,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-01-17,NOP,False,False,L,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.8,-1.0
2024-01-22,MIN,False,False,W,5,7.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,0.667,1.0,1.0,1.0,2.0,2.0,1.0,8.4,10.0
2024-01-24,DET,False,False,L,3,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.3,0.0
2024-01-26,HOU,True,False,L,13,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,-1.1,-6.0
2024-01-27,UTA,True,True,L,7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0,0.75,-0.4,0.0
2024-01-29,NYK,True,False,L,12,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.0
2024-01-31,CHI,True,False,L,13,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.6,-8.0
2024-02-02,OKC,False,False,L,18,11.0,1.0,2.0,0.0,0.0,0.0,4.0,7.0,0.571,3.0,3.0,1.0,0.0,0.0,0.0,9.4,-5.0
2024-02-04,IND,True,False,L,19,0.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-3.0
2024-02-05,LAL,True,True,L,16,2.0,5.0,2.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,2.9,-3.0
2024-02-07,TOR,True,False,L,23,3.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,3.9,9.0
2024-02-09,MIL,False,False,L,30,4.0,6.0,2.0,0.0,0.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,3.8,-16.0
2024-04-03,POR,True,False,L,15,4.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,5.0
2024-04-09,DAL,True,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-2.0
2024-04-12,BOS,False,False,L,15,4.0,3.0,0.0,1.0,2.0,1.0,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,3.3,-13.0
2024-04-14,CLE,False,False,W,32,11.0,6.0,5.0,2.0,1.0,0.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,16.6,22.0
2026-02-26,ATL,False,False,L,30,4.0,7.0,0.0,0.0,2.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,5.8,-22.0
