date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-26,WAS,False,False,W,6,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.1,7.0
2025-10-28,MIA,False,False,L,11,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,0.75,4.8,-8.0
2025-10-30,ORL,True,False,L,14,6.0,3.0,4.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,8.3,-11.0
2025-11-01,MIN,True,False,L,10,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-3.4,-8.0
2025-11-02,UTA,True,True,W,9,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.3,3.0
2025-11-04,NOP,False,False,L,13,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.8,-2.0
2025-11-07,MIA,False,False,L,19,8.0,4.0,1.0,1.0,0.0,0.0,2.0,6.0,0.333,2.0,5.0,0.4,2.0,2.0,1.0,7.1,2.0
2025-11-10,LAL,True,False,L,18,7.0,1.0,0.0,0.0,1.0,1.0,2.0,7.0,0.286,1.0,3.0,0.333,2.0,2.0,1.0,1.3,-2.0
2025-11-12,MIL,True,False,W,12,5.0,3.0,2.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,3.0,0.333,2.0,2.0,1.0,4.9,5.0
2025-11-22,LAC,True,False,L,18,3.0,6.0,1.0,0.0,0.0,1.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,2.1,-5.0
2025-11-23,ATL,False,True,L,15,6.0,2.0,0.0,0.0,0.0,1.0,2.0,6.0,0.333,2.0,6.0,0.333,0.0,0.0,0.0,1.0,-4.0
2025-11-26,NYK,True,False,L,15,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.2,-6.0
2025-11-28,CHI,True,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2025-11-29,TOR,True,True,W,13,7.0,3.0,0.0,1.0,0.0,1.0,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,6.7,7.0
2025-12-01,BKN,False,False,L,17,8.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,3.0,4.0,0.75,5.7,-7.0
2025-12-03,NYK,False,False,L,21,10.0,3.0,1.0,0.0,1.0,0.0,3.0,8.0,0.375,2.0,5.0,0.4,2.0,2.0,1.0,7.1,-2.0
2025-12-05,TOR,False,False,W,18,2.0,6.0,0.0,0.0,0.0,2.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,-0.7,23.0
2025-12-07,DEN,True,False,L,20,13.0,4.0,2.0,1.0,0.0,0.0,4.0,5.0,0.8,4.0,5.0,0.8,1.0,2.0,0.5,13.9,4.0
2025-12-22,CLE,False,False,L,6,7.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,2.0,2.0,1.0,7.1,12.0
2025-12-23,WAS,True,True,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2025-12-29,MIL,True,False,L,12,7.0,5.0,2.0,0.0,0.0,0.0,3.0,6.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,6.9,2.0
2025-12-31,GSW,True,False,L,11,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,-6.0
2026-01-02,MIL,False,False,L,5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.0
2026-01-03,CHI,False,True,W,13,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,1.0
2026-01-05,OKC,False,False,W,2,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.4,3.0
2026-01-07,TOR,True,False,L,21,7.0,2.0,0.0,0.0,1.0,2.0,1.0,4.0,0.25,1.0,4.0,0.25,4.0,6.0,0.667,2.3,-2.0
2026-01-08,IND,True,True,L,11,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0
2026-01-28,MEM,False,False,W,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-3.0
2026-03-24,SAC,True,False,W,10,7.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,1.0,1.0,1.0,2.0,2.0,1.0,6.5,2.0
2026-03-29,BOS,True,False,L,11,10.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,1.0,1.0,5.0,6.0,0.833,10.5,-6.0
2026-04-12,NYK,False,False,W,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-7.0
