date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-02-11,PHI,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-12,CHI,False,True,L,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-2.0
2022-02-16,SAS,True,False,L,8,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,2.9,2.0
2022-02-24,PHX,True,False,L,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0
2022-02-25,IND,False,True,W,24,8.0,5.0,0.0,1.0,0.0,0.0,3.0,8.0,0.375,2.0,7.0,0.286,0.0,0.0,0.0,6.1,-3.0
2022-02-28,SAC,True,False,L,18,3.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.8,-2.0
2022-03-02,DEN,False,False,W,19,6.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,2.0,5.0,0.4,0.0,0.0,0.0,2.4,-7.0
2022-03-04,MIN,True,False,L,27,5.0,3.0,1.0,0.0,1.0,2.0,2.0,9.0,0.222,1.0,8.0,0.125,0.0,0.0,0.0,-1.0,-36.0
2022-03-06,UTA,True,False,L,13,6.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,6.2,7.0
2022-03-08,MIL,True,False,L,25,16.0,3.0,0.0,1.0,0.0,0.0,6.0,11.0,0.545,4.0,9.0,0.444,0.0,0.0,0.0,12.6,-12.0
2022-03-09,MIN,False,True,L,28,8.0,4.0,3.0,1.0,0.0,0.0,3.0,12.0,0.25,2.0,10.0,0.2,0.0,0.0,0.0,4.3,-16.0
2022-03-13,MEM,True,False,L,30,16.0,2.0,3.0,2.0,1.0,0.0,6.0,11.0,0.545,4.0,9.0,0.444,0.0,0.0,0.0,15.7,5.0
2022-03-14,CHA,True,True,L,24,4.0,6.0,2.0,2.0,1.0,1.0,2.0,8.0,0.25,0.0,6.0,0.0,0.0,0.0,0.0,3.3,-4.0
2022-03-16,SAS,False,False,L,12,0.0,3.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.8,1.0
2022-03-18,MIA,False,False,L,11,5.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,2.6,2.0
2022-03-20,ORL,False,False,L,21,12.0,6.0,1.0,1.0,0.0,0.0,4.0,7.0,0.571,4.0,6.0,0.667,0.0,0.0,0.0,11.8,3.0
2022-03-21,BOS,True,True,L,22,3.0,4.0,0.0,0.0,0.0,0.0,1.0,6.0,0.167,1.0,5.0,0.2,0.0,0.0,0.0,-0.4,6.0
2022-03-23,ORL,True,False,W,19,7.0,4.0,0.0,0.0,1.0,0.0,2.0,5.0,0.4,2.0,5.0,0.4,1.0,1.0,1.0,6.2,23.0
2022-03-26,DEN,False,False,L,26,14.0,4.0,3.0,3.0,0.0,1.0,5.0,11.0,0.455,4.0,10.0,0.4,0.0,0.0,0.0,12.0,1.0
2022-03-28,POR,False,False,W,24,12.0,2.0,3.0,0.0,0.0,3.0,4.0,12.0,0.333,4.0,10.0,0.4,0.0,0.0,0.0,4.5,-3.0
2022-03-30,ATL,True,False,L,33,25.0,4.0,1.0,1.0,0.0,2.0,9.0,15.0,0.6,7.0,13.0,0.538,0.0,0.0,0.0,17.8,-8.0
2022-04-01,DET,True,False,L,23,16.0,5.0,4.0,0.0,1.0,0.0,6.0,12.0,0.5,4.0,10.0,0.4,0.0,0.0,0.0,14.2,1.0
2022-04-03,PHX,True,False,W,23,10.0,5.0,0.0,3.0,0.0,1.0,4.0,12.0,0.333,2.0,9.0,0.222,0.0,0.0,0.0,7.9,16.0
2022-04-05,POR,True,False,W,4,8.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.667,2.0,3.0,0.667,2.0,2.0,1.0,8.0,5.0
2022-04-06,UTA,False,True,L,27,10.0,4.0,1.0,0.0,0.0,0.0,3.0,10.0,0.3,3.0,7.0,0.429,1.0,2.0,0.5,6.1,-22.0
2022-10-22,DEN,False,False,L,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.0
