date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-12-06,MIN,True,False,W,7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-4.0
2019-12-08,POR,False,False,W,20,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,3.0,0.0,0.0,2.0,0.0,-2.7,7.0
2019-12-09,UTA,False,True,W,29,9.0,2.0,0.0,0.0,0.0,2.0,3.0,6.0,0.5,0.0,3.0,0.0,3.0,3.0,1.0,3.0,0.0
2019-12-11,SAC,False,False,L,13,2.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.5,-11.0
2019-12-14,DEN,False,False,L,12,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0.0
2019-12-27,CHA,False,False,W,17,7.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,2.0,4.0,0.5,5.4,12.0
2019-12-29,TOR,False,False,W,17,3.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,0.167,0.0,3.0,0.0,1.0,1.0,1.0,-2.7,-2.0
2020-01-18,POR,True,False,W,20,7.0,0.0,2.0,2.0,0.0,1.0,2.0,4.0,0.5,1.0,3.0,0.333,2.0,3.0,0.667,5.4,5.0
2020-01-20,HOU,False,False,W,32,8.0,2.0,2.0,0.0,0.0,2.0,3.0,10.0,0.3,1.0,4.0,0.25,1.0,1.0,1.0,1.0,2.0
2020-01-22,ORL,False,False,W,26,6.0,0.0,2.0,2.0,0.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,4.8,-4.0
2020-01-24,ATL,True,False,W,16,5.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,4.3,-1.0
2020-01-25,MIN,False,True,W,30,10.0,2.0,1.0,2.0,0.0,0.0,3.0,5.0,0.6,2.0,4.0,0.5,2.0,2.0,1.0,10.6,9.0
2020-01-27,DAL,True,False,L,26,5.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.7,2.0
2020-01-29,SAC,False,False,W,27,23.0,2.0,0.0,1.0,1.0,2.0,8.0,12.0,0.667,5.0,6.0,0.833,2.0,2.0,1.0,17.3,6.0
2020-01-31,PHX,False,False,W,27,8.0,2.0,0.0,3.0,0.0,0.0,3.0,8.0,0.375,1.0,3.0,0.333,1.0,2.0,0.5,5.2,-4.0
2020-02-05,CLE,True,False,W,17,4.0,2.0,0.0,1.0,0.0,2.0,2.0,7.0,0.286,0.0,3.0,0.0,0.0,0.0,0.0,-0.1,4.0
2020-02-07,DET,True,False,W,25,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.5,9.0
2020-02-09,BOS,True,False,L,12,3.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,-0.7,-2.0
2020-02-11,SAS,True,False,L,21,4.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,3.0,0.0,0.0,0.0,0.0,1.9,-2.0
2020-02-13,NOP,False,False,W,23,7.0,3.0,0.0,1.0,0.0,0.0,2.0,5.0,0.4,1.0,3.0,0.333,2.0,2.0,1.0,6.2,11.0
2020-02-21,DEN,True,False,W,22,11.0,1.0,2.0,3.0,0.0,0.0,4.0,9.0,0.444,1.0,4.0,0.25,2.0,2.0,1.0,10.6,6.0
2020-02-23,SAS,True,False,W,24,15.0,2.0,2.0,3.0,0.0,1.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.5,15.6,36.0
2020-02-25,CHI,False,False,W,24,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.9,-3.0
2020-02-27,SAC,True,False,W,24,6.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,3.5,-8.0
2020-02-28,MIL,False,True,L,25,6.0,3.0,0.0,0.0,0.0,0.0,3.0,7.0,0.429,0.0,3.0,0.0,0.0,0.0,0.0,2.8,-38.0
2020-03-03,LAC,True,False,L,25,7.0,5.0,2.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,2.0,0.0,5.0,5.0,1.0,5.6,11.0
2020-03-04,DET,False,True,W,25,6.0,5.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,3.6,2.0
2020-03-06,NYK,False,False,W,21,6.0,2.0,1.0,0.0,0.0,0.0,3.0,8.0,0.375,0.0,1.0,0.0,0.0,0.0,0.0,2.1,10.0
2020-03-08,BOS,False,False,W,31,8.0,4.0,1.0,1.0,1.0,2.0,3.0,8.0,0.375,2.0,3.0,0.667,0.0,0.0,0.0,3.6,-3.0
2020-08-01,UTA,True,False,W,30,5.0,3.0,1.0,2.0,0.0,1.0,2.0,8.0,0.25,1.0,5.0,0.2,0.0,0.0,0.0,2.4,8.0
