date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2018-10-17,PHX,False,False,L,32,10.0,8.0,4.0,0.0,0.0,4.0,5.0,16.0,0.313,0.0,5.0,0.0,0.0,2.0,0.0,0.8,-18.0
2018-10-20,MIN,True,False,W,36,26.0,6.0,3.0,2.0,1.0,6.0,8.0,16.0,0.5,4.0,9.0,0.444,6.0,9.0,0.667,16.6,4.0
2018-10-22,CHI,True,False,W,36,19.0,3.0,6.0,1.0,0.0,3.0,7.0,14.0,0.5,3.0,8.0,0.375,2.0,2.0,1.0,13.9,5.0
2018-10-24,ATL,False,False,L,34,21.0,9.0,2.0,1.0,1.0,3.0,7.0,18.0,0.389,2.0,9.0,0.222,5.0,8.0,0.625,12.0,-12.0
2018-10-26,TOR,False,False,L,35,22.0,5.0,4.0,0.0,0.0,3.0,7.0,14.0,0.5,4.0,6.0,0.667,4.0,4.0,1.0,16.3,0.0
2018-10-28,UTA,True,False,L,37,14.0,6.0,5.0,1.0,0.0,5.0,5.0,13.0,0.385,2.0,6.0,0.333,2.0,2.0,1.0,8.2,4.0
2018-10-29,SAS,False,True,L,40,31.0,8.0,4.0,1.0,1.0,6.0,11.0,18.0,0.611,4.0,6.0,0.667,5.0,6.0,0.833,24.1,7.0
2018-10-31,LAL,False,False,L,28,14.0,5.0,7.0,1.0,0.0,2.0,5.0,11.0,0.455,3.0,6.0,0.5,1.0,2.0,0.5,12.9,-13.0
2018-11-02,NYK,True,False,L,35,18.0,9.0,6.0,1.0,0.0,4.0,8.0,15.0,0.533,2.0,6.0,0.333,0.0,1.0,0.0,13.8,-10.0
2018-11-06,WAS,True,False,W,33,23.0,7.0,3.0,1.0,0.0,5.0,9.0,16.0,0.563,2.0,7.0,0.286,3.0,3.0,1.0,15.2,11.0
2018-11-07,UTA,False,True,L,35,24.0,6.0,2.0,0.0,0.0,5.0,7.0,14.0,0.5,3.0,4.0,0.75,7.0,7.0,1.0,14.4,-15.0
2018-11-10,OKC,True,False,W,31,22.0,6.0,8.0,1.0,0.0,4.0,9.0,15.0,0.6,1.0,4.0,0.25,3.0,4.0,0.75,17.5,16.0
2018-11-12,CHI,False,False,W,32,11.0,6.0,3.0,1.0,0.0,3.0,3.0,12.0,0.25,2.0,7.0,0.286,3.0,4.0,0.75,5.7,-13.0
2018-11-14,UTA,True,False,W,25,13.0,6.0,2.0,2.0,1.0,3.0,5.0,13.0,0.385,2.0,4.0,0.5,1.0,2.0,0.5,8.4,17.0
2018-11-17,GSW,True,False,W,36,24.0,9.0,4.0,0.0,0.0,3.0,9.0,20.0,0.45,2.0,8.0,0.25,4.0,4.0,1.0,15.3,18.0
2018-11-19,MEM,False,False,L,37,15.0,10.0,3.0,0.0,1.0,3.0,6.0,20.0,0.3,3.0,9.0,0.333,0.0,0.0,0.0,5.8,3.0
2018-11-21,BKN,True,False,W,34,21.0,9.0,4.0,2.0,0.0,3.0,5.0,11.0,0.455,2.0,3.0,0.667,9.0,11.0,0.818,18.2,1.0
2018-11-24,BOS,True,False,W,31,15.0,0.0,8.0,3.0,1.0,3.0,5.0,11.0,0.455,3.0,4.0,0.75,2.0,2.0,1.0,15.6,8.0
2018-11-28,HOU,False,False,W,24,20.0,6.0,2.0,1.0,0.0,4.0,6.0,11.0,0.545,3.0,7.0,0.429,5.0,5.0,1.0,14.9,-6.0
