date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-10-23,CHI,False,False,L,6,3.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,4.9,10.0
2021-10-25,ATL,False,False,L,13,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,-0.3,-22.0
2021-10-28,PHI,False,False,L,5,6.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,3.2,-9.0
2021-10-31,BKN,False,False,L,9,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.6,-4.0
2021-11-02,MIL,True,False,L,7,3.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,1.0,1.2,-4.0
2021-11-12,CLE,False,False,L,14,5.0,2.0,2.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,6.4,4.0
2021-11-15,SAC,True,False,L,17,5.0,7.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,6.2,-4.0
2021-11-19,GSW,True,False,L,7,3.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.6,-8.0
2021-11-23,MIA,True,False,L,17,7.0,3.0,2.0,0.0,0.0,1.0,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,4.4,-6.0
2021-11-24,MIL,False,True,L,23,6.0,5.0,0.0,0.0,0.0,0.0,2.0,7.0,0.286,0.0,2.0,0.0,2.0,2.0,1.0,3.8,-22.0
2021-11-26,LAC,False,False,L,10,5.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,4.6,12.0
2021-11-30,POR,False,False,L,3,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.6,-1.0
2021-12-02,PHX,False,False,L,4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,-1.6,-1.0
2021-12-06,OKC,True,False,L,4,2.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.2,-4.0
2021-12-10,NOP,False,False,L,3,3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0
2021-12-18,HOU,True,False,L,9,9.0,3.0,0.0,0.0,0.0,1.0,4.0,6.0,0.667,1.0,2.0,0.5,0.0,2.0,0.0,5.9,-7.0
2021-12-19,MIA,True,True,W,7,5.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,2.0,0.0,1.0,2.0,0.5,3.6,-1.0
2021-12-21,NYK,False,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-7.0
2021-12-23,MIA,False,False,L,5,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,4.4,-11.0
2021-12-26,SAS,False,False,L,20,20.0,6.0,2.0,0.0,0.0,1.0,7.0,14.0,0.5,2.0,5.0,0.4,4.0,5.0,0.8,14.4,-17.0
2021-12-29,NYK,True,False,L,39,4.0,9.0,2.0,1.0,1.0,0.0,1.0,10.0,0.1,1.0,4.0,0.25,1.0,2.0,0.5,3.6,14.0
2022-01-01,SAS,True,False,W,40,20.0,14.0,0.0,1.0,0.0,3.0,7.0,12.0,0.583,1.0,2.0,0.5,5.0,8.0,0.625,17.4,15.0
2022-01-03,MIL,False,False,W,15,4.0,4.0,1.0,0.0,0.0,3.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,-0.2,3.0
2022-01-05,CHA,False,False,L,8,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,2.2,4.0
2022-01-06,MEM,False,True,L,18,8.0,4.0,3.0,0.0,0.0,0.0,3.0,8.0,0.375,1.0,4.0,0.25,1.0,1.0,1.0,6.9,9.0
2022-01-11,CHI,False,False,L,10,6.0,2.0,0.0,0.0,2.0,0.0,2.0,6.0,0.333,0.0,1.0,0.0,2.0,4.0,0.5,4.6,-9.0
2022-01-16,PHX,True,False,L,7,5.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,3.2,-2.0
2022-02-10,MEM,True,False,L,10,7.0,3.0,0.0,0.0,0.0,1.0,3.0,6.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,3.9,8.0
2022-02-11,CHA,True,True,L,4,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.0
2022-03-11,BOS,False,False,L,2,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,3.6,5.0
2022-03-21,POR,True,False,L,17,11.0,2.0,0.0,1.0,1.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,7.0,11.0,0.636,8.9,3.0
2022-04-10,PHI,False,False,L,31,20.0,10.0,4.0,0.0,1.0,1.0,8.0,18.0,0.444,2.0,7.0,0.286,2.0,6.0,0.333,16.1,-22.0
2022-11-23,IND,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2022-12-07,IND,True,False,W,4,4.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,2.6,-11.0
2022-12-12,POR,False,False,L,4,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.0
2022-12-14,LAC,False,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,5.0
2022-12-18,CHI,True,False,W,10,7.0,4.0,3.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,7.6,2.0
2022-12-19,DAL,True,True,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.5,-11.0
2022-12-23,BOS,False,False,L,1,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,4.0
2022-12-30,MIL,False,False,L,18,16.0,3.0,1.0,0.0,0.0,1.0,5.0,8.0,0.625,0.0,1.0,0.0,6.0,6.0,1.0,12.2,-1.0
2023-01-02,DEN,True,False,W,14,9.0,6.0,0.0,0.0,1.0,1.0,3.0,8.0,0.375,0.0,2.0,0.0,3.0,3.0,1.0,6.1,11.0
2023-01-04,POR,True,False,W,13,14.0,2.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,4.0,0.75,11.5,15.0
2023-01-06,LAC,True,False,W,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.6,-4.0
