date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-12-29,ATL,True,False,W,3,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-2.0
2022-04-10,DEN,False,False,W,22,6.0,3.0,1.0,1.0,1.0,2.0,2.0,5.0,0.4,1.0,3.0,0.333,1.0,1.0,1.0,2.6,9.0
2023-04-07,ATL,False,False,W,8,5.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,1.6,-11.0
2023-04-09,BKN,False,False,W,33,20.0,9.0,9.0,0.0,0.0,1.0,8.0,17.0,0.471,3.0,9.0,0.333,1.0,3.0,0.333,18.5,29.0
2024-10-26,MEM,False,False,L,5,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,11.0
2025-03-21,WAS,False,False,W,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.5,-13.0
2025-10-29,DAL,False,False,L,13,7.0,2.0,1.0,2.0,1.0,0.0,2.0,5.0,0.4,1.0,3.0,0.333,2.0,3.0,0.667,6.7,-2.0
2025-10-31,ATL,True,False,L,19,12.0,2.0,0.0,3.0,0.0,2.0,5.0,12.0,0.417,1.0,6.0,0.167,1.0,1.0,1.0,6.4,-4.0
2025-11-03,MIL,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-7.0
2026-02-05,TOR,False,False,L,13,4.0,1.0,1.0,0.0,1.0,1.0,2.0,7.0,0.286,0.0,2.0,0.0,0.0,0.0,0.0,-0.2,-7.0
2026-04-01,IND,True,False,L,11,8.0,2.0,0.0,0.0,1.0,1.0,3.0,6.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,5.7,3.0
2026-04-03,NYK,False,False,L,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-05,PHX,True,False,L,11,9.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,2.0,0.0,5.0,7.0,0.714,7.5,0.0
2026-04-07,WAS,False,False,W,18,5.0,0.0,3.0,1.0,0.0,0.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,4.2,-2.0
2026-04-09,WAS,False,False,W,15,2.0,2.0,2.0,3.0,0.0,3.0,1.0,7.0,0.143,0.0,3.0,0.0,0.0,0.0,0.0,-0.9,-4.0
2026-04-10,ORL,True,True,L,10,7.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,0.5,2.0,4.0,0.5,1.0,1.0,1.0,3.2,-2.0
2026-04-12,DAL,False,False,L,18,13.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,0.571,2.0,4.0,0.5,3.0,4.0,0.75,9.1,-1.0
