date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2026-03-14,PHI,False,False,L,23,4.0,3.0,1.0,1.0,2.0,5.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7,8.0
2026-03-16,POR,True,False,L,18,3.0,4.0,4.0,0.0,0.0,1.0,1.0,6.0,0.167,0.0,2.0,0.0,1.0,1.0,1.0,2.2,7.0
2026-03-18,OKC,True,False,L,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-5.0
2026-03-20,NYK,True,False,L,19,7.0,2.0,4.0,0.0,0.0,0.0,3.0,4.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,9.2,3.0
2026-03-22,SAC,False,False,L,29,18.0,2.0,4.0,3.0,0.0,0.0,7.0,9.0,0.778,3.0,4.0,0.75,1.0,1.0,1.0,20.5,-3.0
2026-03-23,POR,False,True,L,24,5.0,2.0,3.0,1.0,1.0,3.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,4.0,-20.0
2026-03-25,GSW,False,False,L,18,12.0,3.0,1.0,0.0,0.0,0.0,5.0,8.0,0.625,2.0,4.0,0.5,0.0,0.0,0.0,10.0,0.0
2026-03-29,SAC,True,False,W,16,7.0,3.0,1.0,1.0,0.0,1.0,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,7.1,9.0
2026-03-31,CHA,True,False,L,14,2.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,3.7,-9.0
2026-04-03,ATL,True,False,L,17,15.0,2.0,0.0,1.0,0.0,0.0,5.0,8.0,0.625,4.0,5.0,0.8,1.0,1.0,1.0,13.0,-5.0
2026-04-05,WAS,True,False,W,21,2.0,4.0,3.0,1.0,0.0,1.0,1.0,6.0,0.167,0.0,4.0,0.0,0.0,0.0,0.0,1.1,-13.0
2026-04-07,MIL,True,False,W,37,11.0,5.0,4.0,1.0,0.0,1.0,4.0,5.0,0.8,1.0,1.0,1.0,2.0,2.0,1.0,13.4,2.0
2026-04-09,IND,True,False,L,40,11.0,8.0,6.0,0.0,0.0,0.0,4.0,13.0,0.308,0.0,6.0,0.0,3.0,3.0,1.0,9.7,-22.0
2026-04-10,MIL,False,True,L,43,19.0,8.0,10.0,0.0,0.0,0.0,7.0,11.0,0.636,5.0,7.0,0.714,0.0,0.0,0.0,23.9,-12.0
2026-04-12,TOR,False,False,L,36,8.0,5.0,6.0,0.0,0.0,2.0,3.0,9.0,0.333,2.0,6.0,0.333,0.0,0.0,0.0,5.8,-30.0
