date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2017-10-18,DET,False,False,L,21,3.0,0.0,1.0,0.0,0.0,3.0,1.0,9.0,0.111,1.0,6.0,0.167,0.0,0.0,0.0,-5.6,-8.0
2017-10-20,ATL,True,False,W,19,6.0,3.0,0.0,0.0,0.0,3.0,2.0,7.0,0.286,2.0,5.0,0.4,0.0,0.0,0.0,-1.4,-13.0
2017-10-23,MIL,False,False,L,18,4.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,0.167,0.0,3.0,0.0,2.0,2.0,1.0,0.2,-10.0
2017-10-25,DEN,True,False,W,25,17.0,2.0,2.0,2.0,0.0,1.0,7.0,14.0,0.5,3.0,9.0,0.333,0.0,0.0,0.0,12.2,13.0
2017-10-27,HOU,True,False,L,28,10.0,3.0,2.0,1.0,0.0,0.0,3.0,9.0,0.333,2.0,7.0,0.286,2.0,2.0,1.0,8.2,-19.0
2017-10-29,ORL,True,False,W,18,2.0,1.0,3.0,0.0,1.0,3.0,1.0,8.0,0.125,0.0,3.0,0.0,0.0,0.0,0.0,-3.1,-8.0
2017-10-30,MEM,False,True,W,24,13.0,4.0,3.0,0.0,1.0,1.0,5.0,15.0,0.333,3.0,7.0,0.429,0.0,0.0,0.0,6.3,3.0
2017-11-01,MIL,True,False,W,23,25.0,2.0,1.0,1.0,0.0,0.0,10.0,17.0,0.588,5.0,8.0,0.625,0.0,0.0,0.0,19.0,6.0
2017-11-03,SAS,False,False,L,18,2.0,0.0,2.0,1.0,0.0,1.0,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,-0.5,-18.0
2017-11-05,MIN,False,False,L,20,6.0,3.0,8.0,0.0,0.0,1.0,2.0,8.0,0.25,1.0,3.0,0.333,1.0,2.0,0.5,5.5,0.0
2017-11-07,NYK,False,False,L,27,21.0,2.0,3.0,0.0,0.0,1.0,8.0,17.0,0.471,5.0,13.0,0.385,0.0,0.0,0.0,14.4,-12.0
2017-11-10,BOS,False,False,L,18,6.0,3.0,0.0,0.0,0.0,0.0,1.0,8.0,0.125,1.0,5.0,0.2,3.0,4.0,0.75,0.5,3.0
2017-11-15,CLE,True,False,L,9,5.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,2.9,-3.0
2017-11-17,CHI,False,False,L,10,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.6,-6.0
2017-11-20,MIN,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2017-11-24,CLE,False,False,L,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-2.0
2017-11-25,SAS,True,True,L,17,4.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,2.0,3.0,0.667,3.3,-3.0
2017-11-29,TOR,False,False,L,16,9.0,2.0,4.0,0.0,1.0,0.0,3.0,6.0,0.5,3.0,4.0,0.75,0.0,0.0,0.0,9.3,-3.0
2017-12-01,MIA,False,False,L,20,6.0,1.0,3.0,0.0,0.0,1.0,2.0,9.0,0.222,0.0,4.0,0.0,2.0,3.0,0.667,0.3,-5.0
2017-12-06,GSW,True,False,L,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.7,0.0
2017-12-08,CHI,True,False,L,11,3.0,2.0,0.0,1.0,0.0,0.0,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,1.5,-7.0
2017-12-09,LAL,True,True,L,20,2.0,1.0,3.0,1.0,0.0,1.0,1.0,7.0,0.143,0.0,1.0,0.0,0.0,1.0,0.0,-0.9,-10.0
2017-12-11,OKC,False,False,W,7,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-6.0
2017-12-13,HOU,False,False,L,5,6.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,4.6,-5.0
2017-12-15,MIA,True,False,L,10,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,-0.9,-11.0
2017-12-18,NYK,True,False,W,3,4.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,-2.0
2017-12-20,TOR,True,False,L,14,8.0,0.0,4.0,1.0,0.0,1.0,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,7.4,3.0
2017-12-22,MIL,False,False,L,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2017-12-23,MIL,True,True,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1.0
2018-01-02,SAC,False,False,W,5,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.3,-2.0
2018-01-05,LAL,False,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.4,-5.0
2018-01-10,DAL,True,False,L,12,6.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,5.4,4.0
2018-01-13,OKC,True,False,L,12,5.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,2.5,-11.0
2018-01-17,WAS,True,False,W,4,3.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,1.9,2.0
2018-01-22,SAC,True,False,W,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0
2018-01-27,MIA,False,False,L,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.8,-10.0
2018-01-31,ATL,False,False,W,3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,1.3,-6.0
