date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-22,HOU,True,False,W,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-2.0
2022-10-29,ATL,True,False,W,7,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3,1.0
2022-10-31,DET,True,False,W,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-3.0
2022-11-02,DET,True,False,W,16,3.0,4.0,1.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,4.0,0.75,2.0,12.0
2022-11-04,MIN,False,False,W,18,14.0,5.0,0.0,0.0,0.0,2.0,6.0,10.0,0.6,2.0,4.0,0.5,0.0,1.0,0.0,7.7,2.0
2022-11-05,OKC,True,True,W,25,2.0,5.0,0.0,1.0,0.0,2.0,1.0,9.0,0.111,0.0,6.0,0.0,0.0,0.0,0.0,-4.6,12.0
2022-11-07,ATL,False,False,L,11,4.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,4.0,0.25,1.0,2.0,0.5,1.4,4.0
2022-11-09,OKC,False,False,W,30,19.0,8.0,0.0,2.0,0.0,2.0,7.0,13.0,0.538,5.0,8.0,0.625,0.0,0.0,0.0,14.3,14.0
2022-11-11,SAS,False,False,L,34,8.0,4.0,2.0,1.0,0.0,0.0,4.0,13.0,0.308,0.0,6.0,0.0,0.0,0.0,0.0,3.7,-24.0
2022-11-14,ATL,True,False,L,34,20.0,8.0,1.0,0.0,1.0,2.0,7.0,9.0,0.778,3.0,4.0,0.75,3.0,3.0,1.0,18.3,-14.0
2022-11-16,CLE,True,False,W,27,2.0,5.0,1.0,0.0,0.0,2.0,1.0,8.0,0.125,0.0,3.0,0.0,0.0,0.0,0.0,-2.2,7.0
2022-11-18,PHI,False,False,L,15,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.2,-4.0
2022-11-21,POR,True,False,W,5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-9.0
2022-11-25,CLE,True,False,W,3,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-7.0
2022-11-27,DAL,True,False,W,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-5.0
2022-12-13,GSW,True,False,W,5,3.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0.9,-4.0
2022-12-15,MEM,False,False,L,22,12.0,3.0,2.0,2.0,0.0,0.0,4.0,9.0,0.444,1.0,6.0,0.167,3.0,5.0,0.6,11.2,-8.0
2022-12-17,UTA,True,False,W,19,18.0,3.0,2.0,1.0,0.0,1.0,5.0,9.0,0.556,4.0,7.0,0.571,4.0,4.0,1.0,14.8,17.0
2022-12-19,NOP,False,False,W,16,6.0,3.0,1.0,1.0,0.0,2.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,4.6,6.0
2022-12-21,CLE,False,False,L,20,11.0,1.0,0.0,0.0,0.0,1.0,4.0,7.0,0.571,3.0,5.0,0.6,0.0,0.0,0.0,5.8,0.0
2022-12-23,BKN,False,False,L,15,6.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.333,2.0,5.0,0.4,0.0,0.0,0.0,1.8,4.0
2022-12-25,BOS,False,False,L,4,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,3.7,-2.0
2022-12-28,CHI,False,False,L,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0
2022-12-30,MIN,True,False,W,15,5.0,2.0,1.0,1.0,0.0,1.0,2.0,6.0,0.333,0.0,3.0,0.0,1.0,2.0,0.5,1.7,4.0
2023-01-01,WAS,True,False,L,25,11.0,4.0,0.0,1.0,0.0,2.0,4.0,12.0,0.333,2.0,9.0,0.222,1.0,2.0,0.5,4.4,-14.0
2023-01-03,WAS,True,False,W,16,4.0,2.0,1.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.7,8.0
2023-01-04,TOR,False,True,W,22,10.0,4.0,2.0,0.0,0.0,3.0,4.0,6.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,6.6,-7.0
2023-01-06,CHA,True,False,L,23,6.0,2.0,2.0,0.0,0.0,1.0,2.0,6.0,0.333,0.0,3.0,0.0,2.0,2.0,1.0,2.8,-14.0
2023-01-09,NYK,False,False,W,11,8.0,5.0,1.0,0.0,0.0,0.0,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,6.8,5.0
2023-01-11,ATL,False,False,W,21,8.0,1.0,4.0,0.0,0.0,0.0,3.0,9.0,0.333,2.0,7.0,0.286,0.0,0.0,0.0,6.0,7.0
2023-01-12,MIA,False,True,L,18,0.0,2.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.5,-5.0
2023-01-14,MIA,False,False,L,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-2.1,4.0
2023-01-23,DET,False,False,W,8,7.0,0.0,1.0,0.0,0.0,1.0,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.3,-11.0
2023-01-29,NOP,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2023-02-06,POR,False,False,W,13,5.0,4.0,0.0,0.0,0.0,1.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,2.4,-5.0
2023-02-09,LAL,False,False,W,5,3.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,-1.9,-8.0
2023-02-10,LAC,False,True,W,16,10.0,0.0,2.0,2.0,1.0,0.0,4.0,7.0,0.571,1.0,3.0,0.333,1.0,2.0,0.5,10.0,-6.0
2023-02-16,CHI,False,False,W,22,2.0,4.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,3.9,-8.0
2023-02-24,MIA,True,False,W,5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,-6.0
2023-02-28,BKN,False,False,W,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.4,-1.0
2023-03-01,ORL,True,True,W,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1.0
