date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-19,SAS,False,False,W,4,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,-0.9,-7.0
2022-10-23,ATL,False,False,W,1,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.7,-1.0
2022-10-28,ORL,False,False,L,7,7.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,1.0,1.0,1.0,6.7,12.0
2022-12-26,POR,False,False,L,16,9.0,6.0,1.0,2.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,3.0,4.0,0.75,9.9,7.0
2022-12-27,GSW,False,True,L,18,6.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
2022-12-29,OKC,True,False,W,21,17.0,13.0,2.0,2.0,2.0,1.0,7.0,7.0,1.0,0.0,0.0,0.0,3.0,5.0,0.6,22.6,-1.0
2022-12-31,BKN,True,False,L,15,8.0,7.0,0.0,0.0,0.0,4.0,3.0,7.0,0.429,0.0,0.0,0.0,2.0,2.0,1.0,3.2,-8.0
2023-01-02,LAL,True,False,L,15,5.0,9.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,5.6,-7.0
2023-01-04,MEM,True,False,L,20,2.0,8.0,0.0,1.0,1.0,2.0,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-23.0
2023-01-06,MIL,False,False,W,14,4.0,6.0,1.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,4.3,-4.0
2023-01-08,IND,False,False,L,16,7.0,8.0,0.0,1.0,1.0,0.0,2.0,6.0,0.333,0.0,0.0,0.0,3.0,4.0,0.75,7.3,5.0
2023-01-10,TOR,False,False,L,15,4.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,3.9,-12.0
2023-01-14,BOS,True,False,L,2,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2023-01-16,BOS,True,False,L,17,9.0,6.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,3.0,4.0,0.75,8.8,0.0
2023-01-18,HOU,False,False,W,19,17.0,6.0,0.0,0.0,5.0,0.0,8.0,10.0,0.8,0.0,0.0,0.0,1.0,1.0,1.0,17.7,11.0
2023-01-21,ATL,False,False,W,19,8.0,5.0,0.0,3.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,2.0,3.0,0.667,9.4,-6.0
2023-01-23,UTA,False,False,L,18,11.0,3.0,0.0,2.0,3.0,1.0,5.0,7.0,0.714,0.0,0.0,0.0,1.0,2.0,0.5,11.7,-19.0
2023-01-24,PHX,False,True,L,6,6.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,3.2,-7.0
2023-01-26,CHI,True,False,W,18,10.0,6.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,-4.0
