date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2018-10-17,UTA,True,False,L,12,6.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.1,-14.0
2018-10-19,NOP,False,False,L,33,19.0,8.0,3.0,3.0,1.0,1.0,7.0,10.0,0.7,0.0,3.0,0.0,5.0,6.0,0.833,20.4,-21.0
2018-10-21,OKC,False,False,W,24,13.0,7.0,0.0,1.0,0.0,4.0,5.0,13.0,0.385,0.0,0.0,0.0,3.0,6.0,0.5,4.6,6.0
2018-10-23,DEN,False,False,L,32,20.0,9.0,3.0,0.0,5.0,4.0,9.0,11.0,0.818,1.0,1.0,1.0,1.0,3.0,0.333,19.0,-1.0
2018-10-24,MEM,True,True,W,22,13.0,6.0,1.0,0.0,0.0,1.0,4.0,8.0,0.5,0.0,0.0,0.0,5.0,8.0,0.625,9.7,-8.0
2018-10-26,WAS,True,False,W,23,11.0,8.0,0.0,1.0,1.0,5.0,5.0,11.0,0.455,1.0,1.0,1.0,0.0,2.0,0.0,4.4,-17.0
2018-10-29,MIA,False,False,W,17,7.0,5.0,1.0,0.0,2.0,2.0,3.0,7.0,0.429,1.0,1.0,1.0,0.0,0.0,0.0,4.9,-5.0
2018-10-30,ORL,False,True,W,23,10.0,9.0,2.0,1.0,1.0,3.0,3.0,7.0,0.429,2.0,3.0,0.667,2.0,4.0,0.5,9.9,-2.0
2018-11-01,ATL,False,False,W,24,18.0,5.0,0.0,1.0,0.0,1.0,7.0,10.0,0.7,0.0,0.0,0.0,4.0,4.0,1.0,16.1,20.0
2018-11-04,MIL,False,False,L,20,11.0,6.0,1.0,0.0,1.0,1.0,3.0,10.0,0.3,1.0,3.0,0.333,4.0,9.0,0.444,4.6,-7.0
2018-11-07,TOR,True,False,L,25,13.0,3.0,0.0,0.0,1.0,2.0,5.0,8.0,0.625,1.0,1.0,1.0,2.0,2.0,1.0,8.6,-8.0
2018-11-09,MIN,True,False,W,16,6.0,2.0,0.0,0.0,2.0,1.0,2.0,7.0,0.286,0.0,1.0,0.0,2.0,2.0,1.0,3.3,8.0
2018-11-10,LAL,True,True,L,22,13.0,3.0,0.0,0.0,2.0,3.0,5.0,12.0,0.417,0.0,0.0,0.0,3.0,6.0,0.5,5.5,-9.0
2018-11-12,SAS,True,False,W,21,7.0,6.0,0.0,0.0,1.0,3.0,3.0,9.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,1.4,2.0
2018-11-16,MEM,False,False,L,20,7.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.333,0.0,1.0,0.0,5.0,6.0,0.833,3.9,0.0
2018-11-17,HOU,False,True,L,27,16.0,8.0,1.0,0.0,1.0,2.0,7.0,10.0,0.7,0.0,1.0,0.0,2.0,3.0,0.667,14.0,-15.0
2018-11-19,OKC,True,False,W,26,15.0,13.0,2.0,0.0,3.0,2.0,6.0,11.0,0.545,0.0,1.0,0.0,3.0,6.0,0.5,15.5,-5.0
2018-11-21,UTA,False,False,W,27,11.0,6.0,0.0,2.0,2.0,1.0,5.0,9.0,0.556,0.0,0.0,0.0,1.0,2.0,0.5,9.3,11.0
2018-11-24,GSW,False,False,L,34,20.0,17.0,2.0,0.0,0.0,0.0,7.0,15.0,0.467,0.0,0.0,0.0,6.0,8.0,0.75,20.4,5.0
2018-11-25,UTA,True,True,L,30,18.0,6.0,0.0,0.0,2.0,1.0,6.0,12.0,0.5,0.0,3.0,0.0,6.0,8.0,0.75,12.6,-28.0
2018-11-29,LAC,True,False,L,27,18.0,10.0,2.0,1.0,0.0,0.0,8.0,15.0,0.533,0.0,1.0,0.0,2.0,2.0,1.0,17.3,-8.0
2018-12-07,CLE,False,False,W,25,17.0,1.0,1.0,1.0,1.0,2.0,8.0,9.0,0.889,1.0,1.0,1.0,0.0,0.0,0.0,14.6,-6.0
2018-12-08,IND,False,True,L,10,4.0,2.0,1.0,0.0,1.0,2.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2018-12-10,CHI,False,False,W,27,16.0,2.0,0.0,0.0,0.0,0.0,5.0,9.0,0.556,1.0,1.0,1.0,5.0,6.0,0.833,11.5,18.0
2018-12-12,MIN,True,False,W,26,17.0,10.0,3.0,0.0,0.0,0.0,4.0,5.0,0.8,0.0,1.0,0.0,9.0,10.0,0.9,20.6,10.0
2018-12-14,GSW,True,False,L,5,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,3.0
2019-01-07,ORL,True,False,W,20,8.0,6.0,1.0,0.0,1.0,0.0,2.0,7.0,0.286,0.0,2.0,0.0,4.0,6.0,0.667,5.9,10.0
2019-01-10,DET,True,False,W,20,10.0,7.0,1.0,2.0,0.0,2.0,4.0,5.0,0.8,0.0,0.0,0.0,2.0,2.0,1.0,11.3,-4.0
2019-01-12,CHA,True,False,W,25,11.0,9.0,0.0,1.0,1.0,0.0,5.0,13.0,0.385,1.0,2.0,0.5,0.0,3.0,0.0,7.1,13.0
