date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-10-23,NOP,False,False,L,5,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.2,8.0
2024-10-25,MIL,False,False,W,9,2.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.9,-6.0
2024-10-26,OKC,True,True,L,7,3.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,0.2,1.0
2024-10-28,MEM,False,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-6.0
2024-10-30,ORL,True,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1.0
2024-11-04,UTA,True,False,L,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-10.0
2024-11-06,DAL,False,False,L,23,13.0,9.0,0.0,2.0,1.0,1.0,4.0,9.0,0.444,3.0,4.0,0.75,2.0,2.0,1.0,13.9,-2.0
2024-11-07,MIN,True,True,L,17,2.0,3.0,0.0,2.0,2.0,2.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,2.6,2.0
2024-11-09,ATL,False,False,W,5,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-3.3,-8.0
2024-11-11,CLE,True,False,L,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.8,0.0
2024-11-13,NYK,False,False,W,12,4.0,4.0,0.0,0.0,3.0,0.0,1.0,6.0,0.167,0.0,3.0,0.0,2.0,2.0,1.0,3.5,-10.0
2024-11-15,CLE,False,False,L,8,9.0,2.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,9.4,8.0
2024-11-17,HOU,True,False,L,16,8.0,3.0,0.0,1.0,0.0,2.0,2.0,6.0,0.333,2.0,3.0,0.667,2.0,2.0,1.0,4.1,-4.0
2024-11-18,DET,False,True,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-3.0
2024-11-20,MIL,False,False,L,6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.5,-3.0
2024-11-22,ATL,True,False,W,20,9.0,4.0,0.0,1.0,2.0,3.0,3.0,8.0,0.375,1.0,4.0,0.25,2.0,2.0,1.0,3.6,7.0
2024-11-23,MEM,True,True,L,29,14.0,3.0,1.0,0.0,1.0,1.0,6.0,13.0,0.462,2.0,5.0,0.4,0.0,1.0,0.0,7.8,10.0
2024-11-26,WAS,False,False,W,17,9.0,4.0,0.0,1.0,1.0,0.0,4.0,7.0,0.571,1.0,4.0,0.25,0.0,0.0,0.0,7.8,0.0
2024-11-27,ORL,False,True,L,25,7.0,2.0,0.0,0.0,1.0,2.0,2.0,7.0,0.286,1.0,5.0,0.2,2.0,2.0,1.0,-0.2,-6.0
2024-11-29,BOS,True,False,L,5,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.6,-7.0
2024-12-02,BKN,True,False,W,22,20.0,5.0,1.0,0.0,2.0,0.0,7.0,10.0,0.7,4.0,5.0,0.8,2.0,2.0,1.0,19.0,17.0
2024-12-05,SAS,False,False,W,19,11.0,7.0,1.0,0.0,0.0,1.0,4.0,7.0,0.571,2.0,3.0,0.667,1.0,2.0,0.5,8.3,9.0
2024-12-06,IND,True,True,L,18,8.0,2.0,3.0,0.0,2.0,1.0,2.0,7.0,0.286,2.0,3.0,0.667,2.0,2.0,1.0,7.0,-1.0
2024-12-08,PHI,True,False,L,24,5.0,3.0,0.0,0.0,1.0,0.0,2.0,7.0,0.286,0.0,5.0,0.0,1.0,1.0,1.0,2.1,13.0
2024-12-13,CHA,True,False,W,20,5.0,5.0,3.0,0.0,3.0,0.0,1.0,11.0,0.091,1.0,5.0,0.2,2.0,2.0,1.0,4.2,11.0
2024-12-16,TOR,False,False,W,13,7.0,4.0,1.0,0.0,0.0,0.0,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,6.2,7.0
2024-12-19,BOS,False,False,W,10,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.3,1.0
2024-12-21,BOS,True,False,L,20,9.0,1.0,2.0,0.0,1.0,0.0,4.0,10.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,5.2,-13.0
2024-12-23,MIL,True,False,L,15,4.0,2.0,1.0,0.0,1.0,1.0,1.0,4.0,0.25,1.0,3.0,0.333,1.0,2.0,0.5,2.2,2.0
2024-12-28,MIL,True,False,W,13,2.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.7,-4.0
2024-12-30,CHA,False,False,W,10,2.0,2.0,0.0,0.0,1.0,0.0,1.0,6.0,0.167,0.0,1.0,0.0,0.0,0.0,0.0,-0.9,3.0
2025-01-01,WAS,False,False,L,14,5.0,4.0,0.0,1.0,1.0,1.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,4.6,2.0
2025-01-04,NYK,True,False,W,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.3,4.0
2025-01-06,SAS,True,False,W,12,0.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.7,-3.0
2025-01-08,IND,False,False,L,13,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.4,2.0
2025-01-10,WAS,True,False,W,16,8.0,3.0,0.0,0.0,2.0,2.0,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,5.9,13.0
2025-01-12,SAC,True,False,L,13,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.6,-3.0
2025-01-14,NOP,True,False,L,12,5.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,2.8,-2.0
2025-01-15,ATL,True,True,L,17,8.0,5.0,0.0,0.0,2.0,0.0,4.0,8.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,6.5,-18.0
2025-01-17,CHA,True,False,L,4,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.7,3.0
2025-01-19,POR,False,False,L,15,7.0,3.0,0.0,1.0,2.0,1.0,2.0,5.0,0.4,1.0,2.0,0.5,2.0,2.0,1.0,6.2,8.0
2025-01-20,LAC,False,True,W,13,5.0,4.0,0.0,0.0,0.0,0.0,1.0,6.0,0.167,1.0,3.0,0.333,2.0,2.0,1.0,3.6,-11.0
2025-01-23,GSW,False,False,L,11,3.0,4.0,0.0,0.0,0.0,1.0,1.0,6.0,0.167,0.0,1.0,0.0,1.0,1.0,1.0,-0.6,-9.0
2025-01-25,PHI,True,False,L,12,6.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,3.9,5.0
2025-01-27,DEN,True,False,W,20,9.0,4.0,2.0,0.0,0.0,1.0,4.0,5.0,0.8,1.0,1.0,1.0,0.0,0.0,0.0,8.3,10.0
2025-01-29,BOS,False,False,L,22,12.0,4.0,0.0,0.0,1.0,0.0,4.0,6.0,0.667,2.0,4.0,0.5,2.0,2.0,1.0,9.3,-10.0
2025-01-31,TOR,False,False,W,26,12.0,7.0,0.0,0.0,3.0,1.0,4.0,8.0,0.5,2.0,4.0,0.5,2.0,2.0,1.0,10.8,18.0
2025-02-02,DET,False,False,L,26,12.0,3.0,1.0,0.0,0.0,1.0,5.0,9.0,0.556,2.0,5.0,0.4,0.0,0.0,0.0,9.1,-3.0
2025-02-04,MIA,True,False,W,31,24.0,2.0,0.0,0.0,2.0,1.0,10.0,10.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,20.4,1.0
2025-02-05,MIN,False,True,L,29,14.0,5.0,1.0,2.0,3.0,0.0,4.0,10.0,0.4,0.0,4.0,0.0,6.0,9.0,0.667,12.9,-20.0
2025-02-08,GSW,True,False,L,29,16.0,4.0,5.0,1.0,1.0,3.0,6.0,10.0,0.6,1.0,3.0,0.333,3.0,4.0,0.75,13.2,-18.0
2025-02-11,DET,True,False,L,19,12.0,1.0,1.0,0.0,0.0,1.0,5.0,7.0,0.714,2.0,2.0,1.0,0.0,0.0,0.0,8.3,-17.0
2025-02-12,DET,True,True,L,26,11.0,1.0,1.0,0.0,0.0,0.0,5.0,12.0,0.417,1.0,7.0,0.143,0.0,0.0,0.0,4.0,-20.0
2025-02-20,NYK,False,False,L,24,5.0,7.0,1.0,0.0,1.0,1.0,2.0,8.0,0.25,1.0,6.0,0.167,0.0,0.0,0.0,2.7,-3.0
2025-02-22,PHX,True,False,L,24,15.0,3.0,1.0,1.0,1.0,2.0,5.0,10.0,0.5,3.0,7.0,0.429,2.0,2.0,1.0,11.3,-4.0
2025-02-24,PHI,False,False,W,36,17.0,3.0,5.0,0.0,1.0,0.0,6.0,17.0,0.353,1.0,6.0,0.167,4.0,4.0,1.0,12.2,40.0
2025-02-26,LAC,True,False,L,26,5.0,4.0,2.0,0.0,0.0,2.0,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,0.0,1.9,-18.0
2025-02-28,TOR,True,False,W,25,10.0,4.0,3.0,0.0,0.0,3.0,4.0,8.0,0.5,0.0,4.0,0.0,2.0,2.0,1.0,5.9,-11.0
2025-03-02,IND,False,False,L,30,18.0,6.0,3.0,1.0,1.0,1.0,8.0,16.0,0.5,2.0,6.0,0.333,0.0,0.0,0.0,14.6,-24.0
2025-03-04,CLE,True,False,L,31,17.0,7.0,3.0,0.0,1.0,0.0,7.0,17.0,0.412,1.0,7.0,0.143,2.0,2.0,1.0,12.0,-19.0
