date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-18,GSW,False,False,L,2,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0
2022-10-26,DEN,False,False,L,3,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,7.0
2022-11-04,UTA,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2.0
2022-11-06,CLE,True,False,L,5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.0
2022-11-07,UTA,False,True,L,29,8.0,1.0,2.0,2.0,0.0,1.0,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,7.4,-16.0
2022-11-09,LAC,False,False,L,14,3.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.4,-8.0
2022-11-11,SAC,True,False,L,17,7.0,4.0,1.0,1.0,0.0,0.0,2.0,5.0,0.4,2.0,5.0,0.4,1.0,2.0,0.5,6.4,8.0
2022-11-13,BKN,True,False,W,21,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2022-11-25,SAS,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2022-11-30,POR,True,False,W,19,3.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,0.167,1.0,5.0,0.2,0.0,0.0,0.0,-0.2,8.0
2022-12-07,TOR,False,False,L,13,5.0,3.0,0.0,0.0,0.0,1.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,1.8,4.0
2022-12-16,DEN,True,False,W,16,6.0,3.0,0.0,0.0,1.0,0.0,2.0,5.0,0.4,2.0,3.0,0.667,0.0,0.0,0.0,5.3,14.0
2022-12-18,WAS,True,False,W,24,8.0,4.0,0.0,0.0,1.0,0.0,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,6.9,-2.0
2022-12-19,PHX,False,True,L,27,2.0,6.0,1.0,0.0,0.0,1.0,1.0,9.0,0.111,0.0,3.0,0.0,0.0,0.0,0.0,-1.6,-17.0
2022-12-21,SAC,False,False,L,26,6.0,4.0,3.0,0.0,0.0,0.0,2.0,3.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,7.2,-16.0
2022-12-23,CHA,True,False,L,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.1,-11.0
2022-12-25,DAL,False,False,L,5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.2,1.0
2022-12-27,ORL,False,False,W,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2022-12-28,MIA,False,True,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,MIA,True,False,W,7,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.8,-1.0
2023-01-06,ATL,True,False,W,16,8.0,1.0,3.0,0.0,1.0,2.0,3.0,5.0,0.6,2.0,2.0,1.0,0.0,0.0,0.0,6.0,6.0
2023-01-07,SAC,False,True,W,24,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0
2023-01-09,DEN,False,False,L,26,14.0,3.0,1.0,0.0,0.0,0.0,6.0,8.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,12.0,-10.0
2023-01-12,DAL,True,False,L,29,7.0,5.0,0.0,0.0,1.0,1.0,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,5.2,-9.0
2023-01-15,PHI,True,False,L,15,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,-0.6,-11.0
2023-01-16,HOU,True,True,W,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2023-01-18,SAC,True,False,L,27,12.0,3.0,1.0,2.0,0.0,0.0,3.0,8.0,0.375,2.0,6.0,0.333,4.0,4.0,1.0,10.0,-5.0
2023-01-20,MEM,True,False,W,14,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.7,-13.0
2023-01-22,POR,False,False,W,16,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,-9.0
2023-01-24,LAC,True,False,L,17,5.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,5.3,-4.0
2023-01-25,SAS,True,True,W,24,5.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,6.6,13.0
2023-01-30,BKN,False,False,L,8,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,0.1,-13.0
2023-01-31,NYK,False,True,W,13,6.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,3.3,2.0
2023-02-09,MIL,True,False,L,12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-8.0
2023-02-13,POR,False,False,L,7,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.9,14.0
2023-02-28,MEM,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2023-03-01,OKC,False,True,W,6,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-9.0
2023-03-14,NOP,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2023-04-02,HOU,False,False,W,4,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2023-04-07,PHX,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2023-04-09,UTA,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24,DEN,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,LAC,True,False,W,22,5.0,3.0,0.0,1.0,0.0,0.0,1.0,7.0,0.143,1.0,5.0,0.2,2.0,2.0,1.0,1.2,0.0
2023-11-04,ORL,False,False,L,23,6.0,5.0,0.0,0.0,0.0,1.0,3.0,7.0,0.429,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-24.0
2023-11-06,MIA,False,False,L,15,4.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,1.9,-8.0
2023-11-08,HOU,False,False,L,28,4.0,8.0,3.0,0.0,1.0,1.0,1.0,8.0,0.125,0.0,2.0,0.0,2.0,3.0,0.667,2.2,-15.0
2023-11-12,POR,True,False,W,13,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
2023-11-14,MEM,True,False,W,9,5.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.4,10.0
2023-11-15,SAC,True,True,L,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-4.0
2023-11-17,POR,False,False,W,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,0.0
2023-11-21,UTA,True,False,W,25,7.0,5.0,4.0,1.0,1.0,0.0,3.0,8.0,0.375,1.0,5.0,0.2,0.0,0.0,0.0,7.8,10.0
2023-11-22,DAL,True,True,L,23,7.0,2.0,0.0,0.0,0.0,0.0,3.0,7.0,0.429,1.0,4.0,0.25,0.0,0.0,0.0,3.9,-19.0
2023-11-25,CLE,False,False,W,33,12.0,5.0,3.0,0.0,0.0,1.0,5.0,7.0,0.714,2.0,4.0,0.5,0.0,0.0,0.0,10.9,6.0
2023-11-27,PHI,False,False,L,26,6.0,3.0,1.0,1.0,0.0,1.0,3.0,6.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,3.4,-16.0
2023-11-29,DET,False,False,W,22,5.0,2.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,5.0,1.0,3.2,13.0
2023-11-30,OKC,False,True,L,21,8.0,0.0,0.0,2.0,1.0,1.0,3.0,7.0,0.429,2.0,3.0,0.667,0.0,0.0,0.0,4.4,-2.0
2023-12-02,HOU,True,False,W,29,12.0,7.0,2.0,0.0,0.0,0.0,4.0,7.0,0.571,3.0,3.0,1.0,1.0,2.0,0.5,10.6,19.0
2023-12-05,PHX,True,False,W,8,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.9,-2.0
2023-12-07,NOP,True,False,W,17,6.0,2.0,0.0,1.0,0.0,0.0,3.0,5.0,0.6,0.0,1.0,0.0,0.0,2.0,0.0,4.1,6.0
2023-12-12,DAL,False,False,L,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,5.0
2023-12-13,SAS,False,True,W,14,3.0,5.0,2.0,0.0,0.0,2.0,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,0.8,8.0
2023-12-15,SAS,False,False,L,23,2.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,0.167,0.0,1.0,0.0,0.0,0.0,0.0,-2.5,-25.0
2023-12-20,CHI,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-28,CHA,True,False,W,24,10.0,7.0,3.0,1.0,2.0,1.0,3.0,4.0,0.75,2.0,3.0,0.667,2.0,2.0,1.0,13.2,18.0
2023-12-31,NOP,False,False,L,29,7.0,7.0,0.0,2.0,0.0,2.0,3.0,11.0,0.273,1.0,6.0,0.167,0.0,0.0,0.0,2.6,-8.0
