date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-11-22,MIA,True,False,L,5,5.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,1.0,1.0,1.0,4.0,13.0
2019-11-29,POR,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-12-29,MIL,True,False,L,12,7.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,0.6,1.0,3.0,0.333,0.0,0.0,0.0,5.4,-7.0
2021-01-12,PHI,False,False,L,24,8.0,1.0,1.0,0.0,0.0,0.0,3.0,7.0,0.429,2.0,6.0,0.333,0.0,0.0,0.0,4.9,1.0
2021-01-14,PHI,False,False,L,28,11.0,7.0,1.0,1.0,0.0,0.0,4.0,8.0,0.5,2.0,6.0,0.333,1.0,3.0,0.333,9.2,-5.0
2021-01-16,DET,True,False,L,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-2.0
2021-01-20,TOR,False,False,W,11,3.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,0.4,5.0
2021-01-22,TOR,False,False,L,15,2.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,0.2,0.0,4.0,0.0,0.0,0.0,0.0,-1.1,-11.0
2021-01-25,BKN,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-27,DEN,True,False,L,17,5.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.2,1.0,5.0,0.2,2.0,2.0,1.0,2.1,-22.0
