date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2017-10-21,HOU,False,False,L,12,5.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,1.0,2.0,0.5,4.9,18.0
2017-10-23,GSW,True,False,L,6,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,-4.0
2017-10-26,MEM,False,False,L,12,6.0,4.0,1.0,0.0,1.0,0.0,2.0,8.0,0.25,1.0,5.0,0.2,1.0,2.0,0.5,4.2,6.0
2017-10-30,UTA,False,False,L,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.6,1.0
2017-11-01,LAC,False,False,L,21,11.0,3.0,0.0,2.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,12.3,-13.0
2017-11-04,MIN,False,False,L,22,4.0,3.0,2.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,2.9,18.0
2017-11-11,CLE,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-12,OKC,False,True,L,8,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
2017-11-14,SAS,True,False,L,21,5.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,0.4,0.0,2.0,0.0,1.0,1.0,1.0,2.9,1.0
2017-11-17,MIN,True,False,L,27,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.6,-19.0
2017-11-18,MIL,True,True,W,10,5.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,1.0,1.0,2.2,-2.0
2017-11-20,BOS,True,False,L,15,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,-1.0
2017-11-22,MEM,False,False,W,13,6.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.0
2017-11-25,OKC,True,False,W,21,7.0,5.0,0.0,0.0,0.0,2.0,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.9,-4.0
2017-11-27,SAS,False,False,L,13,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.9,-16.0
2017-11-29,BKN,True,False,L,23,16.0,7.0,0.0,0.0,1.0,1.0,7.0,11.0,0.636,2.0,4.0,0.5,0.0,0.0,0.0,12.1,-1.0
2017-12-02,LAC,True,False,W,23,3.0,8.0,1.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,2.7,-6.0
2017-12-04,DEN,True,False,W,19,2.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,5.0
