date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-22,PHX,False,False,L,11,0.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-3.0
2025-11-01,MIL,False,False,W,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0
2025-11-05,GSW,True,False,W,15,6.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,4.0,4.0,1.0,5.9,1.0
2025-11-07,OKC,True,False,L,24,8.0,10.0,1.0,1.0,0.0,1.0,3.0,10.0,0.3,0.0,1.0,0.0,2.0,2.0,1.0,7.1,-10.0
2025-11-09,MIN,True,False,L,5,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,4.0,-2.0
2025-11-12,ATL,True,False,L,15,7.0,4.0,1.0,0.0,1.0,3.0,3.0,6.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,3.2,-3.0
2025-11-19,OKC,False,False,L,19,7.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,5.1,3.0
2025-11-20,MEM,False,True,L,21,12.0,3.0,1.0,0.0,1.0,0.0,6.0,8.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,10.3,-12.0
2025-11-22,DEN,False,False,W,8,6.0,3.0,1.0,1.0,0.0,0.0,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,5.1,-8.0
2025-11-24,MIN,True,False,W,14,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,-2.4,-5.0
