date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-27,BOS,True,False,L,3,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.4,-9.0
2025-10-29,DEN,False,False,L,8,3.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,3.3,4.0
2025-11-02,OKC,False,False,L,7,3.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,1.3,1.0
2025-11-05,DAL,False,False,W,18,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0
2025-11-08,SAS,False,False,L,18,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.3,-5.0
2025-11-10,PHX,False,False,L,16,4.0,1.0,0.0,0.0,1.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.1,-6.0
2025-11-12,POR,True,False,L,12,2.0,5.0,2.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.7,-11.0
2025-11-14,LAL,True,False,L,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.6,-4.0
2025-11-16,GSW,True,False,L,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2025-11-17,OKC,True,True,L,24,16.0,4.0,4.0,0.0,0.0,0.0,7.0,9.0,0.778,2.0,3.0,0.667,0.0,0.0,0.0,16.5,-16.0
2025-11-19,DEN,True,False,L,17,9.0,3.0,1.0,0.0,0.0,0.0,3.0,8.0,0.375,0.0,3.0,0.0,3.0,3.0,1.0,5.8,0.0
2025-11-21,DAL,False,False,L,13,4.0,1.0,0.0,1.0,1.0,0.0,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.6,-4.0
2025-11-22,ATL,True,True,L,27,4.0,3.0,1.0,0.0,0.0,2.0,2.0,7.0,0.286,0.0,3.0,0.0,0.0,0.0,0.0,-0.5,1.0
2025-11-24,CHI,True,False,W,20,10.0,3.0,2.0,4.0,0.0,0.0,5.0,9.0,0.556,0.0,2.0,0.0,0.0,2.0,0.0,11.2,13.0
2025-11-26,MEM,True,False,L,21,11.0,4.0,2.0,1.0,0.0,1.0,4.0,9.0,0.444,0.0,3.0,0.0,3.0,3.0,1.0,8.9,4.0
2025-11-29,GSW,False,False,L,32,7.0,5.0,1.0,1.0,0.0,0.0,2.0,8.0,0.25,0.0,2.0,0.0,3.0,4.0,0.75,6.2,0.0
2025-11-30,LAL,False,True,L,30,13.0,2.0,1.0,2.0,0.0,2.0,5.0,10.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,8.1,-1.0
2025-12-02,MIN,True,False,L,20,8.0,1.0,2.0,1.0,0.0,0.0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,7.7,-15.0
2025-12-04,MIN,True,False,L,15,0.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,-12.0
2025-12-06,BKN,False,False,L,16,2.0,1.0,2.0,1.0,0.0,0.0,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.6,5.0
2025-12-08,SAS,True,False,L,13,4.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,0.286,0.0,2.0,0.0,0.0,0.0,0.0,-0.2,-20.0
2025-12-11,POR,True,False,W,11,5.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,5.3,15.0
2025-12-20,IND,True,False,W,15,8.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,2.0,2.0,1.0,0.0,0.0,0.0,6.3,-5.0
2025-12-22,DAL,True,False,W,5,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,1.0
2025-12-23,CLE,False,True,L,14,5.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,5.0,-9.0
2025-12-26,PHX,True,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2025-12-27,PHX,True,True,L,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.2,-9.0
2025-12-29,NYK,True,False,L,10,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0
2025-12-31,CHI,False,False,L,14,6.0,2.0,1.0,0.0,0.0,1.0,2.0,4.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,3.1,-5.0
2026-01-02,POR,True,False,L,24,2.0,3.0,2.0,1.0,1.0,0.0,1.0,9.0,0.111,0.0,5.0,0.0,0.0,0.0,0.0,-1.1,12.0
2026-01-04,MIA,False,False,L,14,4.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.3,-5.0
2026-01-06,LAL,True,False,L,14,5.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,4.6,-10.0
2026-01-07,ATL,False,True,L,29,11.0,5.0,6.0,2.0,2.0,0.0,5.0,12.0,0.417,1.0,5.0,0.2,0.0,0.0,0.0,14.1,-9.0
2026-01-09,WAS,False,False,W,28,9.0,1.0,1.0,1.0,0.0,0.0,4.0,9.0,0.444,1.0,4.0,0.25,0.0,0.0,0.0,3.9,5.0
2026-01-11,ORL,False,False,L,19,2.0,1.0,3.0,0.0,0.0,0.0,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,-0.6,14.0
2026-01-13,DEN,True,False,L,12,2.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,-0.2,-9.0
2026-01-18,HOU,False,False,L,22,7.0,3.0,3.0,2.0,0.0,0.0,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,9.3,17.0
2026-01-21,DET,True,False,L,27,17.0,7.0,2.0,4.0,1.0,1.0,7.0,11.0,0.636,3.0,5.0,0.6,0.0,0.0,0.0,20.9,-1.0
2026-01-23,MEM,False,False,W,16,2.0,2.0,0.0,1.0,0.0,0.0,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.5,-4.0
2026-01-25,SAS,False,False,W,18,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.8,-10.0
2026-01-27,OKC,False,False,L,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-4.3,-12.0
2026-01-30,MEM,True,False,W,7,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.3,-4.0
2026-01-31,PHI,False,True,L,9,5.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.3,-4.0
2026-02-04,MIL,False,False,L,12,2.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,1.2,5.0
2026-02-06,MIN,False,False,W,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.7,0.0
2026-02-09,SAC,True,False,W,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2026-02-28,UTA,False,False,W,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-3.0
2026-03-01,LAC,False,True,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,3.0
2026-03-05,SAC,False,False,W,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.3,0.0
2026-03-08,WAS,True,False,W,4,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-1.0
2026-03-11,TOR,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
2026-03-16,DAL,True,False,W,2,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.8,3.0
2026-03-26,DET,False,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1.0
2026-03-27,TOR,False,True,L,2,4.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,5.4,7.0
2026-03-29,HOU,True,False,L,16,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,-18.0
2026-04-02,POR,False,False,L,12,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,12.0
2026-04-03,SAC,False,True,L,32,8.0,3.0,3.0,4.0,0.0,0.0,2.0,5.0,0.4,2.0,3.0,0.667,2.0,2.0,1.0,11.1,5.0
2026-04-05,ORL,True,False,L,28,3.0,5.0,1.0,1.0,1.0,1.0,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,0.9,-19.0
2026-04-07,UTA,True,False,W,36,20.0,4.0,2.0,2.0,0.0,3.0,9.0,13.0,0.692,2.0,3.0,0.667,0.0,0.0,0.0,15.3,21.0
2026-04-10,BOS,False,False,L,37,2.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,0.143,0.0,3.0,0.0,0.0,0.0,0.0,-2.8,-5.0
2026-04-12,MIN,False,False,L,41,21.0,4.0,3.0,1.0,2.0,1.0,6.0,12.0,0.5,2.0,4.0,0.5,7.0,8.0,0.875,18.1,-4.0
