date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-10-31,NOP,False,False,L,21,15.0,4.0,1.0,0.0,0.0,1.0,5.0,8.0,0.625,1.0,3.0,0.333,4.0,6.0,0.667,11.1,1.0
2019-11-02,ORL,False,False,W,7,3.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.2,0.0
2019-11-05,MIA,True,False,W,3,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,-1.0
2019-11-08,PHI,True,False,W,8,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-9.0
2019-11-10,MIN,False,False,W,9,5.0,4.0,0.0,0.0,0.0,1.0,2.0,5.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,3.3,-6.0
2019-11-12,ATL,True,False,L,7,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-6.0
2019-11-14,BKN,True,False,W,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-4.0
2019-11-17,MEM,False,False,W,13,0.0,3.0,2.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.7,13.0
2019-11-22,BOS,True,False,W,10,4.0,5.0,0.0,0.0,1.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,1.7,-9.0
2019-11-24,PHX,True,False,W,8,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,-7.0
2019-12-05,NYK,False,False,W,5,6.0,3.0,1.0,0.0,0.0,2.0,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,3.2,-2.0
2019-12-06,BOS,False,True,L,8,9.0,3.0,0.0,0.0,0.0,0.0,4.0,7.0,0.571,1.0,2.0,0.5,0.0,0.0,0.0,7.4,10.0
2019-12-10,PHI,False,False,L,14,6.0,6.0,0.0,0.0,0.0,0.0,2.0,7.0,0.286,0.0,0.0,0.0,2.0,2.0,1.0,3.7,-9.0
2019-12-12,POR,True,False,W,10,6.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,1.3,1.0
2019-12-14,OKC,True,False,W,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-5.0
2019-12-15,NYK,True,True,W,11,9.0,8.0,2.0,0.0,1.0,1.0,4.0,8.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,10.1,-4.0
2019-12-18,ORL,True,False,W,9,4.0,3.0,0.0,1.0,1.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,4.9,-4.0
2019-12-20,MIN,True,False,W,10,2.0,5.0,1.0,0.0,0.0,0.0,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,0.4,-3.0
2019-12-22,LAL,False,False,W,5,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.2,-2.0
2019-12-23,PHX,False,True,W,6,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.2,1.0
2019-12-25,NOP,True,False,L,6,5.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,3.9,6.0
2019-12-28,MEM,True,False,W,19,11.0,4.0,0.0,2.0,1.0,1.0,4.0,7.0,0.571,3.0,5.0,0.6,0.0,0.0,0.0,10.6,7.0
2019-12-29,SAC,True,True,W,26,19.0,6.0,1.0,0.0,0.0,0.0,8.0,10.0,0.8,1.0,3.0,0.333,2.0,2.0,1.0,17.3,5.0
2019-12-31,HOU,False,False,L,11,7.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,4.9,-13.0
2020-01-02,IND,False,False,W,23,25.0,5.0,1.0,0.0,0.0,1.0,11.0,12.0,0.917,2.0,3.0,0.667,1.0,2.0,0.5,20.6,13.0
2020-01-04,WAS,False,False,L,12,7.0,2.0,0.0,0.0,1.0,3.0,3.0,5.0,0.6,0.0,2.0,0.0,1.0,2.0,0.5,2.2,-16.0
2020-01-06,ATL,False,False,W,20,4.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0
2020-01-08,DAL,False,False,W,14,2.0,3.0,0.0,1.0,0.0,3.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,2.0
2020-01-11,CLE,True,False,L,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.1,-6.0
2020-01-12,LAC,True,True,W,19,13.0,4.0,0.0,1.0,1.0,1.0,6.0,8.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,11.7,10.0
2020-01-15,CHA,True,False,W,28,19.0,8.0,1.0,2.0,1.0,0.0,7.0,13.0,0.538,2.0,5.0,0.4,3.0,5.0,0.6,16.1,10.0
2020-01-16,GSW,False,True,W,29,18.0,10.0,5.0,2.0,1.0,0.0,6.0,10.0,0.6,3.0,3.0,1.0,3.0,3.0,1.0,22.6,11.0
2020-01-19,IND,True,False,L,23,10.0,8.0,0.0,2.0,0.0,0.0,3.0,9.0,0.333,0.0,2.0,0.0,4.0,4.0,1.0,8.5,-4.0
2020-01-20,MIN,False,True,W,30,20.0,14.0,4.0,0.0,1.0,1.0,7.0,12.0,0.583,4.0,8.0,0.5,2.0,2.0,1.0,20.3,17.0
2020-01-24,NOP,False,False,W,24,15.0,10.0,1.0,1.0,0.0,1.0,5.0,15.0,0.333,3.0,7.0,0.429,2.0,2.0,1.0,10.6,7.0
2020-01-26,HOU,True,False,W,24,17.0,9.0,1.0,0.0,0.0,1.0,6.0,12.0,0.5,4.0,6.0,0.667,1.0,2.0,0.5,13.8,4.0
2020-01-28,MEM,False,False,L,22,8.0,4.0,1.0,3.0,0.0,0.0,3.0,9.0,0.333,2.0,4.0,0.5,0.0,0.0,0.0,8.6,-6.0
2020-01-30,UTA,True,False,W,25,12.0,12.0,2.0,1.0,1.0,2.0,5.0,11.0,0.455,2.0,4.0,0.5,0.0,0.0,0.0,10.6,8.0
