date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2018-10-17,DAL,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-20,DEN,False,False,L,15,10.0,4.0,2.0,2.0,0.0,0.0,4.0,6.0,0.667,2.0,4.0,0.5,0.0,1.0,0.0,12.0,21.0
2018-10-22,GSW,False,False,L,16,5.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,1.0,4.0,0.25,2.0,2.0,1.0,1.4,-7.0
2018-10-24,LAL,True,False,L,14,2.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,3.7,0.0
2018-10-27,MEM,False,False,L,24,7.0,6.0,2.0,0.0,0.0,1.0,2.0,8.0,0.25,1.0,3.0,0.333,2.0,2.0,1.0,3.6,-6.0
2018-10-28,OKC,False,True,L,22,9.0,1.0,0.0,2.0,0.0,4.0,3.0,7.0,0.429,1.0,4.0,0.25,2.0,2.0,1.0,1.6,16.0
2018-10-31,SAS,True,False,L,27,16.0,1.0,3.0,2.0,0.0,1.0,6.0,9.0,0.667,1.0,2.0,0.5,3.0,4.0,0.75,14.3,-13.0
2018-11-02,TOR,True,False,L,11,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.2,1.0
2018-11-04,MEM,True,False,W,26,14.0,1.0,0.0,2.0,1.0,1.0,5.0,6.0,0.833,4.0,5.0,0.8,0.0,0.0,0.0,12.6,5.0
2018-11-06,BKN,True,False,L,28,6.0,1.0,1.0,0.0,0.0,0.0,2.0,7.0,0.286,2.0,5.0,0.4,0.0,0.0,0.0,2.5,-16.0
2018-11-08,BOS,True,False,L,13,2.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.9,-3.0
2018-11-10,NOP,False,False,L,19,7.0,0.0,0.0,1.0,0.0,2.0,3.0,8.0,0.375,1.0,5.0,0.2,0.0,0.0,0.0,0.4,-3.0
2018-11-12,OKC,False,False,L,26,13.0,4.0,3.0,1.0,2.0,3.0,3.0,8.0,0.375,1.0,4.0,0.25,6.0,6.0,1.0,10.1,13.0
2018-11-14,SAS,True,False,W,25,8.0,2.0,0.0,0.0,1.0,0.0,4.0,6.0,0.667,0.0,2.0,0.0,0.0,0.0,0.0,5.5,23.0
2018-11-17,OKC,True,False,L,31,14.0,2.0,2.0,4.0,2.0,2.0,4.0,7.0,0.571,3.0,5.0,0.6,3.0,3.0,1.0,13.7,-13.0
2018-11-19,PHI,False,False,L,23,13.0,1.0,1.0,3.0,0.0,0.0,5.0,7.0,0.714,3.0,5.0,0.6,0.0,0.0,0.0,12.1,7.0
2018-11-21,CHI,False,False,L,29,5.0,4.0,1.0,3.0,0.0,0.0,2.0,5.0,0.4,0.0,2.0,0.0,1.0,1.0,1.0,5.6,-2.0
2018-11-23,MIL,False,False,W,24,4.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,2.7,7.0
2018-11-25,DET,False,False,L,34,2.0,7.0,3.0,0.0,0.0,2.0,1.0,8.0,0.125,0.0,3.0,0.0,0.0,0.0,0.0,0.6,-6.0
2018-11-27,IND,True,False,L,23,2.0,2.0,1.0,2.0,0.0,0.0,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,0.7,-5.0
2018-11-28,LAC,False,True,L,15,2.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-13.0
2018-11-30,ORL,True,False,L,20,2.0,1.0,2.0,0.0,0.0,1.0,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,-0.8,-10.0
2018-12-02,LAL,False,False,L,31,11.0,4.0,2.0,2.0,0.0,0.0,4.0,8.0,0.5,2.0,5.0,0.4,1.0,2.0,0.5,10.4,-11.0
2018-12-04,SAC,True,False,L,34,7.0,5.0,2.0,3.0,2.0,2.0,3.0,12.0,0.25,0.0,7.0,0.0,1.0,1.0,1.0,5.1,-13.0
2018-12-06,POR,False,False,L,23,7.0,3.0,1.0,1.0,0.0,0.0,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,5.0,-24.0
2018-12-07,MIA,True,True,L,35,12.0,2.0,3.0,2.0,0.0,0.0,4.0,11.0,0.364,3.0,7.0,0.429,1.0,2.0,0.5,9.8,-16.0
2018-12-10,LAC,True,False,L,39,19.0,3.0,3.0,0.0,0.0,1.0,6.0,12.0,0.5,4.0,8.0,0.5,3.0,3.0,1.0,14.2,-6.0
2018-12-11,SAS,False,True,L,32,8.0,4.0,0.0,0.0,0.0,1.0,3.0,8.0,0.375,2.0,6.0,0.333,0.0,0.0,0.0,2.6,-23.0
2018-12-13,DAL,True,False,W,22,7.0,4.0,0.0,1.0,0.0,0.0,3.0,8.0,0.375,1.0,3.0,0.333,0.0,0.0,0.0,5.2,-3.0
2018-12-15,MIN,True,False,W,40,12.0,5.0,2.0,2.0,3.0,1.0,4.0,12.0,0.333,2.0,7.0,0.286,2.0,2.0,1.0,12.0,-1.0
2018-12-17,NYK,False,False,W,33,7.0,5.0,2.0,1.0,0.0,0.0,3.0,6.0,0.5,0.0,3.0,0.0,1.0,2.0,0.5,6.3,2.0
2018-12-19,BOS,False,False,W,33,9.0,7.0,0.0,1.0,0.0,0.0,3.0,7.0,0.429,3.0,6.0,0.5,0.0,0.0,0.0,8.8,4.0
2018-12-22,WAS,False,False,L,33,5.0,4.0,3.0,2.0,1.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,9.0,-3.0
2018-12-23,BKN,False,True,L,36,9.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,0.75,0.0,1.0,0.0,3.0,3.0,1.0,12.8,-4.0
2018-12-26,ORL,False,False,W,35,5.0,5.0,4.0,1.0,1.0,1.0,2.0,8.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,6.0,-3.0
2018-12-28,OKC,True,False,L,30,13.0,5.0,2.0,2.0,2.0,0.0,5.0,10.0,0.5,3.0,8.0,0.375,0.0,0.0,0.0,13.5,-9.0
2018-12-29,DEN,True,True,L,39,17.0,2.0,3.0,1.0,1.0,2.0,5.0,8.0,0.625,5.0,8.0,0.625,2.0,2.0,1.0,14.2,-9.0
2018-12-31,GSW,True,False,L,33,6.0,3.0,3.0,0.0,0.0,0.0,2.0,6.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,4.0,-12.0
2019-01-02,PHI,True,False,L,26,2.0,6.0,1.0,0.0,0.0,1.0,1.0,8.0,0.125,0.0,6.0,0.0,0.0,0.0,0.0,-1.7,-5.0
2019-01-04,LAC,True,False,L,32,10.0,1.0,3.0,3.0,1.0,0.0,4.0,8.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,9.7,14.0
2019-01-06,CHA,True,False,L,31,5.0,3.0,1.0,1.0,2.0,0.0,1.0,6.0,0.167,1.0,4.0,0.25,2.0,2.0,1.0,4.8,-5.0
2019-01-08,SAC,True,False,W,22,2.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,5.0
2019-01-09,DAL,False,True,L,23,6.0,4.0,2.0,0.0,2.0,1.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,6.2,-6.0
2019-01-12,DEN,True,False,W,24,5.0,3.0,2.0,1.0,1.0,0.0,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,6.2,7.0
2019-01-15,IND,False,False,L,30,7.0,7.0,1.0,2.0,0.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.5,-23.0
2019-01-17,TOR,False,False,L,30,15.0,5.0,4.0,0.0,1.0,0.0,5.0,8.0,0.625,1.0,4.0,0.25,4.0,4.0,1.0,15.2,5.0
2019-01-19,CHA,False,False,L,26,9.0,1.0,1.0,3.0,1.0,0.0,3.0,8.0,0.375,2.0,5.0,0.4,1.0,1.0,1.0,7.7,-18.0
2019-01-20,MIN,False,True,L,29,3.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,4.2,1.0
2019-01-22,MIN,True,False,L,29,7.0,0.0,4.0,1.0,1.0,0.0,3.0,11.0,0.273,1.0,6.0,0.167,0.0,0.0,0.0,4.2,-12.0
2019-01-24,POR,True,False,L,29,8.0,5.0,2.0,1.0,0.0,0.0,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,9.6,3.0
2019-01-25,DEN,False,True,L,35,4.0,6.0,1.0,1.0,2.0,0.0,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,5.5,-40.0
2019-01-27,LAL,False,False,L,37,16.0,6.0,1.0,1.0,0.0,1.0,5.0,9.0,0.556,3.0,6.0,0.5,3.0,4.0,0.75,13.4,3.0
2019-01-29,SAS,False,False,L,35,17.0,6.0,3.0,4.0,0.0,1.0,7.0,9.0,0.778,3.0,5.0,0.6,0.0,1.0,0.0,20.0,1.0
2019-02-02,ATL,True,False,L,36,20.0,4.0,2.0,3.0,0.0,3.0,7.0,10.0,0.7,5.0,7.0,0.714,1.0,3.0,0.333,16.0,-9.0
2019-02-04,HOU,True,False,L,38,7.0,4.0,5.0,3.0,0.0,3.0,3.0,9.0,0.333,1.0,6.0,0.167,0.0,0.0,0.0,6.2,-4.0
2019-02-06,UTA,False,False,L,40,9.0,3.0,2.0,2.0,1.0,3.0,4.0,7.0,0.571,1.0,2.0,0.5,0.0,0.0,0.0,6.5,-19.0
2019-02-08,GSW,True,False,L,37,19.0,5.0,3.0,2.0,0.0,1.0,5.0,13.0,0.385,4.0,9.0,0.444,5.0,6.0,0.833,15.7,-2.0
2019-02-10,SAC,False,False,L,35,9.0,6.0,4.0,3.0,0.0,0.0,2.0,8.0,0.25,0.0,5.0,0.0,5.0,8.0,0.625,9.4,-5.0
