date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2018-10-17,MIL,True,False,L,14,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,-1.2,6.0
2018-10-19,ORL,False,False,W,14,15.0,8.0,2.0,0.0,1.0,1.0,6.0,8.0,0.75,3.0,3.0,1.0,0.0,0.0,0.0,15.7,3.0
2018-10-22,TOR,False,False,L,19,6.0,3.0,2.0,1.0,0.0,1.0,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,5.9,-5.0
2018-10-24,CHI,False,False,L,13,5.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,0.5,0.0,2.0,0.0,1.0,1.0,1.0,3.9,4.0
2018-10-26,CHI,True,False,W,26,15.0,5.0,2.0,2.0,0.0,1.0,7.0,10.0,0.7,1.0,3.0,0.333,0.0,0.0,0.0,15.5,7.0
2018-10-27,PHI,False,True,L,30,14.0,2.0,0.0,1.0,0.0,1.0,5.0,9.0,0.556,3.0,6.0,0.5,1.0,2.0,0.5,9.5,-4.0
2018-10-30,MIA,True,False,W,16,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.4,5.0
2018-11-01,OKC,True,False,L,19,4.0,5.0,2.0,1.0,1.0,1.0,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,3.4,-3.0
2018-11-03,CLE,True,False,W,23,12.0,3.0,0.0,1.0,0.0,1.0,5.0,7.0,0.714,2.0,4.0,0.5,0.0,0.0,0.0,9.2,26.0
2018-11-06,ATL,True,False,W,20,9.0,3.0,1.0,0.0,0.0,0.0,4.0,9.0,0.444,0.0,2.0,0.0,1.0,1.0,1.0,5.5,-3.0
2018-11-09,PHI,False,False,L,28,5.0,9.0,1.0,0.0,2.0,0.0,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,6.0,6.0
2018-11-11,DET,False,False,W,24,8.0,8.0,2.0,0.0,1.0,1.0,3.0,4.0,0.75,0.0,1.0,0.0,2.0,2.0,1.0,9.9,1.0
2018-11-13,CLE,False,False,L,16,5.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,3.0,0.333,2.0,2.0,1.0,3.2,-10.0
2018-11-17,PHI,True,False,L,26,9.0,4.0,1.0,1.0,1.0,2.0,4.0,6.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,6.4,3.0
2018-11-19,BOS,True,False,W,23,7.0,5.0,0.0,1.0,1.0,0.0,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,7.2,0.0
2018-11-21,IND,True,False,W,25,8.0,5.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,9.1,-5.0
2018-11-23,OKC,False,False,L,20,4.0,7.0,0.0,1.0,0.0,0.0,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,4.1,5.0
2018-11-25,ATL,False,False,L,19,4.0,1.0,2.0,1.0,2.0,0.0,1.0,6.0,0.167,0.0,3.0,0.0,2.0,2.0,1.0,3.9,-4.0
2018-11-26,MIL,True,True,W,11,5.0,1.0,0.0,0.0,2.0,0.0,1.0,5.0,0.2,0.0,3.0,0.0,3.0,4.0,0.75,2.8,-11.0
2018-11-28,ATL,True,False,W,21,9.0,3.0,2.0,3.0,0.0,1.0,4.0,8.0,0.5,0.0,3.0,0.0,1.0,2.0,0.5,8.9,10.0
2018-11-30,UTA,True,False,L,16,12.0,4.0,2.0,1.0,0.0,0.0,5.0,9.0,0.556,2.0,4.0,0.5,0.0,0.0,0.0,11.7,7.0
2018-12-02,NOP,True,False,L,29,16.0,8.0,1.0,0.0,2.0,0.0,6.0,13.0,0.462,3.0,6.0,0.5,1.0,2.0,0.5,13.8,-4.0
2018-12-05,MIN,False,False,L,21,10.0,2.0,1.0,0.0,0.0,1.0,4.0,9.0,0.444,2.0,5.0,0.4,0.0,0.0,0.0,5.2,2.0
2018-12-07,DEN,True,False,W,16,7.0,2.0,2.0,1.0,2.0,0.0,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,0.0,8.1,-6.0
2018-12-09,NYK,False,False,W,23,4.0,4.0,1.0,0.0,1.0,2.0,1.0,5.0,0.2,0.0,1.0,0.0,2.0,2.0,1.0,1.5,3.0
2018-12-12,DET,True,False,W,18,2.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.9,-1.0
2018-12-14,NYK,True,False,L,11,6.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,6.0,-7.0
2018-12-15,LAL,True,True,L,28,17.0,3.0,0.0,0.0,2.0,2.0,5.0,13.0,0.385,2.0,6.0,0.333,5.0,6.0,0.833,7.8,-8.0
2018-12-19,CLE,True,False,W,14,2.0,4.0,1.0,0.0,0.0,2.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.2,-12.0
2018-12-21,DET,True,False,W,24,7.0,4.0,1.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,1.0,0.0,3.0,4.0,0.75,6.2,5.0
2018-12-23,BOS,False,False,L,27,3.0,7.0,3.0,2.0,1.0,0.0,1.0,6.0,0.167,1.0,2.0,0.5,0.0,0.0,0.0,5.3,-5.0
2018-12-26,BKN,False,False,L,14,3.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,1.2,1.0
2018-12-28,BKN,True,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.1,-6.0
2018-12-31,ORL,True,False,W,21,6.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,3.8,5.0
2019-01-02,DAL,True,False,L,24,8.0,5.0,2.0,0.0,0.0,2.0,2.0,9.0,0.222,0.0,4.0,0.0,4.0,5.0,0.8,3.0,-5.0
2019-01-05,DEN,False,False,L,12,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-6.0
2019-01-06,PHX,False,True,W,13,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,-0.3,-3.0
2019-01-08,LAC,False,False,L,14,0.0,5.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2019-01-11,POR,False,False,L,23,4.0,1.0,2.0,0.0,1.0,0.0,2.0,8.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,1.2,-12.0
2019-01-12,SAC,False,True,L,15,2.0,6.0,1.0,0.0,0.0,0.0,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,0.7,-6.0
2019-01-14,SAS,False,False,W,19,8.0,6.0,1.0,0.0,0.0,0.0,4.0,5.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0
2019-01-17,SAC,True,False,W,22,15.0,4.0,1.0,0.0,0.0,0.0,6.0,9.0,0.667,1.0,3.0,0.333,2.0,4.0,0.5,12.6,13.0
2019-01-19,PHX,True,False,W,18,10.0,2.0,2.0,0.0,1.0,0.0,4.0,10.0,0.4,0.0,2.0,0.0,2.0,2.0,1.0,7.7,-4.0
2019-01-20,IND,False,True,L,15,8.0,3.0,0.0,0.0,1.0,1.0,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,6.6,-15.0
2019-01-23,MEM,False,False,W,4,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,13.0
2019-01-25,MIL,False,False,L,19,4.0,6.0,2.0,1.0,0.0,1.0,2.0,8.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,3.2,-4.0
