date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2018-11-17,ORL,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,2.0
2018-11-27,DEN,False,False,L,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,-6.0
2018-11-30,DAL,True,False,W,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0
2018-12-02,PHX,True,False,W,10,10.0,3.0,1.0,1.0,0.0,2.0,3.0,8.0,0.375,2.0,3.0,0.667,2.0,2.0,1.0,4.6,-4.0
2018-12-08,MEM,False,False,W,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.5,1.0
2018-12-15,CHA,False,False,W,7,5.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.5,-8.0
2018-12-16,WAS,False,True,L,17,12.0,3.0,1.0,0.0,0.0,1.0,5.0,7.0,0.714,2.0,3.0,0.667,0.0,0.0,0.0,9.7,11.0
2018-12-18,BKN,False,False,L,8,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,2.1,-9.0
2018-12-23,MEM,True,False,L,4,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-15.0
2018-12-25,GSW,False,False,W,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3.0
2019-01-06,MIN,False,False,L,19,8.0,5.0,0.0,0.0,1.0,2.0,3.0,10.0,0.3,1.0,5.0,0.2,1.0,1.0,1.0,0.8,6.0
2019-01-09,DET,True,False,W,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.7,-9.0
2019-01-11,UTA,False,False,L,8,6.0,3.0,0.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,6.3,1.0
