date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-02-12,SAS,True,False,L,6,2.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
2024-03-05,NOP,True,False,L,3,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-3.0
2024-03-20,SAC,True,False,L,13,3.0,2.0,0.0,1.0,1.0,3.0,1.0,6.0,0.167,0.0,0.0,0.0,1.0,4.0,0.25,-2.7,-19.0
2024-03-22,OKC,True,False,L,3,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
2024-03-23,WAS,False,True,L,7,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-9.0
2024-03-25,BKN,True,False,L,12,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-8.0
2024-03-27,NYK,True,False,L,11,2.0,2.0,1.0,0.0,1.0,2.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0
2024-03-31,PHI,True,False,L,7,3.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,3.7,-5.0
2024-04-02,LAL,True,False,L,14,6.0,2.0,2.0,1.0,3.0,5.0,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,1.6,-3.0
2024-04-03,MIN,False,True,L,19,3.0,6.0,0.0,0.0,3.0,1.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,2.0,0.5,3.1,-24.0
2024-04-10,BKN,False,False,L,23,3.0,4.0,1.0,1.0,3.0,0.0,1.0,7.0,0.143,0.0,0.0,0.0,1.0,1.0,1.0,2.3,-4.0
2026-04-10,ORL,True,False,L,17,5.0,3.0,2.0,0.0,0.0,1.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,4.2,-2.0
2026-04-12,DAL,False,False,L,29,11.0,3.0,4.0,2.0,1.0,2.0,4.0,8.0,0.5,0.0,3.0,0.0,3.0,4.0,0.75,11.0,-14.0
