date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-10-29,MIL,False,False,W,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-9.0
2023-10-30,MIN,True,True,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2024-04-06,DEN,False,False,L,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.4,-7.0
2024-04-10,CHA,True,False,L,17,3.0,7.0,3.0,1.0,1.0,0.0,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,6.4,0.0
2024-04-12,MIN,False,False,L,21,2.0,5.0,1.0,1.0,0.0,0.0,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,1.7,-3.0
2024-04-14,IND,False,False,L,27,19.0,9.0,0.0,2.0,3.0,0.0,6.0,11.0,0.545,2.0,3.0,0.667,5.0,6.0,0.833,20.1,-18.0
2024-10-27,OKC,False,False,L,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-4.0
2024-11-04,BOS,True,False,L,8,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.8,3.0
2025-01-27,MIN,False,False,L,19,4.0,4.0,1.0,2.0,0.0,0.0,2.0,9.0,0.222,0.0,6.0,0.0,0.0,0.0,0.0,2.4,9.0
2025-01-28,HOU,True,True,L,22,11.0,7.0,0.0,0.0,1.0,0.0,5.0,11.0,0.455,1.0,4.0,0.25,0.0,0.0,0.0,8.5,-7.0
2025-01-30,CLE,False,False,L,16,8.0,2.0,1.0,3.0,1.0,0.0,4.0,7.0,0.571,0.0,2.0,0.0,0.0,1.0,0.0,8.5,-4.0
2025-02-07,MIL,True,False,W,23,15.0,12.0,0.0,2.0,4.0,0.0,6.0,11.0,0.545,1.0,5.0,0.2,2.0,2.0,1.0,18.5,22.0
2025-02-10,ORL,False,False,W,15,9.0,1.0,2.0,2.0,1.0,1.0,2.0,6.0,0.333,2.0,4.0,0.5,3.0,4.0,0.75,8.2,8.0
2025-02-12,NYK,False,False,L,16,2.0,3.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,1.5,-19.0
2025-02-20,ORL,True,False,L,15,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.1,-4.0
2025-02-23,DET,True,False,L,12,2.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,-1.2,5.0
2025-02-24,MIA,True,True,W,16,9.0,3.0,3.0,0.0,1.0,2.0,4.0,6.0,0.667,1.0,3.0,0.333,0.0,0.0,0.0,7.7,7.0
2025-02-26,MIA,False,False,L,12,5.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,2.2,-7.0
2025-02-28,OKC,True,False,L,10,2.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-14.0
2025-03-04,MIL,True,False,L,25,15.0,5.0,1.0,2.0,1.0,0.0,5.0,7.0,0.714,4.0,6.0,0.667,1.0,2.0,0.5,16.2,-9.0
2025-03-06,IND,True,False,W,23,4.0,5.0,0.0,3.0,1.0,0.0,2.0,7.0,0.286,0.0,4.0,0.0,0.0,0.0,0.0,3.9,6.0
2025-03-08,IND,True,False,W,22,6.0,0.0,2.0,1.0,2.0,2.0,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,3.1,-6.0
2025-03-10,PHI,True,False,W,21,14.0,7.0,2.0,1.0,2.0,0.0,4.0,8.0,0.5,2.0,4.0,0.5,4.0,4.0,1.0,17.1,14.0
2025-03-12,CHA,True,False,W,14,6.0,3.0,1.0,2.0,2.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,1.0,2.0,0.5,9.3,7.0
2025-03-14,LAC,True,False,L,11,5.0,4.0,0.0,0.0,1.0,1.0,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,3.9,-7.0
2025-03-16,BKN,False,False,L,17,2.0,2.0,1.0,0.0,3.0,0.0,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,2.6,-12.0
2025-03-18,CHA,False,False,W,23,4.0,3.0,1.0,2.0,0.0,0.0,1.0,6.0,0.167,1.0,5.0,0.2,1.0,2.0,0.5,3.0,21.0
2025-03-22,GSW,True,False,W,15,2.0,4.0,0.0,0.0,1.0,0.0,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,-0.0,10.0
