date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-22,SAS,True,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2025-10-24,WAS,True,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,HOU,False,False,L,14,4.0,2.0,0.0,1.0,1.0,2.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-3.0
2025-11-05,NOP,True,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-07,MEM,False,False,L,14,10.0,8.0,0.0,0.0,1.0,2.0,4.0,5.0,0.8,0.0,0.0,0.0,2.0,4.0,0.5,9.6,18.0
2025-11-08,WAS,False,True,W,19,5.0,9.0,1.0,0.0,3.0,2.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,4.0,0.25,6.0,2.0
2025-11-10,MIL,True,False,L,20,7.0,4.0,0.0,0.0,2.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,2.0,0.5,8.0,-2.0
2025-11-12,PHX,True,False,L,15,4.0,9.0,0.0,0.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,7.0
2025-11-14,LAC,True,False,L,11,9.0,3.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,5.0,0.6,9.2,4.0
2025-11-16,POR,True,False,W,7,5.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,3.0,0.333,3.5,-3.0
2025-11-17,MIN,False,True,L,26,5.0,10.0,0.0,1.0,2.0,1.0,2.0,6.0,0.333,0.0,0.0,0.0,1.0,7.0,0.143,3.6,-20.0
2025-11-19,NYK,True,False,L,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0
2025-11-21,NOP,True,False,W,5,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.0
2025-11-22,MEM,True,True,L,9,0.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.0
2025-11-24,MIA,False,False,L,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,-11.0
2025-11-29,LAC,False,False,W,14,4.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,3.2,-8.0
2025-12-05,OKC,False,False,L,8,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,3.0
2025-12-06,HOU,True,True,W,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-2.0
2025-12-15,UTA,False,False,L,13,6.0,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,7.2,-1.0
2025-12-27,SAC,False,False,L,6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0
2026-01-10,CHI,False,False,L,19,5.0,10.0,0.0,2.0,3.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,10.2,-6.0
2026-01-12,BKN,True,False,W,12,2.0,6.0,0.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.4,4.0
2026-01-15,UTA,True,False,W,23,10.0,13.0,2.0,0.0,3.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,15.6,18.0
2026-01-17,UTA,True,False,W,21,9.0,10.0,0.0,0.0,0.0,1.0,4.0,6.0,0.667,0.0,0.0,0.0,1.0,4.0,0.25,7.6,-17.0
2026-01-19,NYK,False,False,W,20,15.0,9.0,1.0,1.0,4.0,3.0,5.0,6.0,0.833,0.0,0.0,0.0,5.0,8.0,0.625,15.8,-2.0
2026-01-22,GSW,True,False,W,6,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-0.2,-7.0
2026-01-29,CHA,True,False,L,17,3.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,5.1,11.0
2026-01-31,HOU,False,False,L,13,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,3.2,7.0
2026-02-03,BOS,True,False,L,15,4.0,5.0,0.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.0
2026-02-05,SAS,True,False,L,12,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-4.0
2026-02-26,SAC,True,False,L,7,2.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.4,-7.0
2026-02-27,MEM,True,True,L,13,8.0,8.0,0.0,1.0,0.0,1.0,4.0,5.0,0.8,0.0,0.0,0.0,0.0,6.0,0.0,6.5,10.0
2026-03-01,OKC,True,False,L,21,0.0,12.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.0
2026-03-06,BOS,False,False,L,26,6.0,7.0,1.0,1.0,3.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,10.4,10.0
2026-03-31,MIL,False,False,L,22,8.0,13.0,0.0,3.0,2.0,1.0,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0
2026-04-08,PHX,False,False,L,22,11.0,9.0,0.0,0.0,1.0,1.0,4.0,5.0,0.8,0.0,0.0,0.0,3.0,4.0,0.75,11.9,1.0
2026-04-10,SAS,False,False,L,19,7.0,8.0,0.0,2.0,3.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,1.0,5.0,0.2,10.4,-10.0
2026-04-12,CHI,True,False,W,41,17.0,20.0,1.0,2.0,2.0,3.0,6.0,15.0,0.4,0.0,0.0,0.0,5.0,6.0,0.833,18.0,4.0
