date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2015-10-29,MEM,True,False,L,18,8.0,4.0,0.0,2.0,1.0,2.0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,2.0,0.0,5.3,3.0
2015-10-31,UTA,True,False,L,23,10.0,4.0,0.0,0.0,1.0,1.0,4.0,8.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,6.9,-5.0
2015-11-03,DET,False,False,W,15,6.0,4.0,0.0,1.0,3.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,7.5,2.0
2015-11-04,BOS,True,True,W,18,7.0,4.0,1.0,0.0,1.0,0.0,2.0,6.0,0.333,0.0,0.0,0.0,3.0,4.0,0.75,6.6,0.0
2015-11-06,MIA,True,False,W,13,2.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-22.0
2015-11-08,CLE,False,False,L,18,6.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,4.6,-7.0
2015-11-09,ORL,True,True,W,20,10.0,4.0,0.0,0.0,0.0,2.0,4.0,6.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,5.8,4.0
2015-11-11,BOS,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-12-30,CHI,False,False,L,22,8.0,5.0,1.0,0.0,3.0,0.0,2.0,8.0,0.25,0.0,0.0,0.0,4.0,6.0,0.667,5.5,-5.0
2015-12-31,MIL,True,True,L,17,8.0,9.0,0.0,0.0,0.0,1.0,2.0,6.0,0.333,0.0,0.0,0.0,4.0,6.0,0.667,5.5,-3.0
2016-01-02,DET,True,False,W,10,4.0,4.0,0.0,0.0,2.0,1.0,1.0,5.0,0.2,0.0,0.0,0.0,2.0,2.0,1.0,2.1,3.0
2016-01-04,MIA,False,False,L,7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,2.0
2016-01-06,ORL,False,False,W,13,6.0,5.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,-2.0
2016-01-08,NOP,False,False,W,11,5.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,5.6,-8.0
2016-01-10,HOU,False,False,L,13,4.0,2.0,1.0,0.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.7,-2.0
2016-01-12,PHX,True,False,W,2,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2016-01-13,BOS,False,True,L,10,9.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,3.0,5.0,0.6,7.0,1.0
2016-01-15,WAS,True,False,L,18,10.0,3.0,1.0,0.0,0.0,1.0,4.0,8.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,6.6,5.0
2016-01-17,DEN,False,False,L,29,25.0,7.0,2.0,1.0,2.0,1.0,11.0,13.0,0.846,0.0,0.0,0.0,3.0,6.0,0.5,24.0,-11.0
2016-01-19,PHX,False,False,W,31,15.0,4.0,0.0,0.0,4.0,1.0,7.0,11.0,0.636,0.0,0.0,0.0,1.0,1.0,1.0,11.9,8.0
2016-01-22,GSW,False,False,L,28,31.0,8.0,0.0,1.0,2.0,1.0,12.0,17.0,0.706,0.0,1.0,0.0,7.0,9.0,0.778,26.9,1.0
2016-01-23,SAC,False,True,L,32,11.0,6.0,0.0,1.0,5.0,0.0,5.0,13.0,0.385,0.0,1.0,0.0,1.0,2.0,0.5,7.8,-11.0
2016-01-26,LAC,True,False,L,18,16.0,6.0,0.0,0.0,1.0,1.0,7.0,11.0,0.636,0.0,0.0,0.0,2.0,4.0,0.5,11.0,-6.0
2016-01-28,ATL,True,False,W,26,20.0,6.0,1.0,0.0,1.0,2.0,9.0,17.0,0.529,0.0,0.0,0.0,2.0,3.0,0.667,11.3,10.0
2016-01-30,DEN,True,False,W,40,8.0,9.0,3.0,0.0,4.0,1.0,3.0,11.0,0.273,0.0,0.0,0.0,2.0,5.0,0.4,6.1,-2.0
2016-02-01,CLE,True,False,L,36,14.0,10.0,0.0,1.0,4.0,0.0,7.0,16.0,0.438,0.0,0.0,0.0,0.0,0.0,0.0,12.8,-3.0
2016-02-03,BKN,False,False,W,31,9.0,7.0,0.0,0.0,3.0,2.0,4.0,11.0,0.364,0.0,0.0,0.0,1.0,2.0,0.5,4.3,-1.0
2016-02-05,ATL,False,False,L,23,12.0,7.0,0.0,1.0,1.0,1.0,6.0,11.0,0.545,0.0,0.0,0.0,0.0,0.0,0.0,9.5,-3.0
2016-02-06,DET,True,True,W,32,16.0,4.0,3.0,0.0,1.0,1.0,8.0,13.0,0.615,0.0,0.0,0.0,0.0,0.0,0.0,12.3,4.0
2016-02-08,LAL,True,False,W,30,14.0,13.0,1.0,0.0,0.0,3.0,6.0,8.0,0.75,0.0,0.0,0.0,2.0,4.0,0.5,10.4,18.0
2016-02-10,CHA,True,False,L,23,10.0,5.0,0.0,0.0,0.0,1.0,4.0,11.0,0.364,0.0,0.0,0.0,2.0,2.0,1.0,5.2,-18.0
2016-02-19,OKC,False,False,W,36,16.0,5.0,1.0,0.0,6.0,2.0,7.0,12.0,0.583,1.0,1.0,1.0,1.0,3.0,0.333,13.2,3.0
2016-02-21,ORL,False,False,W,31,12.0,8.0,1.0,1.0,3.0,2.0,5.0,9.0,0.556,0.0,1.0,0.0,2.0,2.0,1.0,10.3,3.0
2016-02-22,MIA,False,True,L,31,16.0,5.0,1.0,0.0,2.0,0.0,8.0,13.0,0.615,0.0,0.0,0.0,0.0,0.0,0.0,12.1,-2.0
2016-02-24,NYK,True,False,W,30,24.0,6.0,0.0,1.0,0.0,1.0,10.0,20.0,0.5,0.0,1.0,0.0,4.0,5.0,0.8,14.6,12.0
2016-02-26,CHA,True,False,L,28,15.0,4.0,0.0,0.0,0.0,3.0,7.0,13.0,0.538,0.0,0.0,0.0,1.0,1.0,1.0,5.3,-5.0
2016-02-28,POR,True,False,L,28,8.0,8.0,0.0,1.0,1.0,0.0,4.0,12.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,5.3,-9.0
2016-02-29,CLE,False,True,L,29,8.0,4.0,1.0,0.0,2.0,0.0,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0
2016-03-02,MIL,False,False,W,31,12.0,4.0,1.0,1.0,2.0,3.0,4.0,10.0,0.4,1.0,1.0,1.0,3.0,3.0,1.0,7.5,-7.0
2016-03-04,CHA,False,False,L,18,4.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,1.0,-15.0
2016-03-05,WAS,False,True,W,25,4.0,4.0,0.0,0.0,0.0,0.0,2.0,9.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-1.0
2016-03-07,SAS,True,False,W,37,9.0,10.0,1.0,0.0,2.0,1.0,3.0,11.0,0.273,0.0,1.0,0.0,3.0,4.0,0.75,5.4,16.0
2016-03-12,DAL,False,False,W,19,15.0,7.0,0.0,0.0,1.0,1.0,5.0,9.0,0.556,1.0,1.0,1.0,4.0,4.0,1.0,12.1,12.0
2016-03-13,ATL,False,True,L,28,19.0,5.0,0.0,2.0,1.0,1.0,9.0,17.0,0.529,0.0,1.0,0.0,1.0,2.0,0.5,12.7,-12.0
2016-03-15,BOS,True,False,W,21,6.0,3.0,1.0,1.0,1.0,1.0,3.0,9.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-13.0
2016-03-17,TOR,True,False,L,18,9.0,10.0,1.0,0.0,0.0,2.0,4.0,7.0,0.571,0.0,1.0,0.0,1.0,1.0,1.0,7.0,0.0
2016-03-19,OKC,True,False,L,31,10.0,8.0,1.0,1.0,2.0,1.0,4.0,10.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,9.9,4.0
2016-03-21,PHI,True,False,W,26,10.0,6.0,1.0,2.0,3.0,2.0,5.0,9.0,0.556,0.0,2.0,0.0,0.0,0.0,0.0,9.5,11.0
