date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-28,CHA,True,False,W,3,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.9,0.0
2025-11-21,CHI,False,False,W,5,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.2,-1.0
2025-11-23,PHI,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2025-12-01,LAC,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2025-12-19,BOS,False,False,L,17,5.0,2.0,1.0,1.0,0.0,0.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,4.1,3.0
2025-12-23,TOR,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2025-12-27,IND,True,False,W,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2025-12-29,DEN,True,False,W,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-3.0
2026-01-03,MIN,True,False,L,5,7.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8.2,8.0
2026-01-04,NOP,True,True,W,13,4.0,3.0,0.0,2.0,0.0,1.0,1.0,5.0,0.2,0.0,2.0,0.0,2.0,2.0,1.0,2.8,-8.0
2026-01-06,MIN,False,False,L,5,4.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,4.7,0.0
2026-01-10,IND,False,False,L,12,2.0,7.0,0.0,1.0,1.0,0.0,1.0,6.0,0.167,0.0,4.0,0.0,0.0,0.0,0.0,1.6,3.0
