date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2020-12-30,DAL,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2021-01-01,MEM,True,False,L,3,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,7.0
2021-01-04,PHI,False,False,L,6,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,3.2,9.0
2021-01-11,NYK,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2021-01-30,MIL,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-05,UTA,True,False,L,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0
2021-02-07,WAS,True,False,W,7,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,-0.2,-4.0
2021-02-08,HOU,True,True,W,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
2021-03-13,TOR,True,False,W,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.5,-15.0
2021-03-17,DEN,False,False,L,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.9,2.0
2021-03-24,HOU,False,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-8.0
2021-04-01,BKN,False,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2021-04-04,BOS,False,False,L,9,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-4.0
2021-04-09,MIL,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-10.0
2021-04-16,BKN,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-04-22,CHI,False,False,L,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0
2021-04-25,BOS,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,2.0
2021-05-06,CHI,True,False,L,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-2.0
2021-10-22,CLE,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
2021-10-24,BKN,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-25,BOS,True,True,L,14,7.0,3.0,0.0,0.0,3.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,7.4,-3.0
2021-10-27,ORL,False,False,W,8,4.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,14.0
2021-11-01,CLE,True,False,L,4,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.0
2021-11-03,GSW,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
2021-11-05,SAC,False,False,L,19,7.0,2.0,2.0,3.0,1.0,1.0,2.0,5.0,0.4,0.0,0.0,0.0,3.0,3.0,1.0,8.6,-12.0
2021-11-07,LAC,False,False,L,13,6.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.0
2021-11-08,LAL,False,True,L,16,3.0,4.0,0.0,1.0,1.0,3.0,1.0,4.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,0.1,-18.0
2021-11-10,MEM,False,False,W,10,4.0,4.0,0.0,0.0,2.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0
2021-11-12,NYK,True,False,W,11,5.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,3.9,-8.0
2021-11-17,WAS,True,False,W,14,6.0,2.0,0.0,0.0,2.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,4.2,-1.0
2021-11-19,IND,True,False,W,5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.2,2.0
2021-11-22,WAS,False,False,W,9,7.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,2.0,0.5,6.7,1.0
2021-11-24,ORL,False,False,W,7,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,1.0
2021-11-26,MIN,True,False,W,15,2.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2021-11-27,HOU,False,True,L,7,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.7,0.0
2021-11-29,CHI,False,False,L,7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.3,-7.0
2021-12-01,MIL,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0
