date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-10-25,ATL,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-08,WAS,True,False,L,4,5.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.7,4.0
2023-11-12,NYK,False,False,L,8,3.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,0.6,6.0
2023-11-14,MIA,True,False,L,15,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.9,-2.0
2023-11-17,MIL,True,False,L,9,2.0,2.0,0.0,0.0,1.0,1.0,1.0,6.0,0.167,0.0,1.0,0.0,0.0,0.0,0.0,-1.5,-18.0
2023-11-22,WAS,True,False,W,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,-6.0
2023-11-28,NYK,False,False,L,5,8.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,2.0,2.0,1.0,0.0,0.0,0.0,6.4,-1.0
2023-11-30,BKN,False,False,W,14,9.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,0.75,3.0,3.0,1.0,0.0,0.0,0.0,8.0,4.0
2023-12-16,PHI,True,False,L,26,9.0,1.0,1.0,0.0,0.0,0.0,4.0,8.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,5.6,-35.0
2023-12-18,TOR,False,False,L,20,7.0,1.0,0.0,0.0,1.0,1.0,3.0,9.0,0.333,1.0,5.0,0.2,0.0,0.0,0.0,1.1,-12.0
2023-12-20,IND,False,False,L,6,6.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,2.0,-5.0
2023-12-23,DEN,True,False,L,25,19.0,3.0,2.0,0.0,0.0,1.0,6.0,12.0,0.5,5.0,7.0,0.714,2.0,2.0,1.0,13.9,6.0
2023-12-26,LAC,False,False,L,12,5.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,1.8,-10.0
2023-12-28,LAL,False,False,L,18,6.0,3.0,4.0,0.0,1.0,2.0,2.0,4.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,6.0,-1.0
2023-12-29,PHX,False,True,L,13,10.0,2.0,1.0,0.0,0.0,1.0,4.0,7.0,0.571,2.0,4.0,0.5,0.0,0.0,0.0,7.0,-1.0
2024-01-01,DEN,False,False,L,19,5.0,3.0,2.0,0.0,1.0,2.0,2.0,8.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,1.2,10.0
2024-01-02,SAC,False,True,W,14,6.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,6.4,-2.0
2024-01-05,CHI,False,False,L,16,10.0,2.0,0.0,1.0,0.0,1.0,4.0,6.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,8.0,-9.0
2024-01-08,CHI,True,False,L,32,15.0,4.0,3.0,1.0,0.0,3.0,6.0,15.0,0.4,3.0,6.0,0.5,0.0,0.0,0.0,8.2,-4.0
2024-01-10,SAC,True,False,L,25,11.0,3.0,1.0,0.0,0.0,2.0,4.0,15.0,0.267,2.0,8.0,0.25,1.0,2.0,0.5,0.1,-22.0
2024-01-12,SAS,False,False,L,25,9.0,6.0,5.0,0.0,0.0,1.0,4.0,9.0,0.444,1.0,3.0,0.333,0.0,0.0,0.0,8.6,-16.0
2024-01-14,MIA,False,False,L,16,4.0,2.0,0.0,0.0,0.0,2.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,-0.1,-19.0
2024-01-17,NOP,False,False,L,17,3.0,3.0,3.0,0.0,0.0,1.0,1.0,5.0,0.2,1.0,2.0,0.5,0.0,0.0,0.0,2.3,-9.0
2024-01-19,SAS,True,False,W,18,5.0,4.0,0.0,0.0,0.0,1.0,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.8,-10.0
2024-01-20,PHI,True,True,L,15,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-3.1,-20.0
2024-01-22,MIN,False,False,W,15,8.0,2.0,2.0,0.0,0.0,2.0,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,6.0,13.0
2024-01-24,DET,False,False,L,17,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.7,-7.0
2024-01-26,HOU,True,False,L,17,10.0,1.0,0.0,0.0,0.0,3.0,4.0,6.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,3.9,-12.0
2024-01-27,UTA,True,True,L,19,3.0,0.0,4.0,1.0,0.0,0.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,3.2,-5.0
