date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2008-10-28,LAL,False,False,L,4,2.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,-3.0
2008-10-31,SAS,True,False,W,22,12.0,1.0,1.0,1.0,2.0,1.0,5.0,9.0,0.556,1.0,3.0,0.333,1.0,1.0,1.0,9.7,1.0
2008-11-01,PHX,False,True,L,18,4.0,1.0,0.0,3.0,0.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,3.5,10.0
2008-11-05,UTA,False,False,L,18,5.0,6.0,1.0,2.0,0.0,2.0,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,5.9,12.0
2008-11-06,HOU,True,True,W,19,6.0,3.0,1.0,0.0,0.0,1.0,3.0,7.0,0.429,0.0,2.0,0.0,0.0,0.0,0.0,1.3,-6.0
2008-11-08,MIN,True,False,W,18,8.0,1.0,1.0,0.0,2.0,0.0,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,5.9,-5.0
2008-11-10,ORL,False,False,W,19,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.2,-10.0
2008-11-12,MIA,False,False,W,15,6.0,1.0,0.0,1.0,1.0,0.0,3.0,7.0,0.429,0.0,3.0,0.0,0.0,0.0,0.0,3.9,9.0
2008-11-14,NOH,False,False,L,12,3.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.5,-10.0
2008-11-15,MIN,False,True,W,10,8.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,5.4,0.0
2008-11-18,GSW,False,False,L,12,5.0,4.0,2.0,0.0,1.0,0.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,5.2,2.0
2008-11-19,CHI,True,True,W,18,9.0,6.0,1.0,2.0,0.0,1.0,3.0,6.0,0.5,2.0,2.0,1.0,1.0,2.0,0.5,9.1,9.0
2008-11-21,SAC,False,False,W,16,3.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.6,7.0
2008-11-22,PHX,False,True,L,14,6.0,0.0,2.0,2.0,0.0,0.0,2.0,7.0,0.286,2.0,5.0,0.4,0.0,0.0,0.0,5.3,5.0
2008-11-24,SAC,True,False,W,12,3.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,2.5,-11.0
2008-11-26,MIA,True,False,W,22,15.0,6.0,2.0,2.0,0.0,1.0,6.0,9.0,0.667,3.0,4.0,0.75,0.0,0.0,0.0,15.3,22.0
2008-11-28,NOH,True,False,W,20,12.0,3.0,2.0,1.0,2.0,0.0,5.0,8.0,0.625,2.0,5.0,0.4,0.0,0.0,0.0,12.7,3.0
2008-11-30,DET,False,False,W,31,7.0,7.0,4.0,0.0,1.0,1.0,3.0,8.0,0.375,1.0,3.0,0.333,0.0,0.0,0.0,8.0,28.0
