date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-26,POR,False,False,W,14,2.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,3.0
2022-10-27,GSW,False,True,L,8,4.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,3.7,-2.0
2022-10-29,SAC,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
2022-11-12,CHA,True,False,W,2,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.7,0.0
2022-11-16,TOR,False,False,L,24,13.0,3.0,1.0,1.0,0.0,2.0,4.0,8.0,0.5,1.0,3.0,0.333,4.0,4.0,1.0,9.6,-3.0
2022-11-18,WAS,False,False,L,30,18.0,6.0,0.0,0.0,0.0,0.0,4.0,10.0,0.4,1.0,3.0,0.333,9.0,10.0,0.9,14.0,6.0
2022-11-20,CLE,False,False,L,32,7.0,4.0,5.0,1.0,0.0,1.0,2.0,9.0,0.222,1.0,6.0,0.167,2.0,2.0,1.0,6.2,-7.0
2022-11-21,MIN,False,True,L,23,4.0,5.0,3.0,1.0,0.0,1.0,1.0,5.0,0.2,0.0,3.0,0.0,2.0,2.0,1.0,4.5,-2.0
2022-11-23,WAS,True,False,W,12,7.0,5.0,0.0,0.0,0.0,2.0,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,0.0,2.8,-8.0
2022-11-25,WAS,True,False,W,14,7.0,1.0,0.0,1.0,1.0,0.0,3.0,6.0,0.5,0.0,3.0,0.0,1.0,1.0,1.0,5.6,-1.0
2022-12-06,DET,True,False,L,9,5.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,2.3,-9.0
2022-12-17,SAS,False,False,W,15,3.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.8,10.0
2022-12-20,CHI,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,4.0
2022-12-26,MIN,True,False,W,19,9.0,3.0,0.0,0.0,1.0,0.0,4.0,8.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,5.4,-2.0
2022-12-28,LAL,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-28,MIN,False,False,L,21,8.0,11.0,4.0,1.0,0.0,0.0,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,11.3,6.0
2023-10-30,MIL,False,False,L,7,5.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,3.2,9.0
2023-11-25,BKN,False,False,L,17,1.0,6.0,5.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.2,-5.0
