date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2026-02-12,MIL,True,False,L,12,2.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,-1.7,-5.0
2026-02-20,BKN,True,False,W,11,9.0,3.0,2.0,0.0,0.0,3.0,4.0,6.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,5.3,12.0
2026-02-22,CLE,True,False,W,8,2.0,2.0,3.0,0.0,0.0,3.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-3.0
2026-02-24,TOR,False,False,W,6,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0
2026-02-25,DET,False,True,L,15,0.0,2.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-11.0
2026-04-02,LAL,True,False,W,12,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.6,-2.0
2026-04-05,UTA,True,False,W,8,2.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.1,-4.0
2026-04-07,LAL,False,False,W,10,0.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0
2026-04-10,DEN,False,False,L,39,14.0,2.0,11.0,4.0,0.0,8.0,6.0,12.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,11.9,-17.0
2026-04-12,PHX,True,False,L,39,18.0,4.0,14.0,0.0,0.0,5.0,8.0,16.0,0.5,2.0,5.0,0.4,0.0,3.0,0.0,14.0,-18.0
