date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-22,PHX,False,False,L,24,2.0,8.0,2.0,2.0,1.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,5.4,3.0
2025-11-01,MIL,False,False,W,16,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,8.0
2025-11-03,DEN,False,False,L,19,8.0,1.0,3.0,0.0,1.0,0.0,4.0,9.0,0.444,0.0,2.0,0.0,0.0,0.0,0.0,4.8,3.0
2025-11-05,GSW,True,False,W,33,12.0,3.0,3.0,1.0,0.0,1.0,4.0,8.0,0.5,3.0,6.0,0.5,1.0,2.0,0.5,9.8,1.0
2025-11-07,OKC,True,False,L,17,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.9,-8.0
2025-11-09,MIN,True,False,L,23,10.0,5.0,5.0,1.0,0.0,3.0,4.0,7.0,0.571,1.0,2.0,0.5,1.0,2.0,0.5,9.7,-12.0
2025-11-11,DEN,True,False,L,14,5.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,1.0,3.1,8.0
2025-11-12,ATL,True,True,L,31,9.0,4.0,4.0,0.0,0.0,1.0,3.0,11.0,0.273,1.0,5.0,0.2,2.0,2.0,1.0,4.3,-5.0
2025-11-14,MIN,False,False,L,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8,6.0
2025-11-16,SAS,False,False,L,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,-1.2,-6.0
2025-11-19,OKC,False,False,L,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-4.0
2025-11-20,MEM,False,True,L,19,8.0,2.0,3.0,2.0,0.0,1.0,2.0,3.0,0.667,2.0,2.0,1.0,2.0,4.0,0.5,9.2,-14.0
2025-11-22,DEN,False,False,W,9,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.5,4.0
2025-11-24,MIN,True,False,W,12,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,5.5,-4.0
2025-11-26,PHX,True,False,L,9,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,-5.0
2025-11-28,UTA,False,False,L,6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-12.0
2025-11-30,MEM,True,False,L,13,5.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.1,19.0
2025-12-03,HOU,False,False,L,23,2.0,0.0,2.0,1.0,1.0,0.0,1.0,7.0,0.143,0.0,3.0,0.0,0.0,0.0,0.0,-0.6,-16.0
2025-12-06,MIA,False,False,W,18,15.0,6.0,0.0,1.0,0.0,2.0,7.0,8.0,0.875,1.0,1.0,1.0,0.0,0.0,0.0,12.2,-8.0
2025-12-08,IND,False,False,L,14,7.0,2.0,0.0,0.0,1.0,2.0,3.0,6.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.9,-2.0
2025-12-11,DEN,True,False,L,28,2.0,4.0,0.0,0.0,0.0,4.0,1.0,8.0,0.125,0.0,6.0,0.0,0.0,0.0,0.0,-6.4,-29.0
2025-12-14,MIN,False,False,L,13,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-14.0
2025-12-18,POR,False,False,L,20,8.0,2.0,0.0,0.0,0.0,1.0,3.0,6.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,3.4,-1.0
2025-12-20,POR,True,False,L,29,12.0,5.0,1.0,2.0,0.0,0.0,5.0,11.0,0.455,2.0,6.0,0.333,0.0,0.0,0.0,9.7,11.0
2025-12-21,HOU,True,True,W,27,6.0,6.0,4.0,1.0,1.0,1.0,2.0,8.0,0.25,0.0,4.0,0.0,2.0,2.0,1.0,6.5,4.0
2025-12-23,DET,True,False,L,25,14.0,2.0,0.0,2.0,0.0,2.0,5.0,10.0,0.5,2.0,5.0,0.4,2.0,2.0,1.0,8.4,3.0
2025-12-27,DAL,True,False,W,20,8.0,9.0,1.0,2.0,0.0,1.0,3.0,10.0,0.3,1.0,3.0,0.333,1.0,2.0,0.5,7.0,-2.0
2025-12-28,LAL,False,True,L,29,11.0,6.0,3.0,1.0,0.0,4.0,4.0,6.0,0.667,2.0,4.0,0.5,1.0,2.0,0.5,8.5,-4.0
2025-12-30,LAC,False,False,L,29,18.0,1.0,2.0,0.0,1.0,2.0,7.0,12.0,0.583,3.0,5.0,0.6,1.0,1.0,1.0,11.6,-20.0
2026-01-01,BOS,True,False,L,16,0.0,2.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.9,-8.0
2026-01-02,PHX,False,True,L,19,3.0,2.0,1.0,0.0,0.0,3.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,-1.5,-6.0
2026-01-04,MIL,True,False,L,19,7.0,2.0,1.0,1.0,0.0,0.0,3.0,5.0,0.6,0.0,1.0,0.0,1.0,2.0,0.5,6.2,5.0
2026-01-06,DAL,True,False,L,14,3.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.2,-9.0
2026-01-09,GSW,False,False,L,25,6.0,0.0,1.0,1.0,0.0,2.0,2.0,6.0,0.333,2.0,3.0,0.667,0.0,0.0,0.0,2.3,-13.0
2026-01-11,HOU,True,False,W,22,8.0,2.0,0.0,0.0,0.0,0.0,4.0,9.0,0.444,0.0,3.0,0.0,0.0,1.0,0.0,3.1,6.0
2026-01-12,LAL,True,True,W,15,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.6,2.0
2026-01-14,NYK,True,False,W,13,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.3,2.0
2026-01-16,WAS,True,False,W,19,9.0,7.0,3.0,0.0,0.0,1.0,3.0,6.0,0.5,2.0,4.0,0.5,1.0,2.0,0.5,9.2,19.0
2026-01-18,POR,True,False,L,13,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,7.0
2026-01-20,MIA,True,False,L,24,9.0,3.0,1.0,0.0,1.0,0.0,4.0,10.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,6.3,-1.0
2026-01-21,TOR,True,True,L,21,4.0,7.0,3.0,0.0,1.0,1.0,2.0,6.0,0.333,0.0,4.0,0.0,0.0,0.0,0.0,4.5,7.0
2026-01-23,CLE,False,False,L,14,4.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.1,3.0
2026-01-25,DET,False,False,L,33,15.0,3.0,1.0,0.0,1.0,0.0,6.0,13.0,0.462,2.0,4.0,0.5,1.0,4.0,0.25,9.0,-12.0
2026-01-27,NYK,False,False,L,30,7.0,3.0,1.0,3.0,0.0,1.0,3.0,8.0,0.375,1.0,3.0,0.333,0.0,0.0,0.0,6.6,-2.0
2026-01-29,PHI,False,False,L,27,2.0,6.0,2.0,0.0,1.0,2.0,1.0,7.0,0.143,0.0,1.0,0.0,0.0,0.0,0.0,-0.2,2.0
2026-01-30,BOS,False,True,L,34,15.0,3.0,1.0,0.0,0.0,1.0,5.0,12.0,0.417,3.0,7.0,0.429,2.0,2.0,1.0,8.8,-11.0
2026-02-01,WAS,False,False,L,29,6.0,3.0,4.0,2.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,4.0,4.0,1.0,9.0,-5.0
2026-02-04,MEM,True,False,L,26,14.0,3.0,5.0,0.0,0.0,4.0,5.0,9.0,0.556,2.0,3.0,0.667,2.0,2.0,1.0,10.1,9.0
2026-02-06,LAC,True,False,L,33,16.0,2.0,2.0,2.0,1.0,1.0,5.0,12.0,0.417,2.0,5.0,0.4,4.0,4.0,1.0,11.3,2.0
2026-02-07,CLE,True,True,L,40,30.0,4.0,4.0,2.0,2.0,2.0,12.0,19.0,0.632,5.0,9.0,0.556,1.0,2.0,0.5,25.7,5.0
2026-02-09,NOP,False,False,L,37,10.0,5.0,6.0,1.0,0.0,3.0,4.0,16.0,0.25,1.0,6.0,0.167,1.0,2.0,0.5,3.7,-17.0
2026-02-11,UTA,False,False,L,38,6.0,8.0,6.0,2.0,0.0,2.0,1.0,15.0,0.067,0.0,5.0,0.0,4.0,5.0,0.8,2.9,-26.0
2026-02-19,ORL,True,False,L,30,5.0,2.0,1.0,0.0,0.0,5.0,1.0,5.0,0.2,1.0,1.0,1.0,2.0,2.0,1.0,-2.6,-32.0
2026-02-21,SAS,False,False,L,30,8.0,5.0,4.0,2.0,0.0,1.0,4.0,9.0,0.444,0.0,3.0,0.0,0.0,0.0,0.0,8.2,-2.0
2026-02-23,MEM,False,False,W,28,12.0,6.0,5.0,6.0,0.0,2.0,5.0,8.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,17.3,2.0
2026-02-25,HOU,False,False,L,29,15.0,2.0,1.0,4.0,0.0,4.0,6.0,11.0,0.545,3.0,7.0,0.429,0.0,0.0,0.0,11.0,-13.0
2026-02-26,DAL,False,True,W,39,13.0,8.0,7.0,2.0,1.0,1.0,6.0,19.0,0.316,1.0,6.0,0.167,0.0,0.0,0.0,10.3,9.0
2026-03-01,LAL,False,False,L,42,26.0,7.0,4.0,1.0,1.0,3.0,11.0,18.0,0.611,1.0,2.0,0.5,3.0,4.0,0.75,20.6,-17.0
2026-03-03,PHX,True,False,L,39,10.0,8.0,4.0,3.0,0.0,2.0,5.0,13.0,0.385,0.0,5.0,0.0,0.0,0.0,0.0,8.7,5.0
2026-03-05,NOP,True,False,L,21,7.0,5.0,3.0,0.0,0.0,1.0,3.0,8.0,0.375,1.0,2.0,0.5,0.0,0.0,0.0,4.8,-2.0
2026-03-08,CHI,True,False,W,31,8.0,6.0,3.0,2.0,1.0,1.0,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,9.9,9.0
2026-03-10,IND,True,False,W,38,12.0,5.0,2.0,2.0,0.0,2.0,5.0,12.0,0.417,0.0,2.0,0.0,2.0,4.0,0.5,6.5,17.0
2026-03-11,CHA,True,True,L,41,18.0,4.0,8.0,2.0,1.0,1.0,7.0,16.0,0.438,2.0,6.0,0.333,2.0,3.0,0.667,16.9,-4.0
2026-03-14,LAC,False,False,W,35,11.0,4.0,4.0,2.0,0.0,1.0,4.0,11.0,0.364,3.0,5.0,0.6,0.0,2.0,0.0,7.5,-2.0
2026-03-15,UTA,True,True,W,26,10.0,4.0,2.0,1.0,0.0,2.0,4.0,9.0,0.444,1.0,5.0,0.2,1.0,1.0,1.0,5.3,-3.0
2026-03-17,SAS,True,False,L,37,15.0,8.0,7.0,0.0,0.0,1.0,6.0,13.0,0.462,3.0,4.0,0.75,0.0,0.0,0.0,14.6,-14.0
2026-03-22,BKN,True,False,W,27,7.0,4.0,4.0,1.0,0.0,1.0,2.0,4.0,0.5,2.0,2.0,1.0,1.0,2.0,0.5,8.6,5.0
2026-03-28,ATL,False,False,L,23,3.0,4.0,5.0,0.0,1.0,2.0,1.0,11.0,0.091,1.0,6.0,0.167,0.0,0.0,0.0,-0.9,-10.0
2026-03-29,BKN,False,True,L,37,17.0,7.0,2.0,0.0,0.0,4.0,8.0,14.0,0.571,1.0,4.0,0.25,0.0,0.0,0.0,9.1,-15.0
2026-04-01,TOR,False,False,W,32,9.0,2.0,3.0,1.0,0.0,3.0,4.0,9.0,0.444,1.0,3.0,0.333,0.0,0.0,0.0,3.4,7.0
2026-04-03,NOP,True,False,W,39,23.0,5.0,6.0,1.0,0.0,4.0,9.0,16.0,0.563,4.0,6.0,0.667,1.0,2.0,0.5,17.7,7.0
2026-04-05,LAC,True,False,L,38,18.0,5.0,5.0,1.0,1.0,3.0,8.0,16.0,0.5,2.0,7.0,0.286,0.0,0.0,0.0,13.3,-19.0
2026-04-07,GSW,False,False,L,36,12.0,6.0,2.0,2.0,0.0,2.0,4.0,14.0,0.286,1.0,4.0,0.25,3.0,4.0,0.75,5.8,0.0
2026-04-10,GSW,True,False,W,38,20.0,6.0,6.0,0.0,0.0,4.0,5.0,14.0,0.357,2.0,6.0,0.333,8.0,9.0,0.889,13.0,2.0
2026-04-12,POR,False,False,L,39,24.0,7.0,5.0,0.0,1.0,4.0,10.0,13.0,0.769,0.0,1.0,0.0,4.0,4.0,1.0,21.2,-12.0
