date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-11-25,MIA,True,False,W,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-6.0
2023-12-27,MIL,True,False,L,24,14.0,4.0,2.0,0.0,0.0,1.0,6.0,9.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,11.7,-19.0
2024-01-29,UTA,True,False,W,3,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.3,4.0
2024-02-06,DAL,True,False,L,4,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,5.0
2024-02-08,CLE,True,False,L,23,8.0,4.0,1.0,0.0,0.0,1.0,3.0,6.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,6.7,-5.0
2024-02-10,SAS,True,False,W,4,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.7,-4.0
2024-02-14,BOS,False,False,L,8,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.0
2024-03-07,DET,False,False,L,10,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,-3.0
2024-03-10,CLE,False,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2024-03-16,IND,False,False,L,4,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.4,-5.0
2024-03-21,MIL,False,False,L,14,5.0,4.0,1.0,0.0,0.0,0.0,2.0,5.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,4.6,10.0
2024-03-23,NYK,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
