date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-27,PHI,False,False,L,7,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.6,-6.0
2025-10-29,DET,False,False,L,12,4.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0
2025-10-30,CHA,False,True,W,17,3.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.1,-4.0
2025-11-01,WAS,False,False,W,7,3.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,6.1,7.0
2025-11-04,ATL,False,False,L,2,4.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,3.7,1.0
2025-11-09,BOS,True,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-12,NYK,False,False,W,2,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025-11-22,NYK,True,False,W,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0
2025-11-23,BOS,False,True,L,23,13.0,8.0,4.0,0.0,1.0,0.0,5.0,6.0,0.833,2.0,2.0,1.0,1.0,1.0,1.0,17.5,12.0
2025-11-25,PHI,False,False,W,22,10.0,9.0,2.0,0.0,0.0,1.0,3.0,9.0,0.333,1.0,2.0,0.5,3.0,4.0,0.75,9.2,21.0
2025-12-01,CHI,True,False,W,11,5.0,5.0,0.0,0.0,0.0,1.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.1,9.0
2025-12-03,SAS,True,False,L,3,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-1.0
2025-12-07,NYK,False,False,L,6,2.0,4.0,2.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,2.0,0.0,3.0,6.0
2025-12-18,DEN,False,False,L,12,3.0,5.0,0.0,1.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,2.0,0.0,3.1,-14.0
2025-12-20,UTA,False,False,W,24,13.0,12.0,4.0,2.0,2.0,1.0,6.0,11.0,0.545,1.0,4.0,0.25,0.0,0.0,0.0,18.1,-8.0
2025-12-22,GSW,False,False,L,15,5.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,3.1,-6.0
2025-12-23,POR,False,True,W,24,8.0,6.0,2.0,0.0,1.0,3.0,3.0,10.0,0.3,2.0,6.0,0.333,0.0,0.0,0.0,3.5,-3.0
2025-12-26,CHA,True,False,L,11,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.1,-6.0
2025-12-27,DEN,True,True,W,10,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.6,8.0
2025-12-29,TOR,False,False,L,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-0.1,5.0
2025-12-31,IND,False,False,W,9,4.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,2.9,-14.0
