date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2017-10-19,CHI,True,False,W,17,9.0,3.0,2.0,0.0,0.0,0.0,3.0,6.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,8.7,26.0
2017-10-21,PHI,True,False,W,15,3.0,3.0,2.0,1.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,3.4,4.0
2017-10-23,SAS,False,False,L,15,4.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.7,3.0
2017-10-25,GSW,False,False,L,18,8.0,4.0,2.0,0.0,0.0,1.0,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,8.2,8.0
2017-10-27,LAL,False,False,W,19,7.0,1.0,1.0,1.0,0.0,0.0,2.0,8.0,0.25,1.0,3.0,0.333,2.0,3.0,0.667,3.4,-3.0
2017-10-30,POR,False,False,W,22,4.0,3.0,0.0,2.0,0.0,0.0,2.0,8.0,0.25,0.0,5.0,0.0,0.0,0.0,0.0,2.5,5.0
2017-11-01,DEN,False,False,L,17,6.0,1.0,2.0,2.0,0.0,0.0,2.0,5.0,0.4,2.0,3.0,0.667,0.0,0.0,0.0,6.2,4.0
2017-11-03,UTA,False,False,W,18,6.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,1.0,2.0,0.5,6.2,5.0
2017-11-05,WAS,True,False,L,14,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.4,4.0
2017-11-07,CHI,True,False,W,12,7.0,3.0,2.0,2.0,0.0,2.0,2.0,4.0,0.5,2.0,3.0,0.667,1.0,2.0,0.5,7.3,-4.0
2017-11-09,NOP,True,False,W,14,8.0,2.0,0.0,1.0,0.0,1.0,3.0,4.0,0.75,1.0,2.0,0.5,1.0,2.0,0.5,6.2,8.0
2017-11-12,BOS,False,False,L,22,7.0,4.0,0.0,1.0,0.0,1.0,2.0,3.0,0.667,0.0,1.0,0.0,3.0,4.0,0.75,5.3,-10.0
2017-11-14,HOU,False,False,W,30,16.0,2.0,1.0,1.0,0.0,0.0,6.0,8.0,0.75,3.0,4.0,0.75,1.0,2.0,0.5,13.1,22.0
2017-11-15,NOP,False,True,W,14,5.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,2.5,-9.0
2017-11-17,NYK,True,False,W,30,11.0,1.0,0.0,0.0,0.0,0.0,5.0,10.0,0.5,1.0,6.0,0.167,0.0,0.0,0.0,5.9,25.0
2017-11-19,WAS,True,False,W,20,5.0,2.0,0.0,1.0,0.0,0.0,2.0,5.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,3.5,-7.0
2017-11-22,NYK,False,False,L,16,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.6,-4.0
2017-11-24,IND,False,False,L,27,8.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,0.0,2.0,0.0,2.0,2.0,1.0,5.2,-20.0
2017-11-25,ATL,False,True,W,17,11.0,1.0,2.0,2.0,0.0,0.0,4.0,4.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,12.3,17.0
2017-11-29,CHA,True,False,W,19,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.0
2017-12-01,IND,True,False,W,20,5.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,1.0,1.0,1.0,2.5,3.0
2017-12-05,PHX,True,False,W,24,16.0,2.0,0.0,1.0,0.0,2.0,6.0,9.0,0.667,4.0,5.0,0.8,0.0,0.0,0.0,10.5,13.0
2017-12-08,MEM,False,False,W,34,8.0,0.0,0.0,2.0,0.0,2.0,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,4.5,13.0
2017-12-10,SAC,False,False,W,27,5.0,3.0,0.0,0.0,0.0,1.0,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,2.2,24.0
2017-12-11,LAC,False,True,L,26,3.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.4,8.0
2017-12-13,PHX,False,False,W,19,9.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,5.4,12.0
2017-12-15,BKN,True,False,W,22,3.0,3.0,3.0,1.0,0.0,1.0,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,4.0,33.0
2017-12-17,SAC,True,False,W,29,11.0,3.0,0.0,2.0,0.0,0.0,4.0,8.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,9.5,13.0
2017-12-20,CHA,False,False,W,31,20.0,4.0,2.0,1.0,0.0,1.0,7.0,9.0,0.778,6.0,7.0,0.857,0.0,1.0,0.0,18.3,28.0
2017-12-21,PHI,False,True,W,21,6.0,0.0,0.0,2.0,0.0,3.0,2.0,6.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,1.2,2.0
2017-12-23,PHI,True,False,W,21,0.0,6.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.5,1.0
2017-12-26,DAL,False,False,L,20,0.0,3.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.2,7.0
2017-12-27,OKC,False,True,L,20,6.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.333,2.0,6.0,0.333,0.0,0.0,0.0,0.8,-19.0
2017-12-29,ATL,True,False,W,23,9.0,4.0,2.0,2.0,0.0,1.0,4.0,8.0,0.5,1.0,5.0,0.2,0.0,0.0,0.0,7.4,-1.0
2018-01-01,MIL,True,False,W,35,1.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,2.4,16.0
2018-01-03,CHI,False,False,W,16,3.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,4.0,0.0,1.0,1.0,1.0,0.8,-14.0
2018-01-05,MIL,False,False,W,31,5.0,0.0,1.0,2.0,0.0,2.0,2.0,6.0,0.333,1.0,5.0,0.2,0.0,0.0,0.0,1.9,16.0
2018-01-08,BKN,False,False,W,16,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,-0.3,4.0
2018-01-09,MIA,True,True,L,26,2.0,5.0,0.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0
2018-01-11,CLE,True,False,W,27,7.0,3.0,0.0,0.0,1.0,0.0,2.0,8.0,0.25,1.0,6.0,0.167,2.0,2.0,1.0,2.6,13.0
2018-01-13,GSW,True,False,L,26,17.0,3.0,2.0,0.0,0.0,0.0,5.0,7.0,0.714,1.0,3.0,0.333,6.0,6.0,1.0,15.6,3.0
2018-01-15,PHI,False,False,L,19,0.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,-14.0
