date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2020-12-23,IND,False,False,L,24,9.0,3.0,1.0,0.0,2.0,0.0,3.0,12.0,0.25,3.0,7.0,0.429,0.0,0.0,0.0,4.8,-4.0
2021-01-13,BKN,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2021-01-15,CLE,False,False,L,10,2.0,4.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,3.2,-2.0
2021-01-17,BOS,False,False,W,17,12.0,5.0,0.0,1.0,1.0,1.0,5.0,8.0,0.625,2.0,4.0,0.5,0.0,0.0,0.0,10.6,1.0
2021-01-18,ORL,True,True,W,9,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.9,-8.0
2021-01-21,GSW,False,False,W,12,5.0,4.0,1.0,0.0,2.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,4.1,1.0
2021-01-22,SAC,False,True,L,12,6.0,5.0,1.0,0.0,0.0,1.0,3.0,7.0,0.429,0.0,2.0,0.0,0.0,1.0,0.0,3.5,-4.0
2021-01-24,POR,False,False,L,15,4.0,3.0,0.0,0.0,0.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.8,-1.0
2021-01-26,UTA,False,False,L,13,4.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2021-01-29,CLE,True,False,W,13,5.0,3.0,1.0,0.0,1.0,0.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,5.3,4.0
2021-01-31,LAC,True,False,L,13,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,-0.5,3.0
2021-02-01,CHI,False,True,L,9,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.6,1.0
2021-02-03,CHI,False,False,W,10,5.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.5,-10.0
2021-02-06,POR,True,False,W,9,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.5,0.0
