date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-11-03,DEN,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,2.0
2023-11-10,LAC,True,False,W,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.2,-13.0
2023-11-12,NOP,False,False,W,6,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,1.5,-11.0
2023-11-14,NOP,False,False,L,9,6.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,1.0,2.0,0.5,5.6,7.0
2023-11-15,WAS,False,True,W,7,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,2.0,0.0,1.5,-2.0
2023-11-19,SAC,True,False,L,5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,5.0
2023-11-25,LAC,False,False,L,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.4,-1.0
2023-12-01,MEM,True,False,L,11,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.7,4.0
2023-12-02,OKC,True,True,L,14,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.2,-4.0
2023-12-06,UTA,True,False,W,21,6.0,5.0,2.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,6.5,17.0
2023-12-08,POR,False,False,W,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,1.0
2023-12-11,MEM,False,False,W,18,11.0,4.0,2.0,0.0,1.0,1.0,4.0,7.0,0.571,3.0,6.0,0.5,0.0,0.0,0.0,9.2,-5.0
2023-12-12,LAL,True,True,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2023-12-14,MIN,True,False,L,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.0
2023-12-16,POR,False,False,W,6,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.3,3.0
2023-12-18,DEN,False,False,L,20,2.0,4.0,3.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,2.2,-6.0
2023-12-20,LAC,True,False,L,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2023-12-22,HOU,False,False,L,30,20.0,6.0,2.0,1.0,0.0,3.0,6.0,13.0,0.462,1.0,4.0,0.25,7.0,9.0,0.778,14.9,-5.0
2023-12-23,SAS,True,True,W,12,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.9,-6.0
2023-12-25,PHX,False,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,UTA,False,False,L,7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,-13.0
2024-01-03,POR,True,False,W,8,5.0,5.0,1.0,0.0,1.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,3.0,4.0,0.75,6.2,-3.0
2024-01-05,POR,True,False,W,14,8.0,6.0,3.0,0.0,0.0,0.0,3.0,7.0,0.429,2.0,3.0,0.667,0.0,0.0,0.0,7.4,2.0
2024-01-24,PHX,True,False,L,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-31,MIN,False,False,L,20,6.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,4.0,7.0,0.571,5.0,-12.0
2024-02-05,PHI,False,False,W,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.0
2024-02-08,NYK,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2024-02-10,OKC,True,False,W,6,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.6,0.0
2024-02-12,WAS,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-14,SAS,True,False,W,5,2.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.7,-2.0
2024-02-22,PHX,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2024-02-28,TOR,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-1.0
2024-03-01,BOS,False,False,L,4,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-4.0
2024-03-21,UTA,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,HOU,False,False,W,2,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0
2024-04-04,ATL,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2024-04-09,CHA,False,False,W,4,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0
2024-04-10,MIA,False,True,W,2,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,4.0
2024-04-12,DET,True,False,L,29,16.0,6.0,1.0,2.0,1.0,1.0,6.0,12.0,0.5,2.0,4.0,0.5,2.0,2.0,1.0,14.6,-11.0
2024-04-14,OKC,False,False,L,37,15.0,8.0,1.0,0.0,0.0,2.0,5.0,14.0,0.357,2.0,6.0,0.333,3.0,5.0,0.6,7.9,-33.0
2024-10-24,SAS,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2024-10-26,PHX,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28,UTA,True,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-5.0
2024-11-03,ORL,True,False,W,6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-2.0
2024-11-06,CHI,True,False,W,20,6.0,1.0,0.0,0.0,0.0,1.0,3.0,8.0,0.375,0.0,1.0,0.0,0.0,0.0,0.0,0.1,4.0
2024-11-08,PHX,True,False,L,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1.0
2024-11-10,DEN,False,False,L,8,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.3,-13.0
2024-11-16,SAS,True,False,W,7,5.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,5.3,-2.0
2024-11-19,NOP,True,False,W,4,3.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,4.6,7.0
2024-11-25,ATL,False,False,W,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
2024-11-30,UTA,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,POR,False,True,W,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,0.0
2024-12-05,WAS,False,False,W,10,3.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,3.2,4.0
2024-12-07,TOR,False,False,W,10,5.0,6.0,2.0,1.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,8.9,2.0
2024-12-10,OKC,False,False,L,12,6.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,5.3,4.0
2024-12-15,GSW,False,False,W,13,3.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,4.3,-10.0
2024-12-19,LAC,True,False,L,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,-1.0
2024-12-21,LAC,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-23,POR,True,False,W,11,8.0,5.0,1.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,1.0,0.0,4.0,4.0,1.0,8.0,-3.0
2024-12-27,PHX,False,False,W,6,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.3,-1.0
2024-12-28,POR,False,True,L,13,4.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,6.0,0.333,2.4,1.0
2024-12-30,SAC,False,False,L,9,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,-8.0
2025-01-01,HOU,False,False,L,7,6.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-1.0
2025-01-03,CLE,True,False,L,7,4.0,4.0,1.0,1.0,0.0,1.0,1.0,5.0,0.2,0.0,1.0,0.0,2.0,2.0,1.0,3.6,-7.0
2025-01-06,MEM,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2025-01-07,LAL,True,True,W,5,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,4.6,11.0
2025-01-09,POR,True,False,W,9,0.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,7.0
2025-01-12,DEN,True,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-4.0
2025-01-14,DEN,True,False,L,14,10.0,2.0,1.0,1.0,1.0,1.0,4.0,6.0,0.667,1.0,3.0,0.333,1.0,4.0,0.25,8.2,10.0
2025-01-15,NOP,False,True,L,10,1.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,8.0
2025-01-17,OKC,True,False,W,9,7.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,5.0,-3.0
2025-01-20,CHA,False,False,L,19,6.0,8.0,1.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,8.1,-2.0
2025-01-22,MIN,True,False,L,25,4.0,4.0,2.0,0.0,0.0,1.0,2.0,7.0,0.286,0.0,3.0,0.0,0.0,0.0,0.0,1.1,-12.0
2025-01-23,OKC,False,True,W,21,14.0,3.0,0.0,1.0,0.0,1.0,4.0,6.0,0.667,1.0,2.0,0.5,5.0,9.0,0.556,11.5,-8.0
2025-01-25,BOS,True,False,L,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-8.0
2025-01-27,WAS,True,False,W,25,20.0,5.0,1.0,0.0,0.0,0.0,7.0,11.0,0.636,2.0,4.0,0.5,4.0,6.0,0.667,17.3,1.0
2025-01-29,NOP,False,False,W,15,4.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,3.0,-13.0
2025-01-31,DET,False,False,L,14,4.0,3.0,2.0,0.0,2.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,5.4,-3.0
2025-02-02,CLE,False,False,L,31,10.0,6.0,4.0,2.0,0.0,1.0,4.0,15.0,0.267,0.0,6.0,0.0,2.0,2.0,1.0,7.1,-25.0
2025-02-04,PHI,False,False,L,9,2.0,4.0,0.0,1.0,0.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.9,-3.0
2025-02-06,BOS,False,False,W,14,0.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.2,-3.0
2025-02-08,HOU,True,False,W,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2025-02-10,SAC,True,False,L,34,16.0,4.0,1.0,1.0,0.0,0.0,6.0,10.0,0.6,0.0,2.0,0.0,4.0,4.0,1.0,15.1,-21.0
2025-02-12,GSW,True,False,W,24,6.0,3.0,6.0,1.0,0.0,0.0,3.0,9.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,6.6,-1.0
2025-02-13,MIA,True,True,W,23,10.0,3.0,0.0,1.0,0.0,0.0,5.0,9.0,0.556,0.0,1.0,0.0,0.0,0.0,0.0,7.6,-3.0
2025-02-21,NOP,True,False,W,15,1.0,7.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,3.1,-1.0
