date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-12-13,MIL,False,False,L,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-0.2,4.0
2023-12-15,WAS,False,False,L,4,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,3.0
2023-12-16,MIN,False,True,L,7,8.0,4.0,1.0,0.0,0.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,7.7,8.0
2024-01-06,BOS,True,False,L,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0
2024-01-12,ATL,False,False,W,4,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,-2.0
2024-01-15,UTA,False,False,L,12,4.0,6.0,0.0,2.0,0.0,0.0,1.0,5.0,0.2,0.0,0.0,0.0,2.0,2.0,1.0,6.3,-1.0
2024-02-14,TOR,False,False,W,3,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,-6.0
2024-03-01,NOP,False,False,L,5,3.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,2.6,8.0
2024-11-27,DEN,True,False,L,16,3.0,9.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,6.3,-6.0
2025-01-12,BKN,True,False,W,18,3.0,5.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,3.8,4.0
2025-01-17,NOP,False,False,L,12,8.0,6.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,2.0,2.0,1.0,7.5,13.0
2025-02-08,LAC,False,False,L,8,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.6,-9.0
2025-03-02,NOP,True,False,L,20,16.0,13.0,1.0,1.0,0.0,0.0,8.0,9.0,0.889,0.0,0.0,0.0,0.0,0.0,0.0,19.7,25.0
2025-03-03,DET,True,True,L,6,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-0.2,-5.0
2025-03-05,WAS,False,False,L,19,6.0,13.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0
2025-03-19,WAS,True,False,W,18,4.0,10.0,2.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,6.5,10.0
2025-03-25,MEM,True,False,L,18,6.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,4.1,-5.0
2025-03-28,DEN,False,False,L,26,7.0,10.0,1.0,1.0,0.0,2.0,2.0,5.0,0.4,0.0,0.0,0.0,3.0,3.0,1.0,9.0,-31.0
2025-03-31,CHA,False,False,L,24,6.0,11.0,1.0,2.0,0.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0
2025-04-09,POR,True,False,W,19,17.0,10.0,0.0,0.0,0.0,0.0,7.0,14.0,0.5,0.0,0.0,0.0,3.0,5.0,0.6,13.8,-2.0
2025-04-11,OKC,True,False,L,25,10.0,14.0,0.0,1.0,0.0,1.0,5.0,9.0,0.556,0.0,0.0,0.0,0.0,1.0,0.0,11.1,-15.0
2025-04-13,MIN,False,False,L,25,18.0,12.0,2.0,3.0,1.0,3.0,7.0,8.0,0.875,0.0,0.0,0.0,4.0,5.0,0.8,21.3,8.0
2026-01-01,LAC,False,False,L,15,2.0,6.0,1.0,1.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,2.7,-3.0
2026-02-05,ATL,False,False,L,10,4.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,-1.0
2026-02-12,POR,True,False,L,5,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,8.0
2026-02-20,MEM,False,False,L,14,2.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.2,6.0
2026-02-26,NOP,True,False,L,10,8.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,8.0
2026-02-28,NOP,True,False,L,9,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,6.0
2026-03-02,DEN,True,False,L,18,8.0,8.0,1.0,0.0,1.0,0.0,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,10.3,-2.0
2026-03-04,PHI,False,False,L,5,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2026-03-07,MIL,False,False,L,12,6.0,5.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,5.0,-9.0
2026-03-09,GSW,True,False,W,20,10.0,8.0,1.0,1.0,0.0,0.0,4.0,6.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,12.7,10.0
2026-03-11,NYK,True,False,L,15,2.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.3,5.0
2026-03-13,POR,False,False,L,20,8.0,5.0,1.0,1.0,0.0,0.0,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-16.0
2026-03-15,SAC,False,False,L,23,9.0,8.0,1.0,3.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,3.0,6.0,0.5,13.2,5.0
2026-03-18,MIN,False,False,L,10,5.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,4.6,-11.0
2026-03-19,MIL,True,True,W,15,7.0,6.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,9.8,18.0
2026-03-21,PHI,True,False,L,11,8.0,6.0,0.0,0.0,0.0,0.0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,8.8,-6.0
2026-03-23,TOR,True,False,L,28,16.0,7.0,2.0,1.0,2.0,1.0,6.0,8.0,0.75,0.0,0.0,0.0,4.0,6.0,0.667,16.9,-4.0
2026-03-25,WAS,True,False,L,17,7.0,8.0,4.0,0.0,0.0,4.0,2.0,4.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,7.8,-17.0
2026-03-27,DEN,False,False,L,12,9.0,9.0,3.0,0.0,0.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,3.0,3.0,1.0,12.0,1.0
2026-03-28,PHX,False,True,L,16,7.0,7.0,1.0,2.0,0.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,1.0,4.0,0.25,8.0,-9.0
2026-03-30,CLE,True,False,L,19,7.0,7.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,2.0,0.5,8.2,-7.0
2026-04-01,DEN,True,False,L,21,8.0,7.0,0.0,1.0,0.0,1.0,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.1,-14.0
2026-04-03,HOU,False,False,L,21,15.0,10.0,1.0,2.0,0.0,2.0,7.0,11.0,0.636,0.0,0.0,0.0,1.0,3.0,0.333,15.0,-15.0
2026-04-05,OKC,False,False,L,20,4.0,4.0,2.0,0.0,0.0,2.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,1.4,-39.0
2026-04-07,NOP,False,False,L,21,12.0,7.0,0.0,2.0,0.0,2.0,6.0,10.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,8.7,-5.0
2026-04-10,MEM,True,False,W,28,16.0,22.0,3.0,1.0,2.0,1.0,7.0,11.0,0.636,0.0,0.0,0.0,2.0,4.0,0.5,21.2,27.0
2026-04-12,LAL,False,False,L,32,29.0,17.0,3.0,0.0,0.0,3.0,12.0,17.0,0.706,0.0,0.0,0.0,5.0,8.0,0.625,28.1,-15.0
