date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-10-23,LAC,False,False,W,12,2.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,-2.0
2024-10-25,LAL,False,False,L,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9,-9.0
2024-10-26,DAL,True,True,W,7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,9.0
2024-10-31,LAC,False,False,W,5,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0
2024-11-10,SAC,True,False,L,10,5.0,2.0,1.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,2.1,7.0
2024-11-12,UTA,False,False,W,21,6.0,12.0,0.0,0.0,2.0,1.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,8.5,8.0
2024-11-13,SAC,False,True,L,15,4.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,5.3,-4.0
2024-11-15,OKC,False,False,L,27,6.0,7.0,2.0,0.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,4.0,4.0,1.0,6.6,-3.0
2024-11-17,MIN,False,False,L,26,11.0,3.0,1.0,0.0,0.0,1.0,5.0,7.0,0.714,0.0,0.0,0.0,1.0,2.0,0.5,7.5,8.0
2024-11-18,ORL,True,True,L,32,12.0,7.0,2.0,2.0,0.0,1.0,6.0,8.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,13.7,-8.0
2024-11-20,NYK,True,False,L,14,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,6.0
2024-11-26,LAL,True,False,W,14,7.0,5.0,3.0,0.0,0.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,8.0,-2.0
2024-11-27,BKN,True,True,L,7,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.0
2024-11-30,GSW,True,False,W,31,6.0,8.0,0.0,0.0,2.0,2.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,5.8,14.0
2024-12-03,SAS,True,False,W,28,7.0,3.0,2.0,2.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,1.0,2.0,0.5,8.2,-8.0
2024-12-05,NOP,False,False,L,20,4.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-12.0
2024-12-07,MIA,False,False,L,21,2.0,6.0,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.3,8.0
2024-12-08,ORL,False,True,L,22,4.0,5.0,4.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-1.0
2024-12-13,UTA,False,False,W,6,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0
2024-12-15,POR,True,False,W,6,4.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.7,2.0
2024-12-19,IND,True,False,L,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,4.0
2024-12-23,DEN,False,False,L,18,7.0,6.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.25,8.1,-10.0
2024-12-25,DEN,True,False,W,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,2.0
2024-12-27,DAL,True,False,L,16,4.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.8,3.0
2024-12-28,GSW,False,True,L,20,2.0,6.0,1.0,2.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.5,7.0
2024-12-31,MEM,True,False,L,17,2.0,2.0,1.0,0.0,2.0,3.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-2.3,2.0
2025-01-06,PHI,False,False,W,21,8.0,6.0,3.0,0.0,0.0,2.0,4.0,6.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,7.3,6.0
2025-01-07,CHA,False,True,L,6,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-5.0
2025-01-09,ATL,True,False,W,25,4.0,5.0,2.0,1.0,1.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.2,-3.0
2025-01-11,UTA,True,False,W,23,9.0,2.0,0.0,2.0,2.0,0.0,4.0,6.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,10.0,-13.0
2025-01-12,CHA,True,True,W,30,10.0,6.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,6.0,0.667,11.6,19.0
2025-01-14,ATL,False,False,L,19,4.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,0.25,0.0,1.0,0.0,2.0,4.0,0.5,3.0,-8.0
2025-01-16,WAS,False,False,W,21,0.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8,-5.0
2025-01-18,DET,False,False,W,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-0.2,-9.0
2025-01-20,CLE,False,False,L,8,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.0
2025-01-22,BKN,False,False,W,9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.6,-7.0
2025-01-29,MIN,True,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-31,GSW,False,False,W,5,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,-2.0
2025-02-01,POR,False,True,L,5,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
2025-02-05,OKC,False,False,L,8,4.0,3.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.7,-2.0
2025-02-08,DEN,True,False,L,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
2025-02-23,TOR,False,False,L,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
2025-02-28,NOP,True,False,W,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-4.0
2025-03-02,MIN,True,False,L,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,3.0
2025-03-12,HOU,False,False,L,28,8.0,6.0,0.0,0.0,4.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,-4.0
2025-03-14,SAC,True,False,W,32,11.0,6.0,1.0,1.0,1.0,1.0,4.0,5.0,0.8,0.0,0.0,0.0,3.0,4.0,0.75,11.1,23.0
2025-03-16,LAL,False,False,L,23,4.0,4.0,2.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.0
2025-03-17,TOR,True,True,W,26,9.0,9.0,4.0,1.0,1.0,0.0,4.0,6.0,0.667,0.0,0.0,0.0,1.0,1.0,1.0,13.6,39.0
2025-03-19,CHI,True,False,W,20,4.0,6.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,-3.0
2025-03-21,CLE,True,False,W,44,6.0,13.0,4.0,0.0,0.0,3.0,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,7.2,15.0
2025-03-24,MIL,True,False,W,19,4.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,2.7,5.0
2025-03-26,BOS,True,False,L,21,6.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,4.3,-12.0
