date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-19,DET,False,False,L,35,27.0,9.0,5.0,0.0,2.0,4.0,11.0,18.0,0.611,0.0,0.0,0.0,5.0,7.0,0.714,20.4,2.0
2022-10-21,ATL,False,False,L,34,20.0,12.0,2.0,1.0,3.0,4.0,6.0,18.0,0.333,1.0,6.0,0.167,7.0,8.0,0.875,13.9,-10.0
2022-10-22,BOS,True,True,L,33,23.0,5.0,3.0,0.0,1.0,2.0,6.0,19.0,0.316,2.0,7.0,0.286,9.0,11.0,0.818,13.6,-16.0
2022-10-24,NYK,False,False,L,34,21.0,4.0,2.0,2.0,0.0,1.0,6.0,13.0,0.462,0.0,3.0,0.0,9.0,11.0,0.818,15.9,-2.0
2022-10-26,CLE,False,False,L,37,29.0,8.0,4.0,1.0,2.0,3.0,10.0,19.0,0.526,3.0,5.0,0.6,6.0,8.0,0.75,23.1,-7.0
2022-10-28,CHA,True,False,W,27,21.0,12.0,7.0,0.0,0.0,2.0,8.0,14.0,0.571,2.0,4.0,0.5,3.0,7.0,0.429,20.1,27.0
2022-10-30,DAL,False,False,L,32,18.0,3.0,4.0,0.0,0.0,2.0,6.0,20.0,0.3,1.0,6.0,0.167,5.0,8.0,0.625,4.9,6.0
2022-11-01,OKC,False,False,L,37,15.0,8.0,2.0,1.0,0.0,4.0,6.0,13.0,0.462,0.0,1.0,0.0,3.0,3.0,1.0,9.1,1.0
2022-11-03,GSW,True,False,W,36,22.0,8.0,3.0,1.0,1.0,5.0,8.0,17.0,0.471,0.0,4.0,0.0,6.0,9.0,0.667,12.1,-19.0
2022-11-05,SAC,True,False,L,40,33.0,16.0,4.0,0.0,1.0,1.0,14.0,26.0,0.538,0.0,3.0,0.0,5.0,5.0,1.0,27.3,1.0
2022-11-07,HOU,True,False,L,35,30.0,6.0,4.0,2.0,0.0,5.0,8.0,16.0,0.5,2.0,4.0,0.5,12.0,14.0,0.857,21.2,-9.0
2022-11-25,PHI,True,False,L,36,19.0,4.0,3.0,1.0,0.0,4.0,5.0,12.0,0.417,1.0,3.0,0.333,8.0,11.0,0.727,12.1,-9.0
2022-11-27,PHI,True,False,L,31,18.0,1.0,1.0,0.0,0.0,0.0,7.0,17.0,0.412,1.0,4.0,0.25,3.0,6.0,0.5,7.5,-14.0
2022-11-28,BKN,False,True,L,39,24.0,4.0,5.0,2.0,0.0,5.0,9.0,17.0,0.529,1.0,1.0,1.0,5.0,10.0,0.5,15.0,-9.0
2022-11-30,ATL,True,False,L,35,20.0,2.0,5.0,0.0,0.0,3.0,6.0,14.0,0.429,1.0,4.0,0.25,7.0,9.0,0.778,12.1,-21.0
2022-12-02,CLE,False,False,L,37,22.0,5.0,4.0,1.0,0.0,2.0,10.0,17.0,0.588,0.0,2.0,0.0,2.0,4.0,0.5,17.8,-16.0
2022-12-03,TOR,False,True,L,27,9.0,3.0,3.0,1.0,0.0,2.0,2.0,8.0,0.25,1.0,5.0,0.2,4.0,6.0,0.667,5.4,-28.0
2022-12-05,MIL,True,False,L,33,20.0,12.0,7.0,1.0,1.0,4.0,4.0,16.0,0.25,0.0,3.0,0.0,12.0,15.0,0.8,16.6,1.0
2022-12-07,LAC,True,False,W,38,23.0,5.0,2.0,2.0,0.0,2.0,5.0,13.0,0.385,0.0,2.0,0.0,13.0,14.0,0.929,17.6,-9.0
2022-12-09,TOR,True,False,W,38,23.0,6.0,4.0,0.0,1.0,3.0,8.0,11.0,0.727,1.0,3.0,0.333,6.0,7.0,0.857,19.2,18.0
2022-12-11,TOR,True,False,W,37,20.0,12.0,5.0,1.0,1.0,4.0,6.0,14.0,0.429,2.0,5.0,0.4,6.0,8.0,0.75,17.8,5.0
2022-12-14,ATL,True,False,W,34,20.0,6.0,6.0,2.0,1.0,2.0,6.0,16.0,0.375,2.0,7.0,0.286,6.0,7.0,0.857,16.7,15.0
2022-12-16,BOS,False,False,W,37,20.0,5.0,5.0,1.0,0.0,3.0,5.0,13.0,0.385,3.0,6.0,0.5,7.0,8.0,0.875,13.9,-1.0
2022-12-18,BOS,False,False,W,34,31.0,6.0,3.0,2.0,0.0,4.0,9.0,21.0,0.429,6.0,7.0,0.857,7.0,9.0,0.778,20.2,4.0
2022-12-19,ATL,False,True,L,35,18.0,4.0,7.0,1.0,2.0,3.0,7.0,15.0,0.467,1.0,4.0,0.25,3.0,4.0,0.75,15.0,-1.0
2022-12-21,HOU,False,False,W,32,23.0,13.0,3.0,2.0,0.0,5.0,9.0,20.0,0.45,1.0,4.0,0.25,4.0,8.0,0.5,13.2,-3.0
2022-12-23,SAS,True,False,W,29,18.0,6.0,4.0,0.0,0.0,2.0,7.0,15.0,0.467,3.0,6.0,0.5,1.0,1.0,1.0,12.9,13.0
2022-12-27,LAL,True,False,L,22,4.0,5.0,3.0,1.0,0.0,2.0,1.0,6.0,0.167,0.0,2.0,0.0,2.0,4.0,0.5,0.4,-12.0
2022-12-28,DET,False,True,L,32,15.0,5.0,2.0,1.0,1.0,2.0,4.0,12.0,0.333,0.0,1.0,0.0,7.0,8.0,0.875,8.8,-14.0
2022-12-30,WAS,True,False,L,38,21.0,5.0,4.0,0.0,0.0,5.0,7.0,24.0,0.292,1.0,5.0,0.2,6.0,7.0,0.857,5.1,-20.0
2023-01-04,OKC,True,False,W,36,25.0,8.0,7.0,1.0,0.0,3.0,8.0,17.0,0.471,2.0,5.0,0.4,7.0,9.0,0.778,20.0,14.0
2023-01-05,MEM,True,True,L,36,30.0,9.0,3.0,1.0,0.0,1.0,10.0,20.0,0.5,2.0,7.0,0.286,8.0,9.0,0.889,24.4,10.0
2023-01-07,GSW,False,False,W,31,25.0,5.0,3.0,1.0,0.0,2.0,9.0,20.0,0.45,4.0,9.0,0.444,3.0,4.0,0.75,16.8,7.0
