date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2016-10-26,DET,True,False,W,22,4.0,9.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,16.0
2016-10-28,CLE,True,False,L,15,4.0,3.0,0.0,1.0,0.0,2.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9,-7.0
2016-10-31,DEN,True,False,W,15,2.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-4.0
2016-11-02,WAS,False,False,W,18,4.0,3.0,0.0,1.0,0.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-6.0
2016-11-04,MIA,True,False,W,16,8.0,3.0,0.0,0.0,0.0,1.0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0
2016-11-06,SAC,True,False,L,24,10.0,6.0,1.0,0.0,1.0,0.0,4.0,8.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,8.4,9.0
2016-11-09,OKC,False,False,W,13,4.0,4.0,0.0,0.0,2.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.9,-5.0
2016-11-11,CHA,False,False,W,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3,-11.0
2016-11-12,NYK,True,True,W,20,9.0,2.0,0.0,1.0,0.0,1.0,4.0,5.0,0.8,0.0,0.0,0.0,1.0,1.0,1.0,6.9,-6.0
2016-11-15,CLE,False,False,L,16,8.0,3.0,2.0,0.0,3.0,1.0,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,8.3,5.0
2016-11-16,GSW,True,True,L,30,10.0,9.0,0.0,1.0,0.0,1.0,5.0,10.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.7,6.0
2016-11-18,DEN,False,False,W,23,8.0,3.0,0.0,1.0,0.0,0.0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,6.9,-2.0
2016-11-20,SAC,False,False,L,21,4.0,6.0,1.0,1.0,2.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-12.0
2016-11-21,LAC,False,True,L,13,2.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.3,-1.0
2016-11-23,HOU,False,False,W,21,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.9,9.0
2016-11-25,MIL,False,False,W,23,6.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,4.0,0.5,5.5,2.0
2016-11-28,PHI,True,False,W,23,11.0,2.0,0.0,1.0,1.0,1.0,4.0,6.0,0.667,0.0,0.0,0.0,3.0,4.0,0.75,8.5,6.0
2016-11-30,MEM,True,False,W,18,4.0,2.0,2.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0
2016-12-02,LAL,True,False,W,24,8.0,7.0,1.0,1.0,1.0,1.0,4.0,5.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,9.6,14.0
2016-12-03,ATL,True,True,W,27,14.0,3.0,0.0,1.0,2.0,1.0,7.0,12.0,0.583,0.0,1.0,0.0,0.0,0.0,0.0,10.3,23.0
2016-12-05,CLE,True,False,L,18,6.0,2.0,1.0,1.0,0.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.3,-21.0
