date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-30,DET,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-04,NOP,False,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-13.0
2022-11-21,NOP,False,False,L,16,7.0,5.0,0.0,3.0,0.0,1.0,3.0,6.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,7.5,-18.0
2022-11-23,LAC,True,False,W,4,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.6,-12.0
2022-12-13,MIL,False,False,L,8,6.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,4.7,4.0
2022-12-16,PHI,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-18,TOR,False,False,W,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,-0.1,-1.0
2022-12-20,NYK,False,False,L,8,3.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,0.2,-13.0
2022-12-21,BKN,False,True,L,23,17.0,3.0,0.0,0.0,0.0,0.0,6.0,10.0,0.6,5.0,8.0,0.625,0.0,0.0,0.0,13.3,-3.0
2022-12-28,UTA,True,False,W,13,11.0,3.0,0.0,1.0,0.0,1.0,4.0,7.0,0.571,3.0,5.0,0.6,0.0,0.0,0.0,8.2,13.0
2023-01-02,ATL,True,False,W,11,8.0,2.0,0.0,1.0,1.0,1.0,3.0,7.0,0.429,2.0,6.0,0.333,0.0,0.0,0.0,4.8,-3.0
2023-01-04,DET,True,False,L,11,5.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,4.5,-3.0
2023-01-07,ORL,True,False,L,15,9.0,2.0,0.0,0.0,0.0,1.0,3.0,9.0,0.333,3.0,6.0,0.5,0.0,0.0,0.0,2.3,-9.0
2023-01-15,CHI,False,False,L,2,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.0,1.0
2023-01-20,CLE,False,False,W,9,7.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.5,2.0,3.0,0.667,1.0,2.0,0.5,3.6,-7.0
2023-02-14,LAC,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2023-02-23,LAL,False,False,L,10,11.0,2.0,0.0,0.0,0.0,0.0,4.0,6.0,0.667,3.0,5.0,0.6,0.0,0.0,0.0,9.0,7.0
2023-02-24,HOU,True,True,W,16,11.0,3.0,1.0,0.0,0.0,1.0,4.0,8.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,7.6,1.0
2023-02-26,MIN,True,False,W,13,3.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,1.5,0.0
2023-02-28,POR,True,False,W,7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.1,0.0
2023-03-02,LAC,True,False,W,9,4.0,3.0,2.0,0.0,1.0,0.0,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,2.8,-2.0
2023-03-07,OKC,False,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-2.1,-2.0
2023-03-09,MEM,False,False,L,14,5.0,1.0,0.0,0.0,2.0,1.0,2.0,8.0,0.25,1.0,6.0,0.167,0.0,0.0,0.0,-0.3,-2.0
2023-03-13,PHX,True,False,W,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-6.0
2023-03-15,LAC,False,False,L,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,5.0
2023-03-18,MEM,False,False,L,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,6.0
2023-03-28,NOP,True,False,W,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0
2023-03-31,SAS,True,False,W,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-1.0
2023-04-04,OKC,True,False,W,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-2.0
2023-04-07,SAC,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,0.0
2023-04-09,POR,False,False,W,10,8.0,3.0,2.0,0.0,0.0,0.0,3.0,7.0,0.429,2.0,5.0,0.4,0.0,0.0,0.0,6.6,6.0
2023-10-25,IND,False,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,2.0
2023-10-30,BOS,True,False,L,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
2023-11-15,DAL,True,False,L,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,5.0
2023-12-08,BKN,False,False,L,4,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-2.0
2023-12-11,PHI,False,False,L,17,10.0,4.0,1.0,0.0,0.0,0.0,3.0,5.0,0.6,2.0,3.0,0.667,2.0,2.0,1.0,8.8,-10.0
2023-12-13,NOP,True,False,L,4,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,8.0
2023-12-15,IND,True,False,W,3,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-8.0
2023-12-22,GSW,False,False,L,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,10.0
2023-12-27,TOR,True,False,L,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.8,-4.0
2024-01-13,ATL,False,False,W,18,8.0,9.0,0.0,0.0,1.0,2.0,3.0,8.0,0.375,0.0,3.0,0.0,2.0,4.0,0.5,3.4,2.0
2024-01-15,DET,True,False,L,13,9.0,3.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,9.9,8.0
2024-01-18,NYK,False,False,L,6,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2024-01-20,SAS,True,False,L,12,7.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,0.667,2.0,3.0,0.667,1.0,2.0,0.5,4.0,15.0
2024-01-24,MIN,True,False,L,1,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0
2024-01-25,UTA,True,True,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-31,LAC,True,False,L,12,3.0,6.0,0.0,0.0,0.0,1.0,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,-0.4,7.0
2024-02-04,PHX,True,False,L,7,3.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,2.0,0.5,1.2,3.0
2024-02-22,DEN,False,False,L,4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.0
2024-02-23,OKC,False,True,L,16,3.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,2.5,-2.0
2024-02-25,CLE,True,False,L,9,2.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.2,9.0
2024-03-10,MIA,False,False,W,11,8.0,2.0,0.0,0.0,0.0,1.0,3.0,5.0,0.6,1.0,3.0,0.333,1.0,1.0,1.0,5.3,-7.0
2024-03-12,MEM,False,False,L,11,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2,4.0
2024-03-14,HOU,False,False,L,12,0.0,7.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.3,-10.0
2024-03-16,CHI,False,False,L,16,6.0,1.0,2.0,1.0,0.0,0.0,2.0,6.0,0.333,2.0,5.0,0.4,0.0,0.0,0.0,4.9,-17.0
2024-03-17,BOS,True,True,L,32,6.0,7.0,4.0,1.0,2.0,2.0,2.0,11.0,0.182,2.0,7.0,0.286,0.0,0.0,0.0,4.0,-16.0
2024-03-19,HOU,True,False,L,21,12.0,7.0,3.0,1.0,0.0,0.0,4.0,9.0,0.444,1.0,5.0,0.2,3.0,5.0,0.6,10.5,-9.0
2024-03-21,SAC,True,False,W,9,6.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,5.6,-1.0
2024-03-23,TOR,True,False,W,11,2.0,1.0,0.0,0.0,3.0,1.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.7,-1.0
2024-03-25,CHI,False,False,W,26,2.0,6.0,2.0,2.0,1.0,1.0,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,3.8,9.0
2024-03-27,BKN,True,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-10.0
2024-03-29,DET,True,False,L,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8,-8.0
2024-03-31,MIA,True,False,L,18,0.0,3.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-6.9,-14.0
2024-04-03,LAL,True,False,L,10,3.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.6,13.0
2024-04-05,POR,True,False,L,7,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,1.0,0.0,-0.8,-8.0
2024-04-07,TOR,False,False,L,33,16.0,11.0,1.0,2.0,2.0,0.0,5.0,10.0,0.5,3.0,7.0,0.429,3.0,4.0,0.75,16.4,10.0
2024-04-09,MIN,False,False,L,38,15.0,6.0,4.0,2.0,0.0,1.0,6.0,11.0,0.545,3.0,8.0,0.375,0.0,0.0,0.0,14.1,-5.0
2024-04-12,CHI,True,False,L,41,18.0,12.0,4.0,1.0,1.0,1.0,7.0,12.0,0.583,3.0,7.0,0.429,1.0,2.0,0.5,18.7,5.0
2024-04-14,BOS,False,False,L,33,17.0,7.0,0.0,2.0,1.0,1.0,6.0,11.0,0.545,4.0,7.0,0.571,1.0,1.0,1.0,14.3,-12.0
2024-10-24,BOS,True,False,L,8,7.0,2.0,1.0,0.0,0.0,0.0,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,4.9,10.0
2024-10-26,CLE,True,False,L,5,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.0
