date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2020-12-23,ATL,True,False,L,33,16.0,4.0,1.0,1.0,1.0,0.0,5.0,11.0,0.455,1.0,3.0,0.333,5.0,6.0,0.833,12.7,-23.0
2020-12-26,IND,True,False,L,22,9.0,2.0,1.0,0.0,1.0,4.0,2.0,6.0,0.333,1.0,1.0,1.0,4.0,4.0,1.0,4.0,-14.0
2020-12-27,GSW,True,True,L,26,6.0,4.0,2.0,0.0,3.0,2.0,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,6.0,6.0
2020-12-29,WAS,False,False,W,20,12.0,1.0,2.0,0.0,0.0,1.0,5.0,10.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,6.9,1.0
2020-12-31,WAS,False,False,W,18,10.0,1.0,0.0,0.0,0.0,2.0,4.0,5.0,0.8,1.0,2.0,0.5,1.0,2.0,0.5,4.4,-15.0
2021-01-01,MIL,False,True,L,25,8.0,6.0,0.0,0.0,1.0,3.0,4.0,11.0,0.364,0.0,2.0,0.0,0.0,1.0,0.0,-0.6,-11.0
2021-01-03,DAL,True,False,W,28,6.0,5.0,1.0,3.0,2.0,0.0,3.0,8.0,0.375,0.0,1.0,0.0,0.0,0.0,0.0,7.8,6.0
2021-01-05,POR,False,False,W,25,14.0,3.0,1.0,0.0,0.0,2.0,5.0,8.0,0.625,2.0,2.0,1.0,2.0,2.0,1.0,9.6,-4.0
2021-01-06,SAC,False,True,L,22,9.0,2.0,1.0,1.0,0.0,0.0,3.0,6.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,6.7,2.0
2021-01-08,LAL,False,False,L,34,6.0,8.0,0.0,4.0,0.0,2.0,3.0,10.0,0.3,0.0,2.0,0.0,0.0,0.0,0.0,3.4,0.0
2021-01-10,LAC,False,False,L,36,17.0,2.0,2.0,2.0,0.0,2.0,6.0,9.0,0.667,3.0,5.0,0.6,2.0,2.0,1.0,15.1,9.0
2021-01-15,OKC,False,False,L,36,14.0,7.0,2.0,0.0,2.0,3.0,5.0,7.0,0.714,2.0,3.0,0.667,2.0,2.0,1.0,12.6,-7.0
2021-01-17,DAL,False,False,W,23,5.0,5.0,1.0,0.0,0.0,1.0,2.0,5.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,1.9,0.0
2021-01-22,CHA,False,False,W,16,4.0,6.0,0.0,0.0,0.0,1.0,2.0,7.0,0.286,0.0,2.0,0.0,0.0,1.0,0.0,0.3,1.0
2021-01-23,LAL,True,True,L,31,13.0,8.0,1.0,0.0,1.0,1.0,5.0,12.0,0.417,2.0,4.0,0.5,1.0,2.0,0.5,9.8,-3.0
2021-01-25,BOS,True,False,L,10,2.0,0.0,1.0,1.0,0.0,2.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,-1.5,-20.0
2021-01-30,POR,True,False,L,24,11.0,1.0,1.0,1.0,0.0,1.0,4.0,7.0,0.571,1.0,3.0,0.333,2.0,2.0,1.0,8.7,-12.0
2021-02-01,NYK,True,False,W,28,10.0,1.0,2.0,0.0,0.0,0.0,3.0,8.0,0.375,0.0,3.0,0.0,4.0,6.0,0.667,6.1,-1.0
2021-02-03,NYK,True,False,L,32,12.0,7.0,1.0,1.0,0.0,2.0,6.0,12.0,0.5,0.0,3.0,0.0,0.0,1.0,0.0,7.0,5.0
2021-02-05,ORL,False,False,L,34,20.0,7.0,1.0,2.0,1.0,1.0,7.0,11.0,0.636,0.0,1.0,0.0,6.0,6.0,1.0,19.2,-8.0
2021-02-06,ORL,False,True,W,33,16.0,10.0,1.0,0.0,1.0,2.0,7.0,13.0,0.538,1.0,2.0,0.5,1.0,1.0,1.0,12.1,22.0
