date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-01-04,CHA,True,False,W,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.0
2021-01-09,DEN,True,False,L,26,6.0,7.0,2.0,1.0,1.0,4.0,3.0,9.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,4.1,13.0
2021-01-11,ATL,False,False,L,21,6.0,3.0,1.0,0.0,3.0,0.0,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,6.0,7.0
2021-01-14,MIA,True,False,W,2,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-3.0
2021-01-25,DET,False,False,L,5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.0
2021-03-14,SAS,True,False,W,6,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0
2021-03-20,SAC,True,False,W,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,3.0
2021-03-25,LAL,False,False,W,9,4.0,3.0,0.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,2.0,0.0,0.0,1.0,0.0,3.1,-3.0
2021-03-27,LAC,False,False,L,4,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,6.0
2021-03-30,DEN,False,False,L,7,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2021-04-01,CLE,False,False,W,4,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-6.0
2021-04-04,MEM,True,False,L,13,10.0,6.0,2.0,1.0,1.0,1.0,5.0,7.0,0.714,0.0,1.0,0.0,0.0,1.0,0.0,11.0,6.0
2021-04-06,BOS,False,False,W,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-2.0
2021-04-09,NOP,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-04-10,OKC,False,True,W,6,3.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,3.3,2.0
2021-04-12,DAL,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2021-04-16,LAC,True,False,W,3,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-2.0
2021-04-22,MIL,False,False,L,4,4.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,2.9,8.0
2021-04-26,OKC,True,False,W,10,10.0,9.0,1.0,1.0,2.0,1.0,5.0,7.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,13.9,0.0
2021-04-28,ATL,True,False,W,7,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,8.0
2021-04-30,ATL,True,False,W,3,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-2.0
2021-05-05,HOU,False,False,W,5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-4.0
2021-05-08,DET,True,False,W,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-8.0
2021-05-13,MIA,False,False,L,4,4.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,10.0
2021-05-14,ORL,True,True,W,7,4.0,2.0,2.0,1.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,-2.0
2021-05-16,ORL,True,False,W,24,17.0,12.0,3.0,1.0,1.0,2.0,7.0,13.0,0.538,0.0,0.0,0.0,3.0,4.0,0.75,17.3,2.0
2021-10-20,NOP,False,False,W,3,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.0
2021-10-24,OKC,False,False,W,9,2.0,5.0,2.0,1.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0
2021-10-26,NYK,False,False,L,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
2021-10-30,ATL,True,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,3.0
2021-11-01,POR,True,False,W,9,4.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,2.9,-8.0
