date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-19,UTA,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-4.0
2022-10-24,POR,False,False,L,3,4.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.7,1.0
2022-10-26,LAL,True,False,W,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-7.0
2022-10-28,UTA,True,False,W,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2022-11-18,DAL,False,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,1.0
2022-11-25,LAC,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0
2023-02-02,GSW,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2023-02-04,ATL,True,False,W,2,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2023-02-05,MIN,False,True,L,9,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-10.0
2023-02-07,MIN,True,False,W,8,7.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0,0.75,1.0,1.0,1.0,0.0,2.0,0.0,5.9,-3.0
2023-02-11,CHA,False,False,W,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0
2023-02-15,DAL,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2023-02-25,MEM,False,False,L,4,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.7,10.0
2023-02-28,HOU,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,1.0
2023-03-22,WAS,False,False,W,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-6.0
2023-03-25,MIL,True,False,W,3,8.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,2.0,2.0,1.0,0.0,0.0,0.0,6.4,1.0
2023-03-30,NOP,True,False,L,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,0.0
2023-03-31,PHX,False,True,L,27,5.0,8.0,1.0,0.0,2.0,1.0,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,4.7,5.0
2023-04-02,GSW,True,False,W,20,8.0,5.0,0.0,0.0,3.0,0.0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,9.4,3.0
2023-04-04,HOU,False,False,L,18,10.0,3.0,2.0,1.0,1.0,0.0,4.0,7.0,0.571,1.0,3.0,0.333,1.0,2.0,0.5,9.9,-7.0
2023-04-06,PHX,False,False,L,26,3.0,5.0,2.0,0.0,0.0,2.0,1.0,6.0,0.167,0.0,1.0,0.0,1.0,2.0,0.5,-1.9,-6.0
2023-04-08,UTA,False,False,L,17,6.0,3.0,4.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,7.0,0.571,9.9,1.0
2023-04-09,SAC,True,True,W,26,13.0,4.0,0.0,1.0,1.0,2.0,4.0,10.0,0.4,0.0,2.0,0.0,5.0,7.0,0.714,8.1,-9.0
2023-10-24,LAL,True,False,W,11,3.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.6,1.0
2023-10-27,MEM,False,False,W,18,9.0,3.0,0.0,1.0,3.0,1.0,3.0,4.0,0.75,2.0,3.0,0.667,1.0,2.0,0.5,8.8,-4.0
2023-10-29,OKC,False,False,W,22,17.0,4.0,1.0,1.0,1.0,0.0,8.0,11.0,0.727,1.0,3.0,0.333,0.0,0.0,0.0,16.1,11.0
2023-10-30,UTA,True,True,W,15,5.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,3.9,0.0
2023-11-01,MIN,False,False,L,16,4.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,1.2,-6.0
2023-11-03,DAL,True,False,W,13,3.0,3.0,1.0,0.0,2.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,2.0,0.5,3.2,-14.0
2023-11-04,CHI,True,True,W,18,2.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.5,-8.0
2023-11-06,NOP,True,False,W,19,4.0,3.0,1.0,2.0,2.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,7.7,15.0
2023-11-08,GSW,True,False,W,11,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-8.0
2023-11-12,HOU,False,False,L,7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-6.0
2023-11-14,LAC,True,False,W,11,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
2023-11-17,NOP,False,False,L,11,3.0,3.0,1.0,0.0,0.0,2.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.5,-2.0
2023-11-20,DET,False,False,W,13,4.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,4.7,5.0
2023-11-22,ORL,False,False,L,10,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.2,-9.0
2023-11-24,HOU,False,False,L,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-18.0
2023-11-26,SAS,True,False,W,22,4.0,4.0,2.0,1.0,2.0,1.0,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,4.6,5.0
2023-11-27,LAC,False,True,W,24,8.0,3.0,1.0,2.0,1.0,1.0,4.0,7.0,0.571,0.0,0.0,0.0,0.0,2.0,0.0,7.2,2.0
2023-12-01,PHX,False,False,W,25,8.0,3.0,0.0,0.0,0.0,0.0,4.0,9.0,0.444,0.0,2.0,0.0,0.0,0.0,0.0,2.2,5.0
