date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-12-27,LAC,False,False,L,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2024-12-30,CLE,True,False,L,5,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.7,1.0
2025-01-10,IND,False,False,L,7,6.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,4.0,6.0
2025-01-20,BOS,True,False,L,14,9.0,1.0,3.0,0.0,1.0,1.0,4.0,8.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,7.1,-8.0
2025-01-22,SAC,False,False,L,15,5.0,6.0,1.0,0.0,1.0,1.0,2.0,5.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,2.9,-10.0
2025-01-23,CHI,True,True,W,20,20.0,5.0,3.0,0.0,0.0,1.0,7.0,12.0,0.583,5.0,10.0,0.5,1.0,1.0,1.0,15.8,13.0
2025-01-25,LAL,True,False,L,23,8.0,2.0,3.0,1.0,0.0,2.0,3.0,7.0,0.429,2.0,5.0,0.4,0.0,0.0,0.0,4.8,2.0
2025-01-28,UTA,True,False,W,16,10.0,5.0,2.0,0.0,0.0,0.0,3.0,10.0,0.3,2.0,5.0,0.4,2.0,2.0,1.0,6.7,-3.0
2025-01-29,OKC,True,True,W,8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2,-11.0
2025-01-31,PHX,True,False,L,19,9.0,8.0,2.0,0.0,1.0,0.0,3.0,9.0,0.333,2.0,4.0,0.5,1.0,1.0,1.0,8.8,-17.0
2025-02-03,ORL,True,False,W,20,7.0,7.0,3.0,1.0,0.0,0.0,2.0,5.0,0.4,1.0,4.0,0.25,2.0,2.0,1.0,9.1,6.0
2025-02-05,UTA,False,False,L,25,10.0,7.0,3.0,0.0,0.0,0.0,5.0,9.0,0.556,0.0,2.0,0.0,0.0,0.0,0.0,10.7,-9.0
2025-02-06,LAL,False,True,L,11,6.0,2.0,2.0,0.0,0.0,0.0,2.0,5.0,0.4,2.0,5.0,0.4,0.0,0.0,0.0,4.5,-17.0
2025-02-08,CHI,False,False,W,20,18.0,3.0,2.0,0.0,1.0,1.0,7.0,10.0,0.7,4.0,7.0,0.571,0.0,0.0,0.0,15.4,11.0
2025-02-10,MIL,False,False,W,15,13.0,4.0,1.0,0.0,0.0,0.0,4.0,5.0,0.8,3.0,4.0,0.75,2.0,2.0,1.0,13.4,11.0
2025-02-12,DAL,False,False,L,12,5.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,5.3,-19.0
2025-02-13,HOU,False,True,W,7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.1,-3.0
2025-02-21,SAC,False,False,W,14,9.0,5.0,0.0,1.0,0.0,3.0,3.0,5.0,0.6,3.0,3.0,1.0,0.0,0.0,0.0,6.6,19.0
2025-02-23,DAL,True,False,W,18,10.0,6.0,3.0,1.0,0.0,1.0,3.0,9.0,0.333,2.0,6.0,0.333,2.0,2.0,1.0,8.8,0.0
2025-02-25,CHA,True,False,W,18,8.0,3.0,2.0,2.0,0.0,2.0,3.0,8.0,0.375,1.0,4.0,0.25,1.0,2.0,0.5,4.3,6.0
2025-02-27,ORL,False,False,W,24,18.0,5.0,1.0,1.0,1.0,0.0,7.0,9.0,0.778,2.0,4.0,0.5,2.0,2.0,1.0,17.6,22.0
2025-03-01,PHI,False,False,L,25,16.0,9.0,1.0,1.0,1.0,2.0,6.0,15.0,0.4,4.0,9.0,0.444,0.0,0.0,0.0,9.8,-2.0
2025-03-03,CHA,False,False,W,17,6.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,0.333,2.0,3.0,0.667,0.0,0.0,0.0,5.2,-2.0
2025-03-04,NYK,False,True,W,15,3.0,3.0,0.0,0.0,1.0,3.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,-2.0,5.0
2025-03-06,BKN,False,False,W,21,10.0,7.0,2.0,0.0,2.0,0.0,4.0,8.0,0.5,2.0,4.0,0.5,0.0,2.0,0.0,11.3,13.0
2025-03-08,DET,True,False,W,20,6.0,2.0,1.0,1.0,0.0,0.0,3.0,10.0,0.3,0.0,5.0,0.0,0.0,0.0,0.0,0.5,0.0
2025-03-10,POR,True,False,W,25,11.0,7.0,2.0,1.0,3.0,1.0,4.0,10.0,0.4,3.0,5.0,0.6,0.0,0.0,0.0,9.6,-2.0
2025-03-13,SAC,True,False,W,21,10.0,4.0,0.0,1.0,1.0,2.0,3.0,7.0,0.429,3.0,7.0,0.429,1.0,2.0,0.5,6.4,9.0
2025-03-15,NYK,True,False,W,19,5.0,6.0,2.0,0.0,1.0,0.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,6.9,2.0
2025-03-17,DEN,True,False,L,8,4.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,4.0,-9.0
2025-03-18,MIL,True,True,W,23,14.0,4.0,3.0,1.0,0.0,3.0,5.0,10.0,0.5,4.0,9.0,0.444,0.0,0.0,0.0,8.7,9.0
2025-03-20,TOR,True,False,W,22,18.0,2.0,0.0,1.0,1.0,0.0,6.0,10.0,0.6,6.0,9.0,0.667,0.0,0.0,0.0,14.9,5.0
2025-03-22,ATL,False,False,L,28,11.0,4.0,1.0,0.0,1.0,0.0,4.0,6.0,0.667,3.0,4.0,0.75,0.0,0.0,0.0,10.2,-2.0
2025-03-25,MIA,False,False,L,14,3.0,1.0,3.0,0.0,0.0,4.0,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,-2.5,-15.0
2025-03-28,NOP,False,False,W,18,15.0,6.0,2.0,0.0,0.0,1.0,5.0,11.0,0.455,3.0,9.0,0.333,2.0,2.0,1.0,11.9,10.0
2025-03-30,SAS,False,False,W,18,7.0,2.0,1.0,1.0,0.0,1.0,3.0,9.0,0.333,1.0,6.0,0.167,0.0,0.0,0.0,2.8,2.0
2025-04-01,MEM,False,False,W,20,9.0,1.0,1.0,0.0,0.0,0.0,3.0,10.0,0.3,3.0,9.0,0.333,0.0,0.0,0.0,3.4,-1.0
2025-04-03,LAL,False,False,W,15,4.0,3.0,1.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,0.6,7.0
2025-04-04,DEN,True,True,W,13,3.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,1.4,6.0
2025-04-06,HOU,True,False,L,7,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9,-2.0
2025-04-11,POR,False,False,W,16,10.0,1.0,1.0,0.0,1.0,0.0,3.0,7.0,0.429,2.0,5.0,0.4,2.0,2.0,1.0,7.6,7.0
2025-04-13,LAC,True,False,L,10,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,1.0
2025-10-21,LAL,False,False,W,9,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,5.0
2025-10-23,DEN,True,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2025-10-24,POR,False,True,L,16,5.0,4.0,1.0,0.0,0.0,1.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,5.1,-3.0
2025-10-27,MEM,True,False,W,13,2.0,4.0,2.0,0.0,2.0,0.0,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,2.8,-4.0
2025-10-28,LAC,True,True,W,25,12.0,8.0,0.0,1.0,1.0,2.0,4.0,9.0,0.444,4.0,7.0,0.571,0.0,0.0,0.0,9.4,34.0
2025-10-30,MIL,False,False,L,10,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.9,3.0
2025-11-01,IND,False,False,L,13,9.0,3.0,0.0,0.0,0.0,1.0,4.0,8.0,0.5,1.0,5.0,0.2,0.0,0.0,0.0,4.1,4.0
2025-11-04,PHX,True,False,W,27,14.0,7.0,3.0,1.0,2.0,1.0,5.0,7.0,0.714,4.0,6.0,0.667,0.0,0.0,0.0,16.3,16.0
2025-11-05,SAC,False,True,L,16,0.0,4.0,1.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
2025-11-07,DEN,False,False,L,20,14.0,3.0,1.0,0.0,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,13.8,-6.0
2025-11-09,IND,True,False,W,24,14.0,8.0,2.0,1.0,0.0,0.0,4.0,10.0,0.4,2.0,7.0,0.286,4.0,5.0,0.8,13.8,17.0
2025-11-11,OKC,False,False,L,17,6.0,3.0,2.0,0.0,1.0,1.0,2.0,6.0,0.333,2.0,6.0,0.333,0.0,0.0,0.0,4.2,1.0
2025-11-12,SAS,False,True,W,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2025-11-14,SAS,False,False,W,7,3.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,2.0,-3.0
2025-11-16,NOP,False,False,W,10,4.0,7.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,4.0,0.25,1.0,2.0,0.5,3.3,-2.0
2025-11-18,ORL,False,False,L,12,2.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
2025-11-19,MIA,False,True,L,26,19.0,6.0,2.0,1.0,0.0,5.0,8.0,13.0,0.615,3.0,7.0,0.429,0.0,0.0,0.0,11.9,5.0
2025-11-21,POR,True,False,L,17,7.0,4.0,1.0,3.0,0.0,1.0,2.0,6.0,0.333,1.0,5.0,0.2,2.0,2.0,1.0,5.9,7.0
2025-11-24,UTA,True,False,W,28,9.0,4.0,5.0,1.0,1.0,1.0,3.0,8.0,0.375,1.0,5.0,0.2,2.0,2.0,1.0,9.6,27.0
2025-11-26,HOU,True,False,L,22,12.0,5.0,1.0,3.0,1.0,0.0,5.0,11.0,0.455,1.0,6.0,0.167,1.0,2.0,0.5,11.4,-7.0
2025-11-29,NOP,True,False,W,17,8.0,2.0,2.0,0.0,1.0,1.0,3.0,6.0,0.5,1.0,4.0,0.25,1.0,1.0,1.0,5.1,-2.0
2025-12-02,OKC,True,False,L,18,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.2,6.0
2025-12-04,PHI,False,False,L,25,10.0,3.0,4.0,0.0,0.0,0.0,4.0,8.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,8.9,4.0
2025-12-06,CLE,False,False,W,32,12.0,9.0,3.0,0.0,3.0,2.0,5.0,14.0,0.357,2.0,6.0,0.333,0.0,0.0,0.0,7.9,-10.0
2025-12-07,CHI,False,True,W,26,19.0,4.0,1.0,1.0,1.0,0.0,7.0,14.0,0.5,5.0,10.0,0.5,0.0,0.0,0.0,14.8,25.0
