date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-10-23,SAS,False,False,L,37,21.0,5.0,2.0,2.0,0.0,3.0,9.0,13.0,0.692,1.0,3.0,0.333,2.0,4.0,0.5,15.4,-2.0
2019-10-25,BKN,False,False,L,36,16.0,3.0,3.0,6.0,0.0,5.0,7.0,16.0,0.438,2.0,4.0,0.5,0.0,3.0,0.0,8.8,0.0
2019-10-26,BOS,True,True,L,37,26.0,7.0,3.0,0.0,0.0,4.0,9.0,21.0,0.429,4.0,6.0,0.667,4.0,7.0,0.571,13.9,-9.0
2019-10-28,CHI,True,False,W,40,19.0,15.0,5.0,0.0,1.0,2.0,7.0,15.0,0.467,0.0,2.0,0.0,5.0,11.0,0.455,16.8,5.0
2019-10-30,ORL,False,False,L,31,9.0,2.0,2.0,0.0,0.0,2.0,4.0,11.0,0.364,1.0,4.0,0.25,0.0,2.0,0.0,1.3,-20.0
2019-11-01,BOS,False,False,L,39,15.0,7.0,5.0,1.0,1.0,2.0,5.0,17.0,0.294,1.0,4.0,0.25,4.0,6.0,0.667,9.2,-2.0
2019-11-03,SAC,True,False,L,41,22.0,4.0,3.0,1.0,1.0,2.0,8.0,20.0,0.4,1.0,5.0,0.2,5.0,9.0,0.556,13.0,-22.0
2019-11-06,DET,False,False,L,34,15.0,6.0,8.0,2.0,0.0,3.0,4.0,12.0,0.333,1.0,2.0,0.5,6.0,11.0,0.545,11.4,-24.0
2019-11-08,DAL,False,False,W,35,3.0,8.0,4.0,0.0,0.0,1.0,1.0,9.0,0.111,0.0,1.0,0.0,1.0,6.0,0.167,-1.9,-8.0
2019-11-10,CLE,True,False,L,24,9.0,1.0,1.0,1.0,0.0,3.0,4.0,11.0,0.364,1.0,4.0,0.25,0.0,2.0,0.0,-0.1,-21.0
2019-11-12,CHI,False,False,L,32,21.0,6.0,9.0,2.0,0.0,2.0,8.0,16.0,0.5,2.0,4.0,0.5,3.0,6.0,0.5,19.9,7.0
2019-11-14,DAL,True,False,W,30,8.0,7.0,2.0,1.0,0.0,4.0,3.0,10.0,0.3,0.0,2.0,0.0,2.0,2.0,1.0,2.3,0.0
2019-11-16,CHA,True,False,L,31,22.0,5.0,2.0,0.0,0.0,4.0,8.0,16.0,0.5,2.0,4.0,0.5,4.0,5.0,0.8,12.5,-10.0
2019-11-18,CLE,True,False,W,24,15.0,2.0,1.0,2.0,2.0,1.0,5.0,13.0,0.385,1.0,1.0,1.0,4.0,5.0,0.8,10.8,12.0
2019-11-20,PHI,False,False,L,36,8.0,7.0,3.0,3.0,1.0,4.0,4.0,12.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,4.7,-5.0
2019-11-23,SAS,True,False,L,29,13.0,5.0,4.0,1.0,1.0,1.0,6.0,11.0,0.545,0.0,2.0,0.0,1.0,4.0,0.25,11.1,6.0
2019-11-27,TOR,False,False,L,31,16.0,5.0,4.0,3.0,0.0,4.0,5.0,17.0,0.294,2.0,8.0,0.25,4.0,6.0,0.667,7.8,-20.0
2019-11-29,PHI,True,False,L,29,18.0,3.0,2.0,0.0,0.0,2.0,8.0,13.0,0.615,1.0,2.0,0.5,1.0,1.0,1.0,10.4,9.0
2019-12-01,BOS,True,False,L,35,16.0,7.0,0.0,1.0,1.0,0.0,4.0,13.0,0.308,0.0,2.0,0.0,8.0,13.0,0.615,9.9,-6.0
2019-12-02,MIL,False,True,L,20,2.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,-2.9,-25.0
2019-12-05,DEN,True,False,L,22,9.0,3.0,5.0,3.0,1.0,3.0,4.0,10.0,0.4,1.0,5.0,0.2,0.0,0.0,0.0,8.3,-21.0
2019-12-07,IND,True,False,L,36,12.0,9.0,3.0,1.0,1.0,2.0,4.0,11.0,0.364,1.0,3.0,0.333,3.0,6.0,0.5,8.8,9.0
2019-12-10,POR,False,False,L,19,5.0,4.0,0.0,0.0,0.0,0.0,1.0,9.0,0.111,0.0,2.0,0.0,3.0,4.0,0.75,-0.1,-18.0
2019-12-11,GSW,False,True,W,46,22.0,10.0,3.0,1.0,1.0,3.0,8.0,16.0,0.5,3.0,5.0,0.6,3.0,4.0,0.75,15.4,0.0
2019-12-13,SAC,False,False,W,31,8.0,4.0,2.0,0.0,0.0,0.0,4.0,14.0,0.286,0.0,5.0,0.0,0.0,0.0,0.0,2.8,-13.0
2019-12-15,DEN,False,False,L,36,7.0,3.0,1.0,0.0,0.0,2.0,3.0,12.0,0.25,1.0,6.0,0.167,0.0,0.0,0.0,-0.6,2.0
2019-12-17,ATL,True,False,W,29,27.0,6.0,1.0,1.0,0.0,0.0,10.0,13.0,0.769,2.0,3.0,0.667,5.0,8.0,0.625,24.2,13.0
2019-12-20,MIA,False,False,L,20,2.0,2.0,0.0,0.0,0.0,0.0,1.0,10.0,0.1,0.0,3.0,0.0,0.0,2.0,0.0,-4.8,-24.0
2019-12-21,MIL,True,True,L,33,17.0,5.0,3.0,0.0,1.0,2.0,6.0,16.0,0.375,2.0,4.0,0.5,3.0,4.0,0.75,8.9,-21.0
2019-12-23,WAS,True,False,L,36,18.0,6.0,4.0,1.0,0.0,4.0,8.0,15.0,0.533,2.0,4.0,0.5,0.0,0.0,0.0,12.3,0.0
2019-12-26,BKN,False,False,W,24,5.0,7.0,2.0,1.0,0.0,2.0,2.0,10.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,1.7,20.0
2019-12-28,WAS,False,False,W,31,14.0,5.0,1.0,0.0,0.0,2.0,5.0,13.0,0.385,3.0,5.0,0.6,1.0,1.0,1.0,6.7,-1.0
2020-01-01,POR,True,False,W,25,7.0,4.0,0.0,0.0,0.0,3.0,3.0,12.0,0.25,1.0,4.0,0.25,0.0,1.0,0.0,-3.2,-6.0
2020-01-03,PHX,False,False,L,31,10.0,4.0,2.0,2.0,1.0,4.0,3.0,10.0,0.3,1.0,6.0,0.167,3.0,4.0,0.75,4.7,-2.0
2020-01-05,LAC,False,False,L,37,24.0,6.0,0.0,1.0,1.0,1.0,7.0,11.0,0.636,1.0,2.0,0.5,9.0,11.0,0.818,19.6,4.0
2020-01-07,LAL,False,False,L,31,19.0,5.0,0.0,0.0,0.0,3.0,9.0,19.0,0.474,0.0,2.0,0.0,1.0,2.0,0.5,6.6,-15.0
2020-01-08,UTA,False,True,L,27,10.0,2.0,0.0,1.0,0.0,3.0,3.0,10.0,0.3,0.0,1.0,0.0,4.0,4.0,1.0,2.4,-23.0
2020-01-10,NOP,True,False,L,33,16.0,9.0,2.0,2.0,0.0,3.0,5.0,15.0,0.333,1.0,4.0,0.25,5.0,8.0,0.625,8.6,-6.0
2020-01-12,MIA,True,False,W,40,23.0,5.0,3.0,2.0,0.0,0.0,7.0,10.0,0.7,1.0,3.0,0.333,8.0,10.0,0.8,22.8,2.0
2020-01-14,MIL,False,False,L,32,22.0,8.0,3.0,1.0,1.0,3.0,6.0,15.0,0.4,5.0,7.0,0.714,5.0,6.0,0.833,17.9,-18.0
2020-01-16,PHX,True,False,L,14,7.0,3.0,2.0,0.0,0.0,1.0,2.0,8.0,0.25,1.0,2.0,0.5,2.0,4.0,0.5,1.9,-9.0
2020-02-06,ORL,True,False,W,18,12.0,3.0,3.0,0.0,0.0,1.0,3.0,6.0,0.5,1.0,2.0,0.5,5.0,9.0,0.556,9.4,-4.0
2020-02-08,DET,False,False,W,21,3.0,2.0,2.0,0.0,0.0,1.0,1.0,8.0,0.125,0.0,2.0,0.0,1.0,2.0,0.5,-2.8,-15.0
2020-02-09,ATL,False,True,L,22,5.0,4.0,3.0,1.0,0.0,0.0,2.0,6.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,4.3,-3.0
2020-02-12,WAS,True,False,L,29,16.0,5.0,0.0,0.0,0.0,2.0,5.0,16.0,0.313,0.0,4.0,0.0,6.0,6.0,1.0,5.1,-10.0
2020-02-21,IND,True,False,L,27,17.0,4.0,2.0,0.0,0.0,3.0,8.0,19.0,0.421,0.0,5.0,0.0,1.0,3.0,0.333,4.9,-12.0
2020-02-24,HOU,False,False,L,34,21.0,6.0,3.0,1.0,0.0,5.0,8.0,17.0,0.471,2.0,5.0,0.4,3.0,7.0,0.429,10.2,-5.0
2020-02-26,CHA,False,False,L,21,5.0,3.0,1.0,0.0,0.0,0.0,2.0,11.0,0.182,1.0,4.0,0.25,0.0,0.0,0.0,-0.3,-13.0
2020-02-27,PHI,False,True,L,35,15.0,6.0,5.0,0.0,0.0,3.0,6.0,13.0,0.462,0.0,1.0,0.0,3.0,4.0,0.75,9.4,3.0
2020-02-29,CHI,True,False,W,31,19.0,4.0,3.0,0.0,0.0,3.0,8.0,10.0,0.8,3.0,4.0,0.75,0.0,4.0,0.0,13.5,19.0
2020-03-02,HOU,True,False,W,30,27.0,5.0,5.0,1.0,0.0,3.0,10.0,18.0,0.556,3.0,8.0,0.375,4.0,7.0,0.571,19.4,-2.0
2020-03-04,UTA,True,False,L,30,14.0,4.0,5.0,1.0,0.0,2.0,5.0,12.0,0.417,1.0,2.0,0.5,3.0,3.0,1.0,10.1,-1.0
2020-03-06,OKC,True,False,L,29,17.0,4.0,3.0,1.0,0.0,4.0,5.0,12.0,0.417,1.0,3.0,0.333,6.0,6.0,1.0,9.7,-11.0
2020-03-08,DET,True,False,W,26,12.0,3.0,2.0,1.0,0.0,0.0,5.0,16.0,0.313,1.0,4.0,0.25,1.0,4.0,0.25,4.9,2.0
2020-03-10,WAS,False,False,L,30,16.0,6.0,1.0,4.0,0.0,5.0,5.0,15.0,0.333,1.0,5.0,0.2,5.0,7.0,0.714,8.2,-19.0
2020-03-11,ATL,False,True,W,39,26.0,5.0,4.0,2.0,1.0,2.0,9.0,14.0,0.643,2.0,5.0,0.4,6.0,6.0,1.0,24.4,3.0
2020-12-23,IND,False,False,L,34,26.0,8.0,5.0,0.0,0.0,1.0,11.0,15.0,0.733,3.0,3.0,1.0,1.0,2.0,0.5,23.2,-10.0
2020-12-26,PHI,True,False,L,37,10.0,6.0,4.0,0.0,0.0,4.0,2.0,15.0,0.133,0.0,6.0,0.0,6.0,8.0,0.75,0.5,-16.0
2020-12-27,MIL,True,True,W,38,17.0,8.0,4.0,1.0,0.0,2.0,7.0,17.0,0.412,0.0,4.0,0.0,3.0,4.0,0.75,10.9,21.0
2020-12-29,CLE,False,False,W,39,12.0,7.0,2.0,2.0,0.0,2.0,4.0,15.0,0.267,0.0,3.0,0.0,4.0,4.0,1.0,6.2,1.0
2020-12-31,TOR,False,False,L,37,12.0,8.0,3.0,1.0,0.0,2.0,4.0,19.0,0.211,0.0,8.0,0.0,4.0,5.0,0.8,3.4,-20.0
2021-01-02,IND,False,False,W,42,25.0,5.0,3.0,0.0,0.0,1.0,8.0,15.0,0.533,4.0,5.0,0.8,5.0,6.0,0.833,19.5,5.0
2021-01-04,ATL,False,False,W,44,26.0,11.0,5.0,2.0,0.0,0.0,10.0,19.0,0.526,1.0,5.0,0.2,5.0,7.0,0.714,24.3,13.0
2021-01-06,UTA,True,False,W,33,9.0,5.0,1.0,3.0,1.0,2.0,4.0,14.0,0.286,0.0,3.0,0.0,1.0,3.0,0.333,2.7,10.0
2021-01-08,OKC,True,False,L,44,19.0,8.0,2.0,1.0,1.0,0.0,7.0,21.0,0.333,1.0,5.0,0.2,4.0,7.0,0.571,11.8,-5.0
2021-01-10,DEN,True,False,L,33,9.0,9.0,4.0,0.0,0.0,3.0,4.0,13.0,0.308,0.0,3.0,0.0,1.0,3.0,0.333,4.0,-14.0
2021-01-11,CHA,False,True,L,35,11.0,9.0,5.0,0.0,0.0,1.0,5.0,18.0,0.278,0.0,5.0,0.0,1.0,2.0,0.5,5.2,-13.0
2021-01-13,BKN,True,False,L,38,20.0,5.0,3.0,0.0,0.0,0.0,7.0,15.0,0.467,1.0,4.0,0.25,5.0,6.0,0.833,15.1,-2.0
2021-01-15,CLE,False,False,L,33,20.0,4.0,3.0,0.0,2.0,3.0,7.0,12.0,0.583,2.0,4.0,0.5,4.0,4.0,1.0,15.3,0.0
2021-01-17,BOS,False,False,W,29,19.0,11.0,3.0,2.0,0.0,4.0,5.0,11.0,0.455,2.0,4.0,0.5,7.0,8.0,0.875,16.7,32.0
2021-01-18,ORL,True,True,W,38,22.0,10.0,4.0,0.0,1.0,3.0,9.0,19.0,0.474,0.0,3.0,0.0,4.0,4.0,1.0,15.8,16.0
2021-01-21,GSW,False,False,W,37,28.0,2.0,5.0,0.0,0.0,2.0,10.0,17.0,0.588,2.0,3.0,0.667,6.0,8.0,0.75,20.2,13.0
2021-01-22,SAC,False,True,L,36,21.0,7.0,3.0,0.0,0.0,3.0,8.0,17.0,0.471,2.0,2.0,1.0,3.0,3.0,1.0,12.7,-11.0
2021-01-24,POR,False,False,L,23,8.0,4.0,2.0,0.0,0.0,0.0,4.0,9.0,0.444,0.0,2.0,0.0,0.0,0.0,0.0,5.5,-2.0
2021-01-26,UTA,False,False,L,40,17.0,3.0,4.0,1.0,0.0,1.0,7.0,11.0,0.636,3.0,3.0,1.0,0.0,2.0,0.0,15.0,-7.0
2021-01-29,CLE,True,False,W,40,24.0,4.0,2.0,2.0,0.0,3.0,8.0,19.0,0.421,2.0,5.0,0.4,6.0,7.0,0.857,13.1,24.0
2021-01-31,LAC,True,False,L,31,23.0,2.0,2.0,2.0,0.0,2.0,9.0,14.0,0.643,0.0,1.0,0.0,5.0,6.0,0.833,17.2,-8.0
2021-02-01,CHI,False,True,L,30,14.0,8.0,3.0,0.0,0.0,2.0,7.0,17.0,0.412,0.0,3.0,0.0,0.0,0.0,0.0,5.8,-11.0
2021-02-03,CHI,False,False,W,32,17.0,7.0,2.0,0.0,0.0,4.0,8.0,15.0,0.533,0.0,1.0,0.0,1.0,3.0,0.333,7.6,4.0
2021-02-06,POR,True,False,W,35,18.0,7.0,3.0,0.0,0.0,3.0,8.0,14.0,0.571,2.0,2.0,1.0,0.0,0.0,0.0,12.6,4.0
2021-02-07,MIA,True,True,L,19,3.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,0.167,1.0,3.0,0.333,0.0,0.0,0.0,-0.2,-5.0
2021-02-09,MIA,False,False,L,27,13.0,6.0,2.0,0.0,0.0,2.0,5.0,14.0,0.357,1.0,4.0,0.25,2.0,4.0,0.5,4.4,-9.0
2021-02-12,WAS,False,False,W,26,8.0,3.0,4.0,2.0,0.0,0.0,3.0,13.0,0.231,0.0,1.0,0.0,2.0,2.0,1.0,4.6,5.0
2021-02-13,HOU,True,True,W,22,7.0,4.0,5.0,0.0,0.0,2.0,2.0,8.0,0.25,0.0,1.0,0.0,3.0,4.0,0.75,4.1,1.0
2021-02-15,ATL,True,False,W,33,21.0,6.0,3.0,1.0,0.0,1.0,8.0,14.0,0.571,3.0,3.0,1.0,2.0,3.0,0.667,19.1,12.0
2021-02-17,ORL,False,False,L,27,15.0,7.0,1.0,1.0,1.0,3.0,5.0,11.0,0.455,1.0,3.0,0.333,4.0,5.0,0.8,9.6,-3.0
2021-02-21,MIN,True,False,W,34,21.0,4.0,1.0,1.0,1.0,2.0,10.0,20.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,11.8,20.0
2021-02-23,GSW,True,False,L,27,4.0,10.0,1.0,0.0,0.0,3.0,1.0,9.0,0.111,1.0,3.0,0.333,1.0,2.0,0.5,-2.8,-21.0
2021-02-25,SAC,True,False,W,25,12.0,3.0,3.0,0.0,0.0,1.0,5.0,8.0,0.625,2.0,3.0,0.667,0.0,0.0,0.0,9.2,1.0
2021-02-27,IND,True,False,W,34,24.0,7.0,2.0,0.0,0.0,2.0,8.0,17.0,0.471,4.0,6.0,0.667,4.0,7.0,0.571,15.6,14.0
