date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-24,LAC,False,False,L,9,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0
2025-10-25,DEN,False,True,L,5,3.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,2.7,-2.0
2025-10-31,UTA,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.4,2.0
2025-11-02,SAS,True,False,W,4,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-9.0
2025-11-06,LAC,True,False,W,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-2.0
2025-11-10,NOP,True,False,W,9,5.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,4.0,-2.0
2025-11-13,IND,True,False,W,7,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0
2025-11-18,POR,False,False,W,10,4.0,6.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,4.0,1.0,2.2,-6.0
2025-11-24,HOU,True,False,L,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.6,-6.0
2025-11-29,DEN,True,False,L,4,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.4,1.0
2025-12-01,LAL,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2025-12-05,HOU,False,False,L,8,3.0,2.0,0.0,2.0,1.0,0.0,1.0,5.0,0.2,0.0,3.0,0.0,1.0,1.0,1.0,2.8,11.0
2025-12-10,OKC,False,False,L,10,7.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,5.7,-3.0
2025-12-23,LAL,True,False,W,10,7.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,2.0,2.0,1.0,7.7,-5.0
2025-12-26,NOP,False,False,W,10,6.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,2.9,-3.0
2025-12-27,NOP,False,True,W,15,5.0,0.0,1.0,0.0,1.0,0.0,2.0,7.0,0.286,1.0,5.0,0.2,0.0,2.0,0.0,0.7,5.0
2025-12-29,WAS,False,False,W,12,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-4.0
2025-12-31,CLE,False,False,L,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0
2026-01-02,SAC,True,False,W,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,5.0
2026-01-05,HOU,False,False,L,5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,0.0
2026-01-07,MEM,False,False,W,9,8.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,7.3,0.0
2026-01-09,NYK,True,False,W,4,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.7,-5.0
2026-01-11,WAS,True,False,W,13,4.0,1.0,1.0,1.0,0.0,1.0,2.0,7.0,0.286,0.0,4.0,0.0,0.0,0.0,0.0,0.5,1.0
2026-01-15,DET,False,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2026-01-25,MIA,True,False,L,3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,6.0
2026-01-27,BKN,True,False,W,8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.9,6.0
2026-01-29,DET,True,False,W,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.7,-3.0
2026-01-30,CLE,True,True,W,6,5.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,3.2,-13.0
2026-02-01,LAC,True,False,L,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-7.0
2026-02-11,OKC,True,False,L,20,8.0,3.0,2.0,0.0,1.0,2.0,3.0,7.0,0.429,2.0,5.0,0.4,0.0,0.0,0.0,5.7,12.0
2026-02-19,SAS,False,False,L,12,3.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,1.3,0.0
2026-02-22,POR,True,False,L,22,6.0,1.0,0.0,2.0,0.0,2.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,4.3,2.0
2026-02-24,BOS,True,False,L,21,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-2.7,4.0
2026-02-26,LAL,True,False,W,21,8.0,6.0,0.0,1.0,0.0,0.0,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,9.3,19.0
2026-03-03,SAC,False,False,W,15,8.0,6.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,8.9,5.0
2026-03-05,CHI,True,False,L,11,5.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,2.0,0.0,4.5,-2.0
2026-03-06,NOP,True,True,W,14,6.0,5.0,0.0,0.0,0.0,1.0,2.0,5.0,0.4,2.0,4.0,0.5,0.0,2.0,0.0,3.4,0.0
2026-03-08,CHA,True,False,W,23,16.0,2.0,0.0,0.0,0.0,0.0,6.0,8.0,0.75,4.0,6.0,0.667,0.0,0.0,0.0,13.8,1.0
2026-03-10,MIL,False,False,W,17,4.0,6.0,0.0,1.0,0.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,2.0,2.0,1.0,5.2,11.0
2026-03-12,IND,False,False,W,23,2.0,5.0,1.0,0.0,2.0,1.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,2.6,16.0
2026-03-13,TOR,False,True,L,23,9.0,3.0,0.0,1.0,3.0,0.0,3.0,5.0,0.6,3.0,3.0,1.0,0.0,0.0,0.0,11.5,-3.0
2026-03-16,BOS,False,False,L,15,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,2.2,0.0
2026-03-17,MIN,False,True,L,15,9.0,1.0,0.0,1.0,0.0,1.0,3.0,7.0,0.429,2.0,4.0,0.5,1.0,2.0,0.5,4.4,-11.0
2026-03-19,SAS,False,False,L,20,8.0,5.0,0.0,1.0,2.0,1.0,3.0,7.0,0.429,2.0,5.0,0.4,0.0,2.0,0.0,5.2,11.0
2026-03-21,MIL,True,False,L,19,8.0,2.0,0.0,1.0,1.0,0.0,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,5.3,6.0
2026-03-22,TOR,True,True,W,29,11.0,7.0,1.0,2.0,1.0,1.0,4.0,8.0,0.5,2.0,5.0,0.4,1.0,1.0,1.0,12.3,18.0
2026-03-24,DEN,True,False,L,23,3.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,3.0,4.0,0.75,-0.8,-12.0
2026-03-28,UTA,True,False,W,18,7.0,6.0,0.0,0.0,1.0,1.0,3.0,7.0,0.429,1.0,4.0,0.25,0.0,0.0,0.0,4.4,14.0
2026-03-30,MEM,False,False,W,24,11.0,1.0,1.0,3.0,0.0,0.0,5.0,11.0,0.455,1.0,4.0,0.25,0.0,0.0,0.0,9.3,25.0
2026-03-31,ORL,False,True,L,16,11.0,4.0,0.0,0.0,0.0,2.0,4.0,9.0,0.444,1.0,5.0,0.2,2.0,4.0,0.5,4.7,7.0
2026-04-02,CHA,False,False,L,8,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.7,-3.0
2026-04-07,HOU,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2026-04-08,DAL,True,True,W,14,3.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,1.9,0.0
2026-04-10,LAL,False,False,L,24,3.0,3.0,2.0,0.0,0.0,5.0,1.0,6.0,0.167,1.0,6.0,0.167,0.0,0.0,0.0,-3.9,-9.0
2026-04-12,OKC,False,False,W,38,16.0,6.0,2.0,2.0,1.0,2.0,6.0,13.0,0.462,4.0,7.0,0.571,0.0,0.0,0.0,12.4,20.0
