date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-10-25,LAC,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2023-10-29,PHI,False,False,L,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-7.0
2023-11-14,UTA,False,False,L,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-0.8,-1.0
2023-11-15,CLE,True,True,L,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.1,0.0
2023-11-19,OKC,True,False,L,12,4.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,0.2,1.0,3.0,0.333,1.0,2.0,0.5,1.9,-8.0
2023-11-21,PHX,False,False,L,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2023-11-22,UTA,True,True,W,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,-14.0
2023-12-23,GSW,False,False,L,5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-1.0
2024-01-05,DAL,False,False,L,19,7.0,3.0,0.0,0.0,0.0,2.0,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,2.8,-12.0
2024-01-09,NYK,False,False,L,12,4.0,5.0,1.0,0.0,0.0,1.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,2.9,8.0
2024-01-11,OKC,False,False,L,12,3.0,3.0,2.0,0.0,0.0,0.0,1.0,5.0,0.2,1.0,2.0,0.5,0.0,0.0,0.0,2.2,0.0
2024-01-12,MIN,False,True,L,7,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.6,11.0
2024-01-14,PHX,True,False,L,14,11.0,5.0,2.0,0.0,0.0,1.0,4.0,5.0,0.8,3.0,3.0,1.0,0.0,0.0,0.0,11.0,4.0
2024-01-21,LAL,False,False,L,6,6.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,2.0,0.0,2.0,2.0,1.0,4.0,-1.0
2024-01-26,SAS,False,False,L,8,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,-6.0
2024-01-29,PHI,True,False,W,5,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,7.0
2024-03-01,MEM,False,False,W,7,5.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,5.0,-2.0
2024-03-02,MEM,False,True,W,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,0.0
2024-03-04,MIN,False,False,L,23,13.0,6.0,0.0,0.0,0.0,1.0,5.0,7.0,0.714,3.0,3.0,1.0,0.0,0.0,0.0,10.1,-7.0
2024-03-06,OKC,True,False,L,18,3.0,1.0,2.0,1.0,0.0,0.0,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,0.7,-4.0
2024-03-08,HOU,True,False,L,22,2.0,2.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-8.0
2024-03-09,TOR,True,True,W,13,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.9,7.0
2024-03-11,BOS,True,False,L,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2024-03-16,NOP,False,False,L,12,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,-0.8,-6.0
2024-03-18,CHI,False,False,L,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-8.0
2024-03-20,LAC,True,False,L,20,8.0,5.0,3.0,0.0,0.0,0.0,3.0,5.0,0.6,0.0,2.0,0.0,2.0,2.0,1.0,9.3,4.0
2024-03-22,LAC,True,False,L,23,5.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,5.2,12.0
2024-03-23,DEN,True,True,L,16,3.0,1.0,5.0,0.0,0.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,3.4,-8.0
2024-03-25,HOU,False,False,L,23,9.0,4.0,1.0,0.0,0.0,1.0,3.0,8.0,0.375,3.0,4.0,0.75,0.0,0.0,0.0,4.3,7.0
2024-03-27,ATL,False,False,L,39,7.0,6.0,5.0,0.0,1.0,1.0,2.0,6.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,7.0,-2.0
2024-03-29,MIA,False,False,L,26,6.0,4.0,3.0,1.0,0.0,3.0,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,3.1,-38.0
2024-04-01,ORL,False,False,L,31,11.0,1.0,2.0,1.0,0.0,1.0,4.0,11.0,0.364,3.0,6.0,0.5,0.0,0.0,0.0,5.4,-11.0
2024-04-03,CHA,False,False,W,35,4.0,5.0,1.0,1.0,0.0,3.0,1.0,5.0,0.2,0.0,1.0,0.0,2.0,2.0,1.0,-0.1,1.0
