date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2018-10-22,ORL,True,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-27,DET,False,False,W,8,2.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,-3.0
2018-10-30,DET,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0
2018-11-01,MIL,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-05,DEN,False,False,L,2,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,2.1,1.0
2018-11-23,ATL,False,False,W,9,4.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,-7.0
2018-11-26,NOP,False,False,W,2,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.0
2018-11-30,CLE,True,False,W,8,2.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3.0
2018-12-01,MIN,False,True,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-10,NOP,True,False,W,26,7.0,11.0,0.0,1.0,3.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,1.0,2.0,0.5,11.9,13.0
2018-12-12,WAS,False,False,W,14,6.0,6.0,0.0,0.0,2.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,7.3,-5.0
2018-12-14,ATL,True,False,W,16,2.0,5.0,0.0,0.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,-14.0
2018-12-15,DET,False,True,L,10,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.0
2018-12-19,PHX,True,False,L,24,8.0,8.0,1.0,1.0,5.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,13.8,-12.0
2018-12-21,MIL,True,False,L,8,4.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,3.7,-3.0
2018-12-23,CHA,True,False,W,11,6.0,2.0,0.0,1.0,1.0,3.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,3.6,-12.0
2019-01-07,BKN,True,False,W,4,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2019-01-09,IND,True,False,W,12,6.0,3.0,1.0,0.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,2.0
2019-01-10,MIA,False,True,L,14,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,15.0
2019-01-12,ORL,False,False,L,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-8.0
2019-01-14,BKN,False,False,L,10,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-8.0
2019-01-23,CLE,True,False,W,13,4.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0
2019-02-09,LAC,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-5.0
2019-02-26,TOR,False,False,L,20,8.0,4.0,0.0,0.0,0.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,2.0,2.0,1.0,7.8,-7.0
2019-02-27,POR,True,True,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2019-03-01,WAS,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2019-03-11,LAC,False,False,L,4,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.9,0.0
2019-03-14,SAC,True,False,W,7,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0
2019-03-23,CHA,False,False,L,10,2.0,3.0,1.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-11.0
2019-03-30,BKN,False,False,L,8,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,-1.0
2019-04-05,IND,False,False,W,3,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.3,-2.0
2019-04-09,WAS,False,False,W,29,2.0,11.0,1.0,1.0,3.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,5.2,17.0
2019-10-23,PHI,False,False,L,11,5.0,3.0,1.0,1.0,1.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,4.7,7.0
2019-10-25,TOR,True,False,W,15,6.0,6.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,-3.0
2019-10-26,NYK,False,True,W,22,4.0,7.0,3.0,2.0,1.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,8.2,8.0
2019-10-30,MIL,True,False,W,14,2.0,4.0,3.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.6,11.0
2019-11-05,CLE,False,False,W,15,6.0,4.0,3.0,1.0,2.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,8.3,-2.0
2019-11-07,CHA,False,False,W,13,7.0,5.0,1.0,2.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,6.0,0.5,6.4,9.0
2019-11-09,SAS,False,False,W,22,11.0,7.0,2.0,0.0,6.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,16.8,4.0
2019-11-11,DAL,True,False,W,17,6.0,3.0,1.0,0.0,1.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,5.9,-14.0
2019-11-15,GSW,False,False,W,10,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0
2019-11-17,SAC,False,False,L,7,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,-13.0
2019-11-18,PHX,False,True,W,15,0.0,7.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0
2019-11-20,LAC,False,False,L,9,4.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0
2019-11-22,DEN,False,False,L,15,4.0,4.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,2.0
2019-11-25,SAC,True,False,W,23,6.0,6.0,0.0,2.0,1.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-8.0
