date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-10-23,IND,True,False,L,15,6.0,3.0,0.0,2.0,0.0,1.0,2.0,6.0,0.333,0.0,3.0,0.0,2.0,2.0,1.0,4.5,-2.0
2024-10-25,CLE,False,False,L,17,4.0,7.0,1.0,0.0,1.0,1.0,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,2.7,1.0
2024-10-26,BOS,True,True,L,6,5.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,3.2,-10.0
2024-10-28,MIA,False,False,L,14,6.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-16.0
2024-10-30,PHI,False,False,W,13,6.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,4.9,5.0
2024-11-01,NYK,True,False,L,22,9.0,2.0,1.0,1.0,0.0,3.0,4.0,6.0,0.667,0.0,2.0,0.0,1.0,1.0,1.0,5.3,-16.0
2024-11-03,BKN,False,False,W,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-7.0
2024-11-04,LAL,True,True,W,17,12.0,4.0,0.0,2.0,0.0,0.0,4.0,9.0,0.444,0.0,5.0,0.0,4.0,4.0,1.0,10.5,5.0
2024-11-06,CHA,False,False,L,16,8.0,4.0,0.0,0.0,0.0,1.0,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,5.9,12.0
2024-11-08,ATL,True,False,W,14,5.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,1.0,0.0,1.0,1.0,1.0,2.6,3.0
2024-11-10,HOU,True,False,L,13,4.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,0.167,1.0,6.0,0.167,1.0,2.0,0.5,-1.3,-5.0
2024-11-12,MIA,True,False,W,16,2.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.9,-1.0
2024-11-13,MIL,False,True,L,29,11.0,4.0,2.0,1.0,0.0,0.0,5.0,10.0,0.5,0.0,2.0,0.0,1.0,3.0,0.333,8.4,1.0
2024-11-15,TOR,False,False,W,21,10.0,8.0,0.0,3.0,1.0,2.0,3.0,11.0,0.273,0.0,6.0,0.0,4.0,4.0,1.0,8.8,-5.0
2024-11-17,WAS,False,False,W,15,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.3,-7.0
2024-11-18,CHI,True,True,L,9,2.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.9,1.0
2024-11-21,CHA,False,False,L,14,6.0,2.0,1.0,0.0,0.0,2.0,2.0,5.0,0.4,1.0,3.0,0.333,1.0,1.0,1.0,2.6,7.0
2024-11-23,ORL,False,False,L,16,4.0,4.0,0.0,0.0,0.0,3.0,1.0,6.0,0.167,0.0,2.0,0.0,2.0,2.0,1.0,-2.8,6.0
