date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2013-10-30,OKC,True,False,L,23,2.0,7.0,0.0,0.0,0.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.7,2.0
2013-11-01,PHX,False,False,L,8,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-3.8,-5.0
2013-11-02,HOU,True,True,L,9,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.7,2.0
2013-11-05,BKN,False,False,L,16,0.0,11.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,-3.0
2013-11-06,BOS,False,True,L,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-11.0
2013-11-08,CHI,False,False,L,16,4.0,12.0,0.0,2.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,6.0,0.333,8.9,-2.0
2013-11-09,TOR,False,True,L,16,2.0,7.0,0.0,0.0,2.0,2.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3.0
2013-11-11,DEN,True,False,L,12,3.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,2.6,-4.0
2013-11-15,SAS,True,False,L,4,3.0,5.0,0.0,0.0,0.0,3.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.9,0.0
2013-11-16,GSW,False,True,L,9,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.9,-2.0
2013-11-18,GSW,True,False,L,5,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0
2013-11-24,OKC,False,False,L,10,10.0,3.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,9.0,0.444,10.7,9.0
2013-11-25,CHI,True,True,W,21,4.0,9.0,0.0,0.0,1.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0
2013-12-04,IND,True,False,L,7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-5.0
2013-12-06,POR,False,False,L,13,5.0,7.0,1.0,0.0,2.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,3.0,4.0,0.75,6.1,3.0
2013-12-07,SAC,True,True,L,2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-2.0
2013-12-11,SAC,False,False,W,6,0.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-4.0
2014-01-17,DET,False,False,W,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-4.0
2014-01-18,MIN,False,True,L,12,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.5,8.0
2014-01-21,MIN,True,False,L,27,8.0,6.0,1.0,1.0,3.0,1.0,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,11.5,10.0
2014-01-27,SAC,True,False,W,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,-0.2,-4.0
2014-01-31,GSW,True,False,L,18,7.0,5.0,0.0,0.0,2.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,5.0,5.0,1.0,7.1,-5.0
2014-02-01,LAC,False,True,L,19,5.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,1.8,-13.0
2014-02-03,TOR,True,False,L,31,0.0,8.0,1.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0
2014-02-07,DAL,False,False,L,6,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,-2.0
2014-02-12,PHI,True,False,W,13,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,4.2,7.0
2014-02-19,BKN,True,False,L,15,2.0,4.0,0.0,1.0,1.0,2.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.2,-7.0
2014-02-21,POR,False,False,L,12,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-1.9,5.0
2014-02-22,MIN,True,True,L,13,5.0,9.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,0.6,7.6,3.0
2014-02-26,PHX,True,False,W,6,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0
2014-02-28,CLE,False,False,L,4,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0
2014-03-02,IND,False,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2014-03-03,MIL,False,True,L,10,2.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.4,5.0
2014-03-07,NYK,False,False,L,5,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-9.0
2014-03-14,LAC,True,False,L,2,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,-4.0
2014-03-16,SAS,False,False,L,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
2014-03-17,HOU,False,True,L,5,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-3.0
2014-03-24,DET,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2014-03-30,OKC,False,False,L,6,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
2014-03-31,NYK,True,True,L,1,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.0
2014-04-06,GSW,False,False,L,5,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2014-04-11,POR,True,False,L,11,7.0,6.0,0.0,0.0,1.0,2.0,3.0,7.0,0.429,0.0,0.0,0.0,1.0,2.0,0.5,3.8,-12.0
2014-04-12,DEN,False,True,L,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-3.0
2014-04-14,LAL,True,False,L,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,5.0
2014-04-16,MIN,False,False,W,14,8.0,9.0,1.0,0.0,2.0,0.0,4.0,5.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,10.5,-4.0
2014-10-29,HOU,True,False,L,20,2.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,-10.0
2014-10-30,DAL,False,True,L,12,5.0,8.0,1.0,0.0,0.0,3.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,1.0,1.0,5.0,-13.0
2014-11-01,PHX,True,False,W,18,6.0,8.0,0.0,0.0,1.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,4.0,4.0,1.0,8.2,15.0
2014-11-03,LAC,False,False,L,15,4.0,4.0,1.0,0.0,1.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.7,-9.0
2014-11-05,CLE,True,False,W,13,7.0,4.0,0.0,0.0,3.0,1.0,3.0,5.0,0.6,0.0,0.0,0.0,1.0,2.0,0.5,7.4,-5.0
2014-11-07,DAL,True,False,L,24,8.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,0.75,0.0,0.0,0.0,2.0,4.0,0.5,11.0,-8.0
2014-11-09,DET,False,False,W,13,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
2014-11-10,IND,False,True,L,13,3.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,2.3,-9.0
2014-11-12,ATL,False,False,L,12,3.0,3.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,5.4,7.0
