date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-10-25,LAC,False,False,L,36,11.0,3.0,4.0,0.0,0.0,4.0,5.0,11.0,0.455,0.0,3.0,0.0,1.0,1.0,1.0,4.6,-16.0
2023-10-27,ORL,True,False,L,25,7.0,3.0,2.0,1.0,0.0,5.0,3.0,12.0,0.25,1.0,5.0,0.2,0.0,0.0,0.0,-3.1,-3.0
2023-10-29,PHI,False,False,L,27,4.0,1.0,3.0,0.0,1.0,4.0,2.0,7.0,0.286,0.0,4.0,0.0,0.0,0.0,0.0,-3.0,-17.0
2023-10-30,TOR,False,True,W,34,11.0,4.0,7.0,2.0,0.0,4.0,4.0,12.0,0.333,0.0,6.0,0.0,3.0,4.0,0.75,5.5,1.0
2023-11-01,DET,False,False,W,20,11.0,0.0,7.0,0.0,0.0,3.0,4.0,10.0,0.4,1.0,3.0,0.333,2.0,2.0,1.0,6.7,-11.0
2023-11-22,UTA,True,False,W,17,3.0,3.0,7.0,0.0,0.0,3.0,1.0,7.0,0.143,0.0,3.0,0.0,1.0,2.0,0.5,-0.3,15.0
2023-11-26,MIL,False,False,L,27,13.0,4.0,1.0,0.0,0.0,2.0,5.0,10.0,0.5,3.0,4.0,0.75,0.0,0.0,0.0,6.3,2.0
2023-11-27,IND,False,True,W,22,13.0,3.0,1.0,1.0,0.0,4.0,4.0,10.0,0.4,2.0,3.0,0.667,3.0,6.0,0.5,3.4,10.0
2023-11-30,CLE,False,False,W,22,2.0,1.0,7.0,0.0,0.0,3.0,1.0,8.0,0.125,0.0,5.0,0.0,0.0,0.0,0.0,-1.8,12.0
2023-12-02,UTA,False,False,L,21,17.0,5.0,3.0,1.0,0.0,2.0,6.0,15.0,0.4,2.0,5.0,0.4,3.0,4.0,0.75,9.9,-5.0
2023-12-06,GSW,False,False,L,26,9.0,2.0,4.0,1.0,0.0,1.0,4.0,9.0,0.444,0.0,3.0,0.0,1.0,2.0,0.5,6.1,-15.0
2023-12-08,DAL,True,False,L,30,10.0,3.0,3.0,0.0,0.0,4.0,4.0,17.0,0.235,0.0,6.0,0.0,2.0,3.0,0.667,-2.9,-19.0
2023-12-11,LAC,False,False,L,30,19.0,4.0,6.0,0.0,2.0,3.0,8.0,16.0,0.5,3.0,4.0,0.75,0.0,0.0,0.0,13.2,11.0
2023-12-14,UTA,True,False,L,35,23.0,2.0,10.0,1.0,0.0,4.0,9.0,21.0,0.429,2.0,7.0,0.286,3.0,3.0,1.0,16.1,0.0
2023-12-16,DAL,True,False,L,24,13.0,3.0,2.0,0.0,1.0,3.0,5.0,10.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,6.8,-8.0
2023-12-17,GSW,True,True,L,22,14.0,1.0,2.0,1.0,0.0,1.0,4.0,9.0,0.444,1.0,4.0,0.25,5.0,5.0,1.0,10.2,0.0
2023-12-19,PHX,True,False,W,30,9.0,4.0,5.0,0.0,0.0,5.0,3.0,9.0,0.333,0.0,2.0,0.0,3.0,3.0,1.0,2.4,-5.0
2023-12-21,WAS,True,False,L,26,4.0,4.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.9,7.0
2023-12-23,GSW,False,False,L,23,12.0,1.0,2.0,3.0,0.0,2.0,4.0,9.0,0.444,2.0,4.0,0.5,2.0,4.0,0.5,7.6,-12.0
