date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2018-10-17,DEN,True,False,L,28,11.0,2.0,4.0,1.0,1.0,3.0,5.0,6.0,0.833,0.0,0.0,0.0,1.0,1.0,1.0,10.5,0.0
2018-10-19,OKC,True,False,W,23,2.0,3.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.5,12.0
2018-10-21,HOU,True,False,W,26,12.0,5.0,4.0,1.0,0.0,2.0,4.0,8.0,0.5,0.0,1.0,0.0,4.0,4.0,1.0,11.7,21.0
2018-10-23,NOP,False,False,L,22,9.0,4.0,2.0,1.0,1.0,3.0,3.0,8.0,0.375,1.0,1.0,1.0,2.0,2.0,1.0,5.1,-11.0
2018-10-26,HOU,False,False,W,31,10.0,1.0,1.0,2.0,0.0,0.0,3.0,7.0,0.429,1.0,1.0,1.0,3.0,4.0,0.75,8.5,6.0
2018-10-28,WAS,True,False,W,28,10.0,8.0,7.0,2.0,0.0,1.0,4.0,8.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,13.1,24.0
2018-10-30,OKC,False,False,L,22,5.0,0.0,3.0,0.0,1.0,2.0,2.0,4.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,3.8,-10.0
2018-11-01,PHI,False,False,L,18,7.0,2.0,2.0,0.0,1.0,1.0,3.0,8.0,0.375,0.0,0.0,0.0,1.0,1.0,1.0,3.5,-18.0
2018-11-02,ORL,False,True,W,25,8.0,1.0,1.0,1.0,0.0,3.0,2.0,6.0,0.333,0.0,2.0,0.0,4.0,4.0,1.0,2.4,22.0
2018-11-05,MIN,True,False,W,25,6.0,3.0,5.0,1.0,1.0,2.0,2.0,6.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,6.7,7.0
2018-11-08,POR,False,False,L,35,19.0,3.0,2.0,0.0,1.0,1.0,7.0,12.0,0.583,2.0,2.0,1.0,3.0,6.0,0.5,13.4,-16.0
2018-11-10,MIL,True,False,W,40,16.0,6.0,4.0,1.0,3.0,2.0,5.0,13.0,0.385,2.0,3.0,0.667,4.0,4.0,1.0,13.8,4.0
2018-11-12,GSW,True,False,W,38,18.0,5.0,3.0,2.0,1.0,4.0,8.0,11.0,0.727,0.0,3.0,0.0,2.0,2.0,1.0,15.4,-3.0
2018-11-15,SAS,True,False,W,27,9.0,5.0,0.0,0.0,0.0,2.0,4.0,9.0,0.444,0.0,2.0,0.0,1.0,2.0,0.5,2.6,3.0
