date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-11-20,LAC,True,False,L,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3.0
2023-12-21,CHI,False,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-12-23,DAL,False,False,L,14,2.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,6.0
2023-12-26,UTA,True,False,L,2,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,7.0
2023-12-31,BOS,True,False,L,8,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,4.0
2024-03-03,IND,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,DEN,False,False,L,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0
2024-04-05,NOP,False,False,W,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.1,-8.0
2024-04-09,MEM,False,False,W,21,10.0,3.0,2.0,1.0,1.0,0.0,4.0,6.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,11.4,6.0
2024-04-10,OKC,False,True,L,28,14.0,5.0,3.0,0.0,0.0,0.0,4.0,7.0,0.571,1.0,3.0,0.333,5.0,7.0,0.714,13.5,-17.0
2024-04-12,DEN,True,False,W,17,8.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,5.8,14.0
2024-04-14,DET,True,False,W,32,7.0,4.0,5.0,3.0,2.0,1.0,3.0,8.0,0.375,0.0,2.0,0.0,1.0,2.0,0.5,9.1,15.0
2024-10-30,OKC,False,False,L,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
2024-10-31,UTA,False,True,W,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
2024-11-02,MIN,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
